symbol,group,dt,pproc,method,etime,mean,sd,zscore
1CK24,actual,h,none,mstl1,9.4029,-0.1535,4.1346,1.168
1CK24,actual,h,none,mstl2,23.3993,-0.1514,4.1372,1.168
1CK24,actual,h,none,mstl3,10.4911,-0.1486,4.136,1.1707
1CK24,actual,h,none,zlma1,14.2204,0.0933,3.5034,1.0454
1CK24,actual,h,none,zlma2,23.8764,0.1016,3.5036,1.0427
1CK24,actual,h,none,zlma3,19.7572,0.1139,3.466,1.0371
1CK24,actual,l,none,mstl1,8.2883,-0.2375,4.7738,1.1397
1CK24,actual,l,none,mstl2,22.0683,-0.235,4.7798,1.1394
1CK24,actual,l,none,mstl3,9.8934,-0.235,4.7762,1.1399
1CK24,actual,l,none,zlma1,13.956900000000001,-0.2239,3.3849,1.1441
1CK24,actual,l,none,zlma2,24.353,-0.2075,3.3708,1.1451
1CK24,actual,l,none,zlma3,17.9156,-0.2063,3.3371,1.1423
1CK24,actual,c,none,mstl1,8.7977,-0.3941,5.228,1.1946
1CK24,actual,c,none,mstl2,21.7854,-0.3969,5.2264,1.1951
1CK24,actual,c,none,mstl3,10.8218,-0.3852,5.221,1.1951
1CK24,actual,c,none,zlma1,14.5401,0.0274,4.1841,1.0972
1CK24,actual,c,none,zlma2,24.6896,0.0298,4.1661,1.0958
1CK24,actual,c,none,zlma3,19.409300000000002,0.0133,4.1199,1.0988
1CK24,actual,m,none,mstl1,8.7277,-0.1576,4.2455,1.1934
1CK24,actual,m,none,mstl2,22.4662,-0.1594,4.2438,1.1948
1CK24,actual,m,none,mstl3,10.2922,-0.1569,4.2477,1.194
1CK24,actual,m,none,zlma1,13.5579,-0.092,3.0797,1.1585
1CK24,actual,m,none,zlma2,23.6068,-0.0751,3.0749,1.1541
1CK24,actual,m,none,zlma3,19.4507,-0.0622,3.0548,1.1572
