symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
1CK24,May Corn,actual,c,459.46,458.58,457.25,457.25,1.33,1.33
1CK24,May Corn,actual,c,458.5,458.25,459.3,459.3,-1.05,-1.05
1CK24,May Corn,actual,c,458.58,455.9,460.35,460.35,-4.45,-4.45
1CK24,May Corn,actual,c,458.25,453.5,458.86,458.86,-5.36,-5.36
1CK24,May Corn,actual,c,455.9,453.06,455.5,455.5,-2.44,-2.44
1CK24,May Corn,actual,c,453.5,453.25,453.42,453.42,-0.17,-0.17
1CK24,May Corn,actual,c,453.06,452.37,452.04,452.04,0.33,0.33
1CK24,May Corn,actual,c,453.25,450.5,450.55,450.55,-0.05,-0.05
1CK24,May Corn,actual,c,452.37,448.25,449.42,449.42,-1.17,-1.17
1CK24,May Corn,actual,c,450.5,446.5,449.94,449.94,-3.44,-3.44
1CK24,May Corn,actual,c,448.25,445.8,446.53,446.53,-0.73,-0.73
1CK24,May Corn,actual,c,446.5,445,445.64,445.64,-0.64,-0.64
1CK24,May Corn,actual,c,445.8,443.13,443.34,443.34,-0.21,-0.21
1CK24,May Corn,actual,c,445,441.5,442.19,442.19,-0.69,-0.69
1CK24,May Corn,actual,c,443.13,441.48,440.27,440.27,1.21,1.21
1CK24,May Corn,actual,c,441.5,442.5,439.53,439.53,2.97,2.97
1CK24,May Corn,actual,c,441.48,443.48,440.77,440.77,2.71,2.71
1CK24,May Corn,actual,c,442.5,443.25,441.15,441.15,2.1,2.1
1CK24,May Corn,actual,c,443.48,440.99,441.31,441.31,-0.32,-0.32
1CK24,May Corn,actual,c,443.25,437.25,441.42,441.42,-4.17,-4.17
1CK24,May Corn,actual,c,440.99,433.05,438.81,438.81,-5.76,-5.76
1CK24,May Corn,actual,c,437.25,429.75,437.22,437.22,-7.47,-7.47
1CK24,May Corn,actual,c,433.05,428.54,431.11,431.11,-2.57,-2.57
1CK24,May Corn,actual,c,429.75,429.5,428.35,428.35,1.15,1.15
1CK24,May Corn,actual,c,428.54,431.86,426.21,426.21,5.65,5.65
1CK24,May Corn,actual,c,429.5,432.5,425.65,425.65,6.85,6.85
1CK24,May Corn,actual,c,431.86,429.03,427.25,427.25,1.78,1.78
1CK24,May Corn,actual,c,432.5,424.25,426.55,426.55,-2.3,-2.3
1CK24,May Corn,actual,c,429.03,421.19,425.83,425.83,-4.64,-4.64
1CK24,May Corn,actual,c,424.25,418.5,424.23,424.23,-5.73,-5.73
1CK24,May Corn,actual,c,421.19,414.88,418.95,418.95,-4.07,-4.07
1CK24,May Corn,actual,c,418.5,413.5,415.15,415.15,-1.65,-1.65
1CK24,May Corn,actual,c,414.88,417,411.57,411.57,5.43,5.43
1CK24,May Corn,actual,c,413.5,421.5,410.68,410.68,10.82,10.82
1CK24,May Corn,actual,c,417,422.99,414.93,414.93,8.06,8.06
1CK24,May Corn,actual,c,421.5,423.5,415.27,415.27,8.23,8.23
1CK24,May Corn,actual,c,422.99,425.68,422.16,422.16,3.52,3.52
1CK24,May Corn,actual,c,423.5,428.5,425.35,425.35,3.15,3.15
1CK24,May Corn,actual,c,425.68,430.16,429.76,429.76,0.4,0.4
1CK24,May Corn,actual,c,428.5,429.5,429.63,429.63,-0.13,-0.13
1CK24,May Corn,actual,c,430.16,426.46,431.22,431.22,-4.76,-4.76
1CK24,May Corn,actual,c,429.5,424.75,430.61,430.61,-5.86,-5.86
1CK24,May Corn,actual,c,426.46,427.29,428.65,428.65,-1.36,-1.36
1CK24,May Corn,actual,c,424.75,430,427.36,427.36,2.64,2.64
1CK24,May Corn,actual,c,427.29,428.77,428.6,428.6,0.17,0.17
1CK24,May Corn,actual,c,430,426.25,428.41,428.41,-2.16,-2.16
1CK24,May Corn,actual,c,428.77,426.05,426.61,426.61,-0.56,-0.56
1CK24,May Corn,actual,c,426.25,428.75,428.33,428.33,0.42,0.42
1CK24,May Corn,actual,c,426.05,433.66,429.6,429.6,4.06,4.06
1CK24,May Corn,actual,c,428.75,438,430.58,430.58,7.42,7.42
1CK24,May Corn,actual,c,433.66,439.48,435.15,435.15,4.33,4.33
1CK24,May Corn,actual,c,438,439.75,437.11,437.11,2.64,2.64
1CK24,May Corn,actual,c,439.48,440.75,441.36,441.36,-0.61,-0.61
1CK24,May Corn,actual,c,439.75,441.75,443.19,443.19,-1.44,-1.44
1CK24,May Corn,actual,c,440.75,441.79,445.37,445.37,-3.58,-3.58
1CK24,May Corn,actual,c,441.75,441.75,445.6,445.6,-3.85,-3.85
1CK24,May Corn,actual,c,441.79,442.29,443.84,443.84,-1.55,-1.55
1CK24,May Corn,actual,c,441.75,441.25,442.94,442.94,-1.69,-1.69
1CK24,May Corn,actual,c,442.29,437.12,441.46,441.46,-4.34,-4.34
1CK24,May Corn,actual,c,441.25,433.75,438.63,438.63,-4.88,-4.88
1CK24,May Corn,actual,c,437.12,434.68,436.38,436.38,-1.7,-1.7
1CK24,May Corn,actual,c,433.75,436.75,435.42,435.42,1.33,1.33
1CK24,May Corn,actual,c,434.68,436.5,434.24,434.24,2.26,2.26
1CK24,May Corn,actual,c,436.75,436,433.14,433.14,2.86,2.86
1CK24,May Corn,actual,c,436.5,437.64,434.38,434.38,3.26,3.26
1CK24,May Corn,actual,c,436,439.5,436.53,436.53,2.97,2.97
1CK24,May Corn,actual,c,437.64,439.46,438.76,438.76,0.7,0.7
