symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
1CK24,May Corn,actual,h,459.56,458.74,457.58,457.58,1.16,1.16
1CK24,May Corn,actual,h,459.25,458.75,458.35,458.35,0.4,0.4
1CK24,May Corn,actual,h,458.74,459.54,459.49,459.49,0.05,0.05
1CK24,May Corn,actual,h,458.75,459.5,459.71,459.71,-0.21,-0.21
1CK24,May Corn,actual,h,459.54,457.4,459.08,459.08,-1.68,-1.68
1CK24,May Corn,actual,h,459.5,455.5,458.1,458.1,-2.6,-2.6
1CK24,May Corn,actual,h,457.4,455.87,456.58,456.58,-0.71,-0.71
1CK24,May Corn,actual,h,455.5,456.25,455.34,455.34,0.91,0.91
1CK24,May Corn,actual,h,455.87,454.24,455.2,455.2,-0.96,-0.96
1CK24,May Corn,actual,h,456.25,451.25,454.72,454.72,-3.47,-3.47
1CK24,May Corn,actual,h,454.24,449.22,451.02,451.02,-1.8,-1.8
1CK24,May Corn,actual,h,451.25,448.5,449.88,449.88,-1.38,-1.38
1CK24,May Corn,actual,h,449.22,448.77,448.26,448.26,0.51,0.51
1CK24,May Corn,actual,h,448.5,448.5,447.1,447.1,1.4,1.4
1CK24,May Corn,actual,h,448.77,446.61,445.66,445.66,0.95,0.95
1CK24,May Corn,actual,h,448.5,445,444.62,444.62,0.38,0.38
1CK24,May Corn,actual,h,446.61,445.45,444.62,444.62,0.83,0.83
1CK24,May Corn,actual,h,445,446.25,444.47,444.47,1.78,1.78
1CK24,May Corn,actual,h,445.45,445.39,444.96,444.96,0.43,0.43
1CK24,May Corn,actual,h,446.25,443.25,445.03,445.03,-1.78,-1.78
1CK24,May Corn,actual,h,445.39,440.65,442.43,442.43,-1.78,-1.78
1CK24,May Corn,actual,h,443.25,437.75,441.72,441.72,-3.97,-3.97
1CK24,May Corn,actual,h,440.65,434.79,438.44,438.44,-3.65,-3.65
1CK24,May Corn,actual,h,437.75,433,437.22,437.22,-4.22,-4.22
1CK24,May Corn,actual,h,434.79,433.24,432.5,432.5,0.74,0.74
1CK24,May Corn,actual,h,433,434,430.75,430.75,3.25,3.25
1CK24,May Corn,actual,h,433.24,433.67,430.27,430.27,3.4,3.4
1CK24,May Corn,actual,h,434,432.5,430.04,430.04,2.46,2.46
1CK24,May Corn,actual,h,433.67,430.97,430.42,430.42,0.55,0.55
1CK24,May Corn,actual,h,432.5,428.5,431.35,431.35,-2.85,-2.85
1CK24,May Corn,actual,h,430.97,424.78,428.32,428.32,-3.54,-3.54
1CK24,May Corn,actual,h,428.5,421.75,425.6,425.6,-3.85,-3.85
1CK24,May Corn,actual,h,424.78,421.23,422.42,422.42,-1.19,-1.19
1CK24,May Corn,actual,h,421.75,422.5,421.19,421.19,1.31,1.31
1CK24,May Corn,actual,h,421.23,424.38,419.74,419.74,4.64,4.64
1CK24,May Corn,actual,h,422.5,426.5,419.04,419.04,7.46,7.46
1CK24,May Corn,actual,h,424.38,428.64,422.83,422.83,5.81,5.81
1CK24,May Corn,actual,h,426.5,430.5,425.52,425.52,4.98,4.98
1CK24,May Corn,actual,h,428.64,431.74,429.67,429.67,2.07,2.07
1CK24,May Corn,actual,h,430.5,432,431.61,431.61,0.39,0.39
1CK24,May Corn,actual,h,431.74,431.28,433.64,433.64,-2.36,-2.36
1CK24,May Corn,actual,h,432,431,433.79,433.79,-2.79,-2.79
1CK24,May Corn,actual,h,431.28,432.28,433.91,433.91,-1.63,-1.63
1CK24,May Corn,actual,h,431,433.5,432.38,432.38,1.12,1.12
1CK24,May Corn,actual,h,432.28,432.93,433.28,433.28,-0.35,-0.35
1CK24,May Corn,actual,h,433.5,431,433.23,433.23,-2.23,-2.23
1CK24,May Corn,actual,h,432.93,429.01,431.48,431.48,-2.47,-2.47
1CK24,May Corn,actual,h,431,429.5,430.86,430.86,-1.36,-1.36
1CK24,May Corn,actual,h,429.01,434,431.18,431.18,2.82,2.82
1CK24,May Corn,actual,h,429.5,438.75,431,431,7.75,7.75
1CK24,May Corn,actual,h,434,440.07,435.16,435.16,4.91,4.91
1CK24,May Corn,actual,h,438.75,440,437.14,437.14,2.86,2.86
1CK24,May Corn,actual,h,440.07,441.17,440.75,440.75,0.42,0.42
1CK24,May Corn,actual,h,440,443,441.68,441.68,1.32,1.32
1CK24,May Corn,actual,h,441.17,444.34,445.9,445.9,-1.56,-1.56
1CK24,May Corn,actual,h,443,445,445.96,445.96,-0.96,-0.96
