symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
1CK24,May Corn,actual,m,455.3,456.77,453.31,453.31,3.46,3.46
1CK24,May Corn,actual,m,456.62,456.5,454.72,454.72,1.78,1.78
1CK24,May Corn,actual,m,456.77,456.56,457.17,457.17,-0.61,-0.61
1CK24,May Corn,actual,m,456.5,456.12,458.51,458.51,-2.39,-2.39
1CK24,May Corn,actual,m,456.56,454.5,457.25,457.25,-2.75,-2.75
1CK24,May Corn,actual,m,456.12,453.12,455.97,455.97,-2.85,-2.85
1CK24,May Corn,actual,m,454.5,453.22,454.01,454.01,-0.79,-0.79
1CK24,May Corn,actual,m,453.12,453.12,452.64,452.64,0.48,0.48
1CK24,May Corn,actual,m,453.22,451.12,452.31,452.31,-1.19,-1.19
1CK24,May Corn,actual,m,453.12,448.25,451.52,451.52,-3.27,-3.27
1CK24,May Corn,actual,m,451.12,446.01,448.17,448.17,-2.16,-2.16
1CK24,May Corn,actual,m,448.25,444.88,447.18,447.18,-2.3,-2.3
1CK24,May Corn,actual,m,446.01,444.78,444.66,444.66,0.12,0.12
1CK24,May Corn,actual,m,444.88,444.62,443.39,443.39,1.23,1.23
1CK24,May Corn,actual,m,444.78,443.54,441.95,441.95,1.59,1.59
1CK24,May Corn,actual,m,444.62,442.75,441.22,441.22,1.53,1.53
1CK24,May Corn,actual,m,443.54,443.31,441.46,441.46,1.85,1.85
1CK24,May Corn,actual,m,442.75,443.62,441.92,441.92,1.7,1.7
1CK24,May Corn,actual,m,443.31,442.01,442.45,442.45,-0.44,-0.44
1CK24,May Corn,actual,m,443.62,439.12,442.39,442.39,-3.27,-3.27
1CK24,May Corn,actual,m,442.01,436.09,439.28,439.28,-3.19,-3.19
1CK24,May Corn,actual,m,439.12,433.38,437.48,437.48,-4.1,-4.1
1CK24,May Corn,actual,m,436.09,431.32,434.37,434.37,-3.05,-3.05
1CK24,May Corn,actual,m,433.38,430.38,432.26,432.26,-1.88,-1.88
1CK24,May Corn,actual,m,431.32,430.64,428.53,428.53,2.11,2.11
1CK24,May Corn,actual,m,430.38,430.88,427.12,427.12,3.76,3.76
1CK24,May Corn,actual,m,430.64,429.85,427.39,427.39,2.46,2.46
1CK24,May Corn,actual,m,430.88,427.88,427.65,427.65,0.23,0.23
1CK24,May Corn,actual,m,429.85,425.5,426.6,426.6,-1.1,-1.1
1CK24,May Corn,actual,m,427.88,422.75,426.05,426.05,-3.3,-3.3
1CK24,May Corn,actual,m,425.5,419.64,422.96,422.96,-3.32,-3.32
1CK24,May Corn,actual,m,422.75,416.75,419.99,419.99,-3.24,-3.24
1CK24,May Corn,actual,m,419.64,414.93,416.02,416.02,-1.09,-1.09
1CK24,May Corn,actual,m,416.75,415.62,413.59,413.59,2.03,2.03
1CK24,May Corn,actual,m,414.93,419.53,413.06,413.06,6.47,6.47
1CK24,May Corn,actual,m,415.62,423.75,413.31,413.31,10.44,10.44
1CK24,May Corn,actual,m,419.53,425.52,418.62,418.62,6.9,6.9
1CK24,May Corn,actual,m,423.75,426.12,421.69,421.69,4.43,4.43
1CK24,May Corn,actual,m,425.52,427.22,425.93,425.93,1.29,1.29
1CK24,May Corn,actual,m,426.12,427.88,428.46,428.46,-0.58,-0.58
1CK24,May Corn,actual,m,427.22,427.14,430.49,430.49,-3.35,-3.35
1CK24,May Corn,actual,m,427.88,426.5,429.7,429.7,-3.2,-3.2
1CK24,May Corn,actual,m,427.14,427.43,429.24,429.24,-1.81,-1.81
1CK24,May Corn,actual,m,426.5,428.75,428.97,428.97,-0.22,-0.22
1CK24,May Corn,actual,m,427.43,428.99,428.96,428.96,0.03,0.03
1CK24,May Corn,actual,m,428.75,428,428.93,428.93,-0.93,-0.93
1CK24,May Corn,actual,m,428.99,426.37,428.23,428.23,-1.86,-1.86
1CK24,May Corn,actual,m,428,426.38,428.76,428.76,-2.38,-2.38
1CK24,May Corn,actual,m,426.37,429.63,427.74,427.74,1.89,1.89
1CK24,May Corn,actual,m,426.38,433.5,427.95,427.95,5.55,5.55
1CK24,May Corn,actual,m,429.63,435.22,431.33,431.33,3.89,3.89
1CK24,May Corn,actual,m,433.5,435.75,433.02,433.02,2.73,2.73
1CK24,May Corn,actual,m,435.22,436.64,435.43,435.43,1.21,1.21
1CK24,May Corn,actual,m,435.75,438.12,436.92,436.92,1.2,1.2
1CK24,May Corn,actual,m,436.64,439.97,440.72,440.72,-0.75,-0.75
1CK24,May Corn,actual,m,438.12,441.5,442.01,442.01,-0.51,-0.51
1CK24,May Corn,actual,m,439.97,442.04,442.5,442.5,-0.46,-0.46
1CK24,May Corn,actual,m,441.5,441.38,443.12,443.12,-1.74,-1.74
1CK24,May Corn,actual,m,442.04,439.62,442.85,442.85,-3.23,-3.23
1CK24,May Corn,actual,m,441.38,437.62,442.27,442.27,-4.65,-4.65
1CK24,May Corn,actual,m,439.62,436.27,439.95,439.95,-3.68,-3.68
1CK24,May Corn,actual,m,437.62,435.88,438.24,438.24,-2.36,-2.36
1CK24,May Corn,actual,m,436.27,436.42,436.26,436.26,0.16,0.16
1CK24,May Corn,actual,m,435.88,437.25,435.67,435.67,1.58,1.58
1CK24,May Corn,actual,m,436.42,437.66,435.17,435.17,2.49,2.49
1CK24,May Corn,actual,m,437.25,437.5,435.65,435.65,1.85,1.85
1CK24,May Corn,actual,m,437.66,437.01,436.55,436.55,0.46,0.46
1CK24,May Corn,actual,m,437.5,437.5,437.2,437.2,0.3,0.3
1CK24,May Corn,actual,m,437.01,439.79,438.23,438.23,1.56,1.56
1CK24,May Corn,actual,m,437.5,441.62,438.62,438.62,3,3
1CK24,May Corn,actual,m,439.79,440.85,440.54,440.54,0.31,0.31
1CK24,May Corn,actual,m,441.62,438.75,440.85,440.85,-2.1,-2.1
1CK24,May Corn,actual,m,440.85,437.46,440.11,440.11,-2.65,-2.65
1CK24,May Corn,actual,m,438.75,439.12,439.84,439.84,-0.72,-0.72
1CK24,May Corn,actual,m,437.46,438.93,440.92,440.92,-1.99,-1.99
1CK24,May Corn,actual,m,439.12,436.38,441.77,441.77,-5.39,-5.39
1CK24,May Corn,actual,m,438.93,433.25,435.74,435.74,-2.49,-2.49
1CK24,May Corn,actual,m,436.38,429.25,433.5,433.5,-4.25,-4.25
1CK24,May Corn,actual,m,433.25,429.77,430.12,430.12,-0.35,-0.35
1CK24,May Corn,actual,m,429.25,437,427.14,427.14,9.86,9.86
1CK24,May Corn,actual,m,429.77,NA,434.82,434.82,NA,NA
1CK24,May Corn,actual,m,437,NA,440.27,440.27,NA,NA
