symbol,tsys,tsrow,bsc,hadj,ladj,win,lose,plmm,pldol,riskmm,pos
1CK24,M1,1,Buy,0.05,0.35,5,0,49.25,2462.5,1,0
1CK24,M1,1,Buy,0.1,0.35,5,0,48.25,2412.5,1,0
1CK24,M1,1,Buy,0,0.35,4,0,44.5,2225,1,0
1CK24,M1,1,Buy,-0.2,-0.2,4,1,43.5,2175,1,1
1CK24,M1,1,Buy,-0.2,-0.15,5,1,43,2150,1,1
1CK24,M1,1,Buy,0.35,0.3,5,1,42.25,2112.5,1,0
1CK24,M1,1,Buy,0.05,0.3,5,0,42,2100,1,0
1CK24,M1,1,Buy,0.05,-0.1,5,0,42,2100,2,1
1CK24,M1,1,Buy,-0.3,0.35,4,0,42,2100,1,0
1CK24,M1,1,Buy,0.05,0,4,0,41.75,2087.5,3,1
1CK24,M1,1,Buy,-0.4,-0.35,4,0,41.25,2062.5,1,1
1CK24,M1,1,Buy,0.1,0.3,5,0,41,2050,1,0
1CK24,M1,1,Buy,0,0,4,0,41,2050,3,1
1CK24,M1,1,Buy,-0.25,0.35,4,0,41,2050,1,0
1CK24,M1,1,Buy,0.1,0,3,1,40.75,2037.5,3,1
1CK24,M1,1,Buy,0.05,0.25,5,0,40.75,2037.5,3,0
1CK24,M1,1,Buy,-0.2,0.35,3,0,40.75,2037.5,1,0
1CK24,M1,1,Buy,-0.4,-0.3,4,0,40.5,2025,2,1
1CK24,M1,1,Buy,-0.45,-0.35,4,0,40.5,2025,1,1
1CK24,M1,1,Buy,0.4,0.3,5,1,40.25,2012.5,1,0
1CK24,M1,1,Buy,0.05,-0.05,5,0,40.25,2012.5,4,1
1CK24,M1,1,Buy,-0.4,-0.25,4,0,40,2000,3,1
1CK24,M1,1,Buy,0.1,0.25,5,0,39.75,1987.5,3,0
1CK24,M1,1,Buy,-0.45,-0.3,4,0,39.75,1987.5,2,1
1CK24,M1,1,Buy,-0.5,-0.35,4,0,39.5,1975,1,1
1CK24,M1,1,Buy,0.25,0.35,3,1,39.25,1962.5,1,0
1CK24,M1,1,Buy,0.1,-0.05,4,1,39.25,1962.5,4,1
1CK24,M1,1,Buy,0,-0.05,4,0,39.25,1962.5,6,1
1CK24,M1,1,Buy,0,-0.1,4,0,39.25,1962.5,7,1
1CK24,M1,1,Buy,-0.1,0.35,3,0,39.25,1962.5,1,0
1CK24,M1,1,Buy,-0.1,0,3,0,39,1950,3,1
1CK24,M1,1,Buy,-0.5,-0.3,4,0,38.75,1937.5,2,1
1CK24,M1,1,Buy,-0.2,0,2,0,38.5,1925,3,1
1CK24,M1,1,Buy,-0.45,-0.25,4,0,38.5,1925,3,1
1CK24,M1,1,Buy,0.45,0.3,5,1,38.25,1912.5,1,0
1CK24,M1,1,Buy,-0.4,-0.1,3,1,38,1900,2,1
1CK24,M1,1,Buy,-0.2,-0.05,3,0,37.75,1887.5,4,1
1CK24,M1,1,Buy,-0.1,-0.05,3,0,37.5,1875,6,1
1CK24,M1,1,Buy,-0.35,-0.1,4,1,37.5,1875,2,1
1CK24,M1,1,Buy,0,0.3,4,0,37.25,1862.5,1,0
1CK24,M1,1,Buy,0.05,-0.15,6,1,36.75,1837.5,1,1
1CK24,M1,1,Buy,-0.45,-0.1,3,1,36.75,1837.5,2,1
1CK24,M1,1,Buy,-0.5,-0.25,4,0,36.75,1837.5,3,1
1CK24,M1,1,Buy,-0.3,0,4,0,36.5,1825,3,1
1CK24,M1,1,Buy,-0.4,-0.4,3,0,36.5,1825,2,1
1CK24,M1,1,Buy,0.5,0.3,5,1,36.25,1812.5,1,0
1CK24,M1,1,Buy,0.45,0.35,5,1,36,1800,1,0
1CK24,M1,1,Buy,-0.05,0.35,4,0,36,1800,1,0
1CK24,M1,1,Buy,-0.45,-0.4,3,0,36,1800,2,1
1CK24,M1,1,Buy,0.05,-0.2,5,1,35.75,1787.5,1,1
1CK24,M1,1,Buy,0,0.25,4,0,35.75,1787.5,3,0
1CK24,M1,1,Buy,-0.2,0.3,3,0,35.75,1787.5,1,0
1CK24,M1,1,Buy,-0.4,-0.45,3,0,35.75,1787.5,1,1
1CK24,M1,1,Buy,0.45,0,3,2,35.5,1775,3,1
1CK24,M1,1,Buy,-0.2,-0.1,3,0,35.5,1775,2,1
1CK24,M1,1,Buy,-0.25,0,4,0,35.5,1775,3,1
1CK24,M1,1,Buy,-0.3,-0.05,4,0,35.5,1775,4,1
1CK24,M1,1,Buy,-0.5,-0.1,3,1,35.5,1775,2,1
1CK24,M1,1,Buy,-0.5,-0.4,3,0,35.5,1775,2,1
1CK24,M1,1,Buy,0.1,-0.2,5,1,35.25,1762.5,1,1
1CK24,M1,1,Buy,-0.1,-0.1,3,0,35.25,1762.5,7,1
1CK24,M1,1,Buy,-0.2,0.25,3,0,35.25,1762.5,3,0
1CK24,M1,1,Buy,-0.45,-0.45,3,0,35.25,1762.5,1,1
1CK24,M1,1,Buy,0.3,0.35,4,1,35,1750,1,0
1CK24,M1,1,Buy,0.25,0,2,2,35,1750,3,1
1CK24,M1,1,Buy,-0.3,0.3,4,0,35,1750,1,0
1CK24,M1,1,Buy,-0.4,-0.15,5,1,35,1750,1,1
1CK24,M1,1,Buy,0,0.2,4,0,34.75,1737.5,3,0
1CK24,M1,1,Buy,-0.5,-0.45,3,0,34.75,1737.5,1,1
1CK24,M1,1,Buy,0.5,0,3,2,34.5,1725,3,1
1CK24,M1,1,Buy,0.35,0.35,4,1,34.5,1725,1,0
1CK24,M1,1,Buy,-0.25,-0.05,4,0,34.5,1725,4,1
1CK24,M1,1,Buy,0.5,0.35,5,1,34.25,1712.5,1,0
1CK24,M1,1,Buy,0.45,-0.05,3,1,34.25,1712.5,4,1
1CK24,M1,1,Buy,0.3,0,2,2,34.25,1712.5,3,1
1CK24,M1,1,Buy,0.15,0.35,5,0,34.25,1712.5,1,0
1CK24,M1,1,Buy,-0.3,0.25,4,0,34.25,1712.5,3,0
1CK24,M1,1,Buy,0.35,0,2,2,34,1700,3,1
1CK24,M1,1,Buy,0.25,0.3,3,1,34,1700,1,0
1CK24,M1,1,Buy,0.05,0.2,4,1,34,1700,3,0
1CK24,M1,1,Buy,0,-0.15,5,1,34,1700,3,1
1CK24,M1,1,Buy,-0.1,0.3,3,0,34,1700,1,0
1CK24,M1,1,Buy,-0.25,0.3,4,0,34,1700,1,0
