symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
1OK24,M1,-0.35,-0.2,Buy,24-02-08,1,Buy,Stop,Entry,1,365.75,TRUE,1,3
1OK24,M1,-0.35,-0.2,Buy,24-02-09,-1,Sell,Stop,Target,0,371.75,TRUE,1,NA
1OK24,M1,-0.35,-0.2,Buy,24-02-14,-1,Buy,Stop,Entry,1,369.5,TRUE,1,18
1OK24,M1,-0.35,-0.2,Buy,24-02-16,-1,Sell,Stop,Target,0,374,TRUE,1,NA
1OK24,M1,-0.35,-0.2,Buy,24-02-23,1,Buy,Stop,Entry,1,348.75,TRUE,1,1
1OK24,M1,-0.35,-0.2,Buy,24-03-01,-1,Sell,Stop,Target,0,373,TRUE,1,NA
1OK24,M1,-0.35,-0.2,Buy,24-03-04,-1,Buy,Stop,Entry,1,365,TRUE,1,3
1OK24,M1,-0.35,-0.2,Buy,24-03-14,-1,Sell,Stop,Target,0,374.75,TRUE,1,NA
1OK24,M1,-0.35,-0.2,Buy,24-03-21,-1,Buy,Stop,Entry,1,353,TRUE,1,2
1OK24,M1,-0.35,-0.2,Buy,24-03-26,-1,Sell,Stop,Target,0,362,TRUE,1,NA
1OK24,M1,-0.35,-0.2,Buy,24-03-28,1,Buy,Stop,Entry,1,356.25,TRUE,1,6
