symbol,group,dt,pproc,method,etime,mean,sd,zscore
1OK24,actual,h,none,mstl1,12.4592,-0.3948,5.3217,1.1852
1OK24,actual,h,none,mstl2,23.544999999999998,-0.3968,5.3253,1.1851
1OK24,actual,h,none,mstl3,18.8868,-0.3866,5.3204,1.1858
1OK24,actual,h,none,zlma1,14.079,-0.429,3.5233,1.1999
1OK24,actual,h,none,zlma2,23.7636,-0.4431,3.501,1.2029
1OK24,actual,h,none,zlma3,18.5999,-0.3794,3.4821,1.1982
1OK24,actual,l,none,mstl1,13.1265,-0.2258,5.9595,1.202
1OK24,actual,l,none,mstl2,24.0834,-0.2259,5.9684,1.2023
1OK24,actual,l,none,mstl3,19.9341,-0.2271,5.951,1.2027
1OK24,actual,l,none,zlma1,14.5063,-0.242,4.029,1.1852
1OK24,actual,l,none,zlma2,24.4945,-0.2455,3.9969,1.1895
1OK24,actual,l,none,zlma3,20.0307,-0.2754,3.9428,1.199
1OK24,actual,c,none,mstl1,13.3782,-0.5925,7.3217,1.1859
1OK24,actual,c,none,mstl2,24.667,-0.5934,7.3228,1.1859
1OK24,actual,c,none,mstl3,20.2049,-0.5871,7.3156,1.1863
1OK24,actual,c,none,zlma1,13.4441,-0.3845,4.7721,1.1669
1OK24,actual,c,none,zlma2,23.6721,-0.3853,4.7665,1.1673
1OK24,actual,c,none,zlma3,21.3424,-0.3729,4.7191,1.1728
1OK24,actual,m,none,mstl1,12.4941,-0.3557,5.5924,1.1975
1OK24,actual,m,none,mstl2,24.1091,-0.3502,5.5936,1.1984
1OK24,actual,m,none,mstl3,20.3327,-0.3521,5.588,1.1975
1OK24,actual,m,none,zlma1,14.7075,-0.3445,3.604,1.1999
1OK24,actual,m,none,zlma2,25.3959,-0.3528,3.5905,1.2
1OK24,actual,m,none,zlma3,18.2314,-0.31,3.5217,1.2014
