symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
1OK24,May Oats,actual,c,375.14,376.25,376.41,376.41,-0.16,-0.16
1OK24,May Oats,actual,c,375.5,375.5,379.41,379.41,-3.91,-3.91
1OK24,May Oats,actual,c,376.25,371.19,381.4,381.4,-10.21,-10.21
1OK24,May Oats,actual,c,375.5,365.5,379.79,379.79,-14.29,-14.29
1OK24,May Oats,actual,c,371.19,361.47,369.5,369.5,-8.03,-8.03
1OK24,May Oats,actual,c,365.5,361.25,362.35,362.35,-1.1,-1.1
1OK24,May Oats,actual,c,361.47,365.61,361.66,361.66,3.95,3.95
1OK24,May Oats,actual,c,361.25,370.75,359.47,359.47,11.28,11.28
1OK24,May Oats,actual,c,365.61,372.93,364.14,364.14,8.79,8.79
1OK24,May Oats,actual,c,370.75,373.25,368.28,368.28,4.97,4.97
1OK24,May Oats,actual,c,372.93,373.44,371.78,371.78,1.66,1.66
1OK24,May Oats,actual,c,373.25,373,376.03,376.03,-3.03,-3.03
1OK24,May Oats,actual,c,373.44,371.41,376.58,376.58,-5.17,-5.17
1OK24,May Oats,actual,c,373,370.25,376.06,376.06,-5.81,-5.81
1OK24,May Oats,actual,c,371.41,371.02,372.51,372.51,-1.49,-1.49
1OK24,May Oats,actual,c,370.25,372.75,369.62,369.62,3.13,3.13
1OK24,May Oats,actual,c,371.02,374.03,371.76,371.76,2.27,2.27
1OK24,May Oats,actual,c,372.75,374.25,371.11,371.11,3.14,3.14
1OK24,May Oats,actual,c,374.03,373.22,372.99,372.99,0.23,0.23
1OK24,May Oats,actual,c,374.25,371.75,373.63,373.63,-1.88,-1.88
1OK24,May Oats,actual,c,373.22,370.67,373.53,373.53,-2.86,-2.86
1OK24,May Oats,actual,c,371.75,369.75,373.53,373.53,-3.78,-3.78
1OK24,May Oats,actual,c,370.67,368.75,370.47,370.47,-1.72,-1.72
1OK24,May Oats,actual,c,369.75,368.25,368.64,368.64,-0.39,-0.39
1OK24,May Oats,actual,c,368.75,368.46,367.45,367.45,1.01,1.01
1OK24,May Oats,actual,c,368.25,367.25,366.67,366.67,0.58,0.58
1OK24,May Oats,actual,c,368.46,362.83,365.79,365.79,-2.96,-2.96
1OK24,May Oats,actual,c,367.25,357.25,364.86,364.86,-7.61,-7.61
1OK24,May Oats,actual,c,362.83,353.06,358.64,358.64,-5.58,-5.58
1OK24,May Oats,actual,c,357.25,351,355.82,355.82,-4.82,-4.82
1OK24,May Oats,actual,c,353.06,351.3,350.59,350.59,0.71,0.71
1OK24,May Oats,actual,c,351,354,347.9,347.9,6.1,6.1
1OK24,May Oats,actual,c,351.3,358.65,348.58,348.58,10.07,10.07
1OK24,May Oats,actual,c,354,363,350.59,350.59,12.41,12.41
1OK24,May Oats,actual,c,358.65,365.1,358.19,358.19,6.91,6.91
1OK24,May Oats,actual,c,363,366,363.63,363.63,2.37,2.37
1OK24,May Oats,actual,c,365.1,367.12,367.47,367.47,-0.35,-0.35
1OK24,May Oats,actual,c,366,368.5,370.7,370.7,-2.2,-2.2
