symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
1OK24,May Oats,actual,h,375.93,376.35,375.17,375.17,1.18,1.18
1OK24,May Oats,actual,h,377,375.5,376.48,376.48,-0.98,-0.98
1OK24,May Oats,actual,h,376.35,375.42,380.19,380.19,-4.77,-4.77
1OK24,May Oats,actual,h,375.5,374,381.9,381.9,-7.9,-7.9
1OK24,May Oats,actual,h,375.42,369.72,379.63,379.63,-9.91,-9.91
1OK24,May Oats,actual,h,374,366.5,380.81,380.81,-14.31,-14.31
1OK24,May Oats,actual,h,369.72,368.02,371.87,371.87,-3.85,-3.85
1OK24,May Oats,actual,h,366.5,371.5,372.14,372.14,-0.64,-0.64
1OK24,May Oats,actual,h,368.02,373.46,368.23,368.23,5.23,5.23
1OK24,May Oats,actual,h,371.5,374,366.69,366.69,7.31,7.31
1OK24,May Oats,actual,h,373.46,374.01,370.36,370.36,3.65,3.65
1OK24,May Oats,actual,h,374,374,370.17,370.17,3.83,3.83
1OK24,May Oats,actual,h,374.01,374.39,373.36,373.36,1.03,1.03
1OK24,May Oats,actual,h,374,375.5,373.48,373.48,2.02,2.02
1OK24,May Oats,actual,h,374.39,377.35,376.13,376.13,1.22,1.22
1OK24,May Oats,actual,h,375.5,378.75,376.61,376.61,2.14,2.14
1OK24,May Oats,actual,h,377.35,378.61,378.56,378.56,0.05,0.05
1OK24,May Oats,actual,h,378.75,377.5,379.16,379.16,-1.66,-1.66
1OK24,May Oats,actual,h,378.61,376.25,378.57,378.57,-2.32,-2.32
1OK24,May Oats,actual,h,377.5,375,378.97,378.97,-3.97,-3.97
1OK24,May Oats,actual,h,376.25,373.91,377.96,377.96,-4.05,-4.05
1OK24,May Oats,actual,h,375,373.75,378.43,378.43,-4.68,-4.68
1OK24,May Oats,actual,h,373.91,374.96,376.39,376.39,-1.43,-1.43
1OK24,May Oats,actual,h,373.75,376,376.69,376.69,-0.69,-0.69
1OK24,May Oats,actual,h,374.96,375.35,376.3,376.3,-0.95,-0.95
1OK24,May Oats,actual,h,376,373.5,376.34,376.34,-2.84,-2.84
1OK24,May Oats,actual,h,375.35,371.32,373.74,373.74,-2.42,-2.42
1OK24,May Oats,actual,h,373.5,369.25,373.4,373.4,-4.15,-4.15
1OK24,May Oats,actual,h,371.32,367.35,370.94,370.94,-3.59,-3.59
1OK24,May Oats,actual,h,369.25,364.5,370.45,370.45,-5.95,-5.95
1OK24,May Oats,actual,h,367.35,360.31,365.96,365.96,-5.65,-5.65
1OK24,May Oats,actual,h,364.5,358.5,365.1,365.1,-6.6,-6.6
1OK24,May Oats,actual,h,360.31,362.08,358.29,358.29,3.79,3.79
1OK24,May Oats,actual,h,358.5,367.25,356.52,356.52,10.73,10.73
1OK24,May Oats,actual,h,362.08,369.69,359.19,359.19,10.5,10.5
1OK24,May Oats,actual,h,367.25,370,357.75,357.75,12.25,12.25
1OK24,May Oats,actual,h,369.69,369.79,365.71,365.71,4.08,4.08
1OK24,May Oats,actual,h,370,370,364.89,364.89,5.11,5.11
1OK24,May Oats,actual,h,369.79,371.1,370.66,370.66,0.44,0.44
1OK24,May Oats,actual,h,370,372.5,370.94,370.94,1.56,1.56
1OK24,May Oats,actual,h,371.1,373.45,374.11,374.11,-0.66,-0.66
1OK24,May Oats,actual,h,372.5,373.75,375.38,375.38,-1.63,-1.63
1OK24,May Oats,actual,h,373.45,373.37,375.27,375.27,-1.9,-1.9
1OK24,May Oats,actual,h,373.75,372.5,376.16,376.16,-3.66,-3.66
1OK24,May Oats,actual,h,373.37,371.23,374.95,374.95,-3.72,-3.72
1OK24,May Oats,actual,h,372.5,369,375.71,375.71,-6.71,-6.71
1OK24,May Oats,actual,h,371.23,365.56,369.19,369.19,-3.63,-3.63
1OK24,May Oats,actual,h,369,362.5,368.99,368.99,-6.49,-6.49
1OK24,May Oats,actual,h,365.56,361.42,365.39,365.39,-3.97,-3.97
1OK24,May Oats,actual,h,362.5,362,364.84,364.84,-2.84,-2.84
1OK24,May Oats,actual,h,361.42,363.59,359.98,359.98,3.61,3.61
1OK24,May Oats,actual,h,362,366,358.63,358.63,7.37,7.37
1OK24,May Oats,actual,h,363.59,369,360.51,360.51,8.49,8.49
1OK24,May Oats,actual,h,366,371.75,359.39,359.39,12.36,12.36
1OK24,May Oats,actual,h,369,373.45,366.78,366.78,6.67,6.67
1OK24,May Oats,actual,h,371.75,374,366.95,366.95,7.05,7.05
1OK24,May Oats,actual,h,373.45,373.74,373.95,373.95,-0.21,-0.21
1OK24,May Oats,actual,h,374,374,374.67,374.67,-0.67,-0.67
1OK24,May Oats,actual,h,373.74,375.67,377.07,377.07,-1.4,-1.4
1OK24,May Oats,actual,h,374,376.75,377.99,377.99,-1.24,-1.24
1OK24,May Oats,actual,h,375.67,375.26,378.71,378.71,-3.45,-3.45
1OK24,May Oats,actual,h,376.75,372.25,379.68,379.68,-7.43,-7.43
1OK24,May Oats,actual,h,375.26,369.21,376.42,376.42,-7.21,-7.21
1OK24,May Oats,actual,h,372.25,366.5,376.85,376.85,-10.35,-10.35
1OK24,May Oats,actual,h,369.21,364.2,369.99,369.99,-5.79,-5.79
1OK24,May Oats,actual,h,366.5,362.5,369.2,369.2,-6.7,-6.7
1OK24,May Oats,actual,h,364.2,361.49,363.02,363.02,-1.53,-1.53
1OK24,May Oats,actual,h,362.5,360.75,362.02,362.02,-1.27,-1.27
1OK24,May Oats,actual,h,361.49,359.86,357.99,357.99,1.87,1.87
1OK24,May Oats,actual,h,360.75,359,356.44,356.44,2.56,2.56
1OK24,May Oats,actual,h,359.86,358.52,355.92,355.92,2.6,2.6
1OK24,May Oats,actual,h,359,358.75,354.54,354.54,4.21,4.21
1OK24,May Oats,actual,h,358.52,360.05,355.58,355.58,4.47,4.47
1OK24,May Oats,actual,h,358.75,362.75,354.26,354.26,8.49,8.49
1OK24,May Oats,actual,h,360.05,363.88,358.81,358.81,5.07,5.07
1OK24,May Oats,actual,h,362.75,362.5,358.39,358.39,4.11,4.11
1OK24,May Oats,actual,h,363.88,360.37,362.32,362.32,-1.95,-1.95
1OK24,May Oats,actual,h,362.5,357.25,362.33,362.33,-5.08,-5.08
1OK24,May Oats,actual,h,360.37,356.85,360.8,360.8,-3.95,-3.95
1OK24,May Oats,actual,h,357.25,360.75,360.79,360.79,-0.04,-0.04
1OK24,May Oats,actual,h,356.85,NA,359.17,359.17,NA,NA
1OK24,May Oats,actual,h,360.75,NA,359.01,359.01,NA,NA
