symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
1OK24,May Oats,actual,l,361.81,368.71,365.1,365.1,3.61,3.61
1OK24,May Oats,actual,l,366.75,367.5,367.7,367.7,-0.2,-0.2
1OK24,May Oats,actual,l,368.71,364.1,368.43,368.43,-4.33,-4.33
1OK24,May Oats,actual,l,367.5,360.75,368.93,368.93,-8.18,-8.18
1OK24,May Oats,actual,l,364.1,359.33,366.38,366.38,-7.05,-7.05
1OK24,May Oats,actual,l,360.75,359,364.02,364.02,-5.02,-5.02
1OK24,May Oats,actual,l,359.33,358.88,359.3,359.3,-0.42,-0.42
1OK24,May Oats,actual,l,359,360.5,356.12,356.12,4.38,4.38
1OK24,May Oats,actual,l,358.88,364.81,357.58,357.58,7.23,7.23
1OK24,May Oats,actual,l,360.5,368,358.7,358.7,9.3,9.3
1OK24,May Oats,actual,l,364.81,366.81,364.51,364.51,2.3,2.3
1OK24,May Oats,actual,l,368,365,367.06,367.06,-2.06,-2.06
1OK24,May Oats,actual,l,366.81,366.45,367.93,367.93,-1.48,-1.48
1OK24,May Oats,actual,l,365,368.5,369.45,369.45,-0.95,-0.95
1OK24,May Oats,actual,l,366.45,368.22,369.64,369.64,-1.42,-1.42
1OK24,May Oats,actual,l,368.5,368.25,367.89,367.89,0.36,0.36
1OK24,May Oats,actual,l,368.22,371.03,369.01,369.01,2.02,2.02
1OK24,May Oats,actual,l,368.25,372.5,369.83,369.83,2.67,2.67
1OK24,May Oats,actual,l,371.03,369.03,371.88,371.88,-2.85,-2.85
1OK24,May Oats,actual,l,372.5,365,371.79,371.79,-6.79,-6.79
1OK24,May Oats,actual,l,369.03,365.03,368.34,368.34,-3.31,-3.31
1OK24,May Oats,actual,l,365,366.5,367.75,367.75,-1.25,-1.25
1OK24,May Oats,actual,l,365.03,366.15,365.92,365.92,0.23,0.23
1OK24,May Oats,actual,l,366.5,365.25,363.26,363.26,1.99,1.99
1OK24,May Oats,actual,l,366.15,365.38,363.6,363.6,1.78,1.78
1OK24,May Oats,actual,l,365.25,364.75,364.51,364.51,0.24,0.24
1OK24,May Oats,actual,l,365.38,361.51,364.01,364.01,-2.5,-2.5
1OK24,May Oats,actual,l,364.75,357,363.31,363.31,-6.31,-6.31
1OK24,May Oats,actual,l,361.51,353.05,358.56,358.56,-5.51,-5.51
1OK24,May Oats,actual,l,357,350.25,356.57,356.57,-6.32,-6.32
1OK24,May Oats,actual,l,353.05,348.8,349.9,349.9,-1.1,-1.1
1OK24,May Oats,actual,l,350.25,348.5,345.7,345.7,2.8,2.8
1OK24,May Oats,actual,l,348.8,349.33,344.9,344.9,4.43,4.43
1OK24,May Oats,actual,l,348.5,352.25,344.6,344.6,7.65,7.65
1OK24,May Oats,actual,l,349.33,357.57,347.99,347.99,9.58,9.58
1OK24,May Oats,actual,l,352.25,362,351.01,351.01,10.99,10.99
1OK24,May Oats,actual,l,357.57,362.67,358.85,358.85,3.82,3.82
1OK24,May Oats,actual,l,362,362,363.49,363.49,-1.49,-1.49
1OK24,May Oats,actual,l,362.67,362.91,364.98,364.98,-2.07,-2.07
1OK24,May Oats,actual,l,362,365,366.41,366.41,-1.41,-1.41
1OK24,May Oats,actual,l,362.91,367.02,368.25,368.25,-1.23,-1.23
1OK24,May Oats,actual,l,365,367.75,367.09,367.09,0.66,0.66
1OK24,May Oats,actual,l,367.02,366.44,367.72,367.72,-1.28,-1.28
1OK24,May Oats,actual,l,367.75,364.25,366.01,366.01,-1.76,-1.76
1OK24,May Oats,actual,l,366.44,362.42,366.63,366.63,-4.21,-4.21
1OK24,May Oats,actual,l,364.25,360.5,365.26,365.26,-4.76,-4.76
1OK24,May Oats,actual,l,362.42,357.99,362.41,362.41,-4.42,-4.42
1OK24,May Oats,actual,l,360.5,356,360.8,360.8,-4.8,-4.8
1OK24,May Oats,actual,l,357.99,355.61,355.63,355.63,-0.02,-0.02
1OK24,May Oats,actual,l,356,356.25,354.23,354.23,2.02,2.02
1OK24,May Oats,actual,l,355.61,357.17,353.79,353.79,3.38,3.38
1OK24,May Oats,actual,l,356.25,358.5,354.25,354.25,4.25,4.25
1OK24,May Oats,actual,l,357.17,360.5,356.1,356.1,4.4,4.4
1OK24,May Oats,actual,l,358.5,363,358.4,358.4,4.6,4.6
1OK24,May Oats,actual,l,360.5,365.61,362.09,362.09,3.52,3.52
1OK24,May Oats,actual,l,363,367.5,364.62,364.62,2.88,2.88
1OK24,May Oats,actual,l,365.61,368.11,367.89,367.89,0.22,0.22
1OK24,May Oats,actual,l,367.5,368.25,369.37,369.37,-1.12,-1.12
1OK24,May Oats,actual,l,368.11,368.69,370.69,370.69,-2,-2
1OK24,May Oats,actual,l,368.25,368.5,370.57,370.57,-2.07,-2.07
1OK24,May Oats,actual,l,368.69,366.71,370.44,370.44,-3.73,-3.73
1OK24,May Oats,actual,l,368.5,363.75,368.93,368.93,-5.18,-5.18
1OK24,May Oats,actual,l,366.71,360.47,365.24,365.24,-4.77,-4.77
1OK24,May Oats,actual,l,363.75,358,362.07,362.07,-4.07,-4.07
1OK24,May Oats,actual,l,360.47,357.02,358.95,358.95,-1.93,-1.93
1OK24,May Oats,actual,l,358,356.25,356.56,356.56,-0.31,-0.31
1OK24,May Oats,actual,l,357.02,354.47,353.83,353.83,0.64,0.64
1OK24,May Oats,actual,l,356.25,352.75,352.79,352.79,-0.04,-0.04
1OK24,May Oats,actual,l,354.47,352.29,350.84,350.84,1.45,1.45
1OK24,May Oats,actual,l,352.75,352.5,351.28,351.28,1.22,1.22
1OK24,May Oats,actual,l,352.29,352.64,351.25,351.25,1.39,1.39
