symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
1OK24,May Oats,actual,m,368.87,372.53,368.85,368.85,3.68,3.68
1OK24,May Oats,actual,m,371.88,371.5,369.91,369.91,1.59,1.59
1OK24,May Oats,actual,m,372.53,369.76,374.62,374.62,-4.86,-4.86
1OK24,May Oats,actual,m,371.5,367.38,376.25,376.25,-8.87,-8.87
1OK24,May Oats,actual,m,369.76,364.52,373.62,373.62,-9.1,-9.1
1OK24,May Oats,actual,m,367.38,362.75,375.01,375.01,-12.26,-12.26
1OK24,May Oats,actual,m,364.52,363.45,367.03,367.03,-3.58,-3.58
1OK24,May Oats,actual,m,362.75,366,367.01,367.01,-1.01,-1.01
1OK24,May Oats,actual,m,363.45,369.14,363.16,363.16,5.98,5.98
1OK24,May Oats,actual,m,366,371,362.37,362.37,8.63,8.63
1OK24,May Oats,actual,m,369.14,370.41,366.48,366.48,3.93,3.93
1OK24,May Oats,actual,m,371,369.5,366.34,366.34,3.16,3.16
1OK24,May Oats,actual,m,370.41,370.42,369.83,369.83,0.59,0.59
1OK24,May Oats,actual,m,369.5,372,370.11,370.11,1.89,1.89
1OK24,May Oats,actual,m,370.42,372.78,372.66,372.66,0.12,0.12
1OK24,May Oats,actual,m,372,373.5,373.25,373.25,0.25,0.25
1OK24,May Oats,actual,m,372.78,374.82,374.33,374.33,0.49,0.49
1OK24,May Oats,actual,m,373.5,375,374.97,374.97,0.03,0.03
1OK24,May Oats,actual,m,374.82,372.64,375.83,375.83,-3.19,-3.19
1OK24,May Oats,actual,m,375,370,376.55,376.55,-6.55,-6.55
1OK24,May Oats,actual,m,372.64,369.47,373.75,373.75,-4.28,-4.28
1OK24,May Oats,actual,m,370,370.12,374.25,374.25,-4.13,-4.13
1OK24,May Oats,actual,m,369.47,370.55,371.46,371.46,-0.91,-0.91
1OK24,May Oats,actual,m,370.12,370.62,371.51,371.51,-0.89,-0.89
1OK24,May Oats,actual,m,370.55,370.37,369.45,369.45,0.92,0.92
1OK24,May Oats,actual,m,370.62,369.12,369.1,369.1,0.02,0.02
1OK24,May Oats,actual,m,370.37,366.41,368.63,368.63,-2.22,-2.22
1OK24,May Oats,actual,m,369.12,363.12,368.14,368.14,-5.02,-5.02
1OK24,May Oats,actual,m,366.41,360.2,365.32,365.32,-5.12,-5.12
1OK24,May Oats,actual,m,363.12,357.38,364.48,364.48,-7.1,-7.1
1OK24,May Oats,actual,m,360.2,354.55,358.82,358.82,-4.27,-4.27
1OK24,May Oats,actual,m,357.38,353.5,357.51,357.51,-4.01,-4.01
1OK24,May Oats,actual,m,354.55,355.71,351.87,351.87,3.84,3.84
1OK24,May Oats,actual,m,353.5,359.75,349.92,349.92,9.83,9.83
1OK24,May Oats,actual,m,355.71,363.63,352.05,352.05,11.58,11.58
1OK24,May Oats,actual,m,359.75,366,350.41,350.41,15.59,15.59
1OK24,May Oats,actual,m,363.63,366.23,359.92,359.92,6.31,6.31
1OK24,May Oats,actual,m,366,366,359.75,359.75,6.25,6.25
1OK24,May Oats,actual,m,366.23,367.01,366.72,366.72,0.29,0.29
1OK24,May Oats,actual,m,366,368.75,367.6,367.6,1.15,1.15
1OK24,May Oats,actual,m,367.01,370.24,370.97,370.97,-0.73,-0.73
1OK24,May Oats,actual,m,368.75,370.75,372.39,372.39,-1.64,-1.64
1OK24,May Oats,actual,m,370.24,369.9,372.9,372.9,-3,-3
1OK24,May Oats,actual,m,370.75,368.38,374.18,374.18,-5.8,-5.8
1OK24,May Oats,actual,m,369.9,366.83,371.85,371.85,-5.02,-5.02
1OK24,May Oats,actual,m,368.38,364.75,372.74,372.74,-7.99,-7.99
1OK24,May Oats,actual,m,366.83,361.77,367.91,367.91,-6.14,-6.14
1OK24,May Oats,actual,m,364.75,359.25,367.66,367.66,-8.41,-8.41
1OK24,May Oats,actual,m,361.77,358.51,361.52,361.52,-3.01,-3.01
1OK24,May Oats,actual,m,359.25,359.12,360.87,360.87,-1.75,-1.75
1OK24,May Oats,actual,m,358.51,360.38,356.78,356.78,3.6,3.6
1OK24,May Oats,actual,m,359.12,362.25,355.57,355.57,6.68,6.68
1OK24,May Oats,actual,m,360.38,364.75,357.37,357.37,7.38,7.38
1OK24,May Oats,actual,m,362.25,367.38,356.48,356.48,10.9,10.9
1OK24,May Oats,actual,m,364.75,369.53,362.96,362.96,6.57,6.57
1OK24,May Oats,actual,m,367.38,370.75,362.96,362.96,7.79,7.79
1OK24,May Oats,actual,m,369.53,370.92,370.07,370.07,0.85,0.85
1OK24,May Oats,actual,m,370.75,371.12,371,371,0.12,0.12
1OK24,May Oats,actual,m,370.92,372.18,373.91,373.91,-1.73,-1.73
1OK24,May Oats,actual,m,371.12,372.62,375.14,375.14,-2.52,-2.52
1OK24,May Oats,actual,m,372.18,370.99,375.29,375.29,-4.3,-4.3
1OK24,May Oats,actual,m,372.62,368,376.33,376.33,-8.33,-8.33
1OK24,May Oats,actual,m,370.99,364.84,372.45,372.45,-7.61,-7.61
1OK24,May Oats,actual,m,368,362.25,372.98,372.98,-10.73,-10.73
1OK24,May Oats,actual,m,364.84,360.61,365.64,365.64,-5.03,-5.03
1OK24,May Oats,actual,m,362.25,359.38,365.13,365.13,-5.75,-5.75
1OK24,May Oats,actual,m,360.61,357.98,359.08,359.08,-1.1,-1.1
1OK24,May Oats,actual,m,359.38,356.75,358,358,-1.25,-1.25
1OK24,May Oats,actual,m,357.98,356.07,354.31,354.31,1.76,1.76
1OK24,May Oats,actual,m,356.75,355.75,352.7,352.7,3.05,3.05
1OK24,May Oats,actual,m,356.07,355.58,352.51,352.51,3.07,3.07
1OK24,May Oats,actual,m,355.75,356,351.08,351.08,4.92,4.92
1OK24,May Oats,actual,m,355.58,357.61,352.97,352.97,4.64,4.64
1OK24,May Oats,actual,m,356,361,352.05,352.05,8.95,8.95
1OK24,May Oats,actual,m,357.61,362.11,356.7,356.7,5.41,5.41
1OK24,May Oats,actual,m,361,359.75,356.49,356.49,3.26,3.26
1OK24,May Oats,actual,m,362.11,357.3,360.62,360.62,-3.32,-3.32
1OK24,May Oats,actual,m,359.75,354.88,360.96,360.96,-6.08,-6.08
1OK24,May Oats,actual,m,357.3,354.57,358.59,358.59,-4.02,-4.02
1OK24,May Oats,actual,m,354.88,357.75,358.65,358.65,-0.9,-0.9
1OK24,May Oats,actual,m,354.57,NA,356.68,356.68,NA,NA
1OK24,May Oats,actual,m,357.75,NA,356.59,356.59,NA,NA
