date,symbol,desc,group,dt,pproc,method,price,predict,target,error,etime
2024-02-02T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,614.98,613.6,604.95,-8.65,0.6048
2024-02-05T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,608.75,613.3,605.25,-8.05,0.6048
2024-02-05T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,604.95,611.75,609.34,-2.41,0.6092
2024-02-06T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,605.25,611.54,612.5,0.96,0.6092
2024-02-06T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,609.34,609.39,610.8,1.41,0.544
2024-02-07T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,612.5,609.01,608,-1.01,0.544
2024-02-07T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,610.8,608.15,608.16,0.01,0.5792
2024-02-08T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,608,607.68,608.75,1.07,0.5792
2024-02-08T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,608.16,607.07,606.82,-0.25,0.5623
2024-02-09T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,608.75,606.65,604.25,-2.4,0.5623
2024-02-09T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,606.82,605.31,603.29,-2.02,0.5408
2024-02-12T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,604.25,604.85,602.75,-2.1,0.5408
2024-02-12T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,603.29,604.25,600.9,-3.35,0.6953
2024-02-13T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,602.75,603.7,597.25,-6.45,0.6953
2024-02-13T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,600.9,600.31,591.54,-8.77,0.5921
2024-02-14T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,597.25,599.73,583.25,-16.48,0.5921
2024-02-14T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,591.54,587.6,573.3,-14.3,0.5225
2024-02-15T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,583.25,585.91,568.75,-17.16,0.5225
2024-02-15T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,573.3,570.06,574.65,4.59,0.153
2024-02-16T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,568.75,565.92,581.75,15.83,0.153
2024-02-16T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,574.65,566.99,581.28,14.29,0.1721
2024-02-20T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,581.75,563.39,580.5,17.11,0.1721
2024-02-20T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,581.28,571.96,587.09,15.13,0.2255
2024-02-21T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,580.5,569.82,594.25,24.43,0.2255
2024-02-21T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,587.09,585.74,593.92,8.18,0.4958
2024-02-22T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,594.25,585.87,587.5,1.63,0.4958
2024-02-22T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,593.92,594.16,579.35,-14.81,0.5265
2024-02-23T09:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,587.5,595.67,576.25,-19.42,0.5265
2024-02-23T10:00:00Z,1WK24,May Wheat,actual,h,none,mstl1,579.35,585.61,582.41,-3.2,0.238
