symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
1WK24,M1,0.01,0.01,Buy,24-02-02,-1,Buy,Stop,Entry,0,601.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-05,-1,Buy,Stop,Entry,1,598,TRUE,1,8
1WK24,M1,0.01,0.01,Buy,24-02-05,-1,Sell,Stop,Target,1,611.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-05,-1,Sell,Stop,PSI,1,596,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-06,1,Sell,Stop,Target,1,609.25,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-06,1,Sell,Stop,PSA,1,598,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-07,1,Sell,Stop,Target,0,608,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-07,1,Sell,Stop,PSA,1,598,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-08,-1,Buy,Stop,Entry,1,592.75,TRUE,1,11
1WK24,M1,0.01,0.01,Buy,24-02-08,-1,Sell,Stop,Target,0,607,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-08,-1,Sell,Stop,PSI,1,590,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-09,1,Buy,Stop,Entry,0,590.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-12,1,Buy,Stop,Entry,1,591,TRUE,1,1
1WK24,M1,0.01,0.01,Buy,24-02-12,1,Sell,Stop,Target,0,604,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-12,1,Sell,Stop,PSI,1,590.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-13,-1,Buy,Stop,Entry,0,586.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-14,-1,Buy,Stop,Entry,0,567.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-15,-1,Buy,Stop,Entry,0,550,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-16,-1,Buy,Stop,Entry,0,538.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-20,1,Buy,Stop,Entry,0,549.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-21,-1,Buy,Stop,Entry,0,569.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-22,1,Buy,Stop,Entry,1,576.75,TRUE,1,9
1WK24,M1,0.01,0.01,Buy,24-02-22,1,Sell,Stop,Target,1,595.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-22,1,Sell,Stop,PSI,1,574.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-23,-1,Sell,Stop,Target,0,586,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-23,-1,Sell,Stop,PSA,1,576.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-26,1,Buy,Stop,Entry,1,566.25,TRUE,1,25
1WK24,M1,0.01,0.01,Buy,24-02-26,1,Sell,Stop,Target,1,585,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-26,1,Sell,Stop,PSI,1,560,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-27,1,Sell,Stop,Target,1,583.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-27,1,Sell,Stop,PSA,1,566.25,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-28,-1,Sell,Stop,Target,0,575.25,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-28,-1,Sell,Stop,PSA,1,566.25,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-02-29,0,Buy,Stop,Entry,0,561,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-01,-1,Buy,Stop,Entry,0,551,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-04,1,Buy,Stop,Entry,0,541.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-05,-1,Buy,Stop,Entry,0,527,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-06,-1,Buy,Stop,Entry,0,517.25,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-07,-1,Buy,Stop,Entry,0,511.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-08,1,Buy,Stop,Entry,0,513.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-11,1,Buy,Stop,Entry,1,528.25,TRUE,1,19
1WK24,M1,0.01,0.01,Buy,24-03-11,1,Sell,Stop,Target,0,549.5,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-11,1,Sell,Stop,PSI,1,523.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-12,1,Buy,Stop,Entry,0,539.25,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-13,-1,Buy,Stop,Entry,1,537.5,TRUE,1,3
1WK24,M1,0.01,0.01,Buy,24-03-13,-1,Sell,Stop,Target,0,552.25,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-13,-1,Sell,Stop,PSI,1,536.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-14,-1,Buy,Stop,Entry,1,529.75,TRUE,1,6
1WK24,M1,0.01,0.01,Buy,24-03-14,-1,Sell,Stop,Target,0,539.25,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-14,-1,Sell,Stop,PSI,1,528.25,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-15,-1,Buy,Stop,Entry,0,522.25,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-18,1,Buy,Stop,Entry,1,530.25,TRUE,1,13
1WK24,M1,0.01,0.01,Buy,24-03-18,1,Sell,Stop,Target,1,544,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-18,1,Sell,Stop,PSI,1,527,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-19,1,Sell,Stop,Target,1,554.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-19,1,Sell,Stop,PSA,1,538.25,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-20,-1,Sell,Stop,Target,1,558.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-20,-1,Sell,Stop,PSA,1,542.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-21,1,Sell,Stop,Target,1,560.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-21,1,Sell,Stop,PSA,1,543.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-22,1,Sell,Stop,Target,1,567.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-22,1,Sell,Stop,PSA,1,548.25,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-25,-1,Sell,Stop,Target,0,566.5,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-25,-1,Sell,Stop,PSA,1,550,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-26,-1,Buy,Stop,Entry,0,542.25,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-27,1,Buy,Stop,Entry,1,544,TRUE,1,22
1WK24,M1,0.01,0.01,Buy,24-03-27,1,Sell,Stop,Target,1,559.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-27,1,Sell,Stop,PSI,1,538.5,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-28,1,Sell,Stop,Target,0,560.5,TRUE,1,NA
1WK24,M1,0.01,0.01,Buy,24-03-28,1,Sell,Stop,PSA,1,544.25,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-04-01,-1,Buy,Stop,Entry,0,546.75,FALSE,1,NA
1WK24,M1,0.01,0.01,Buy,24-04-02,NA,Buy,Stop,Entry,0,550.25,FALSE,1,NA
