symbol,group,dt,pproc,method,etime,mean,sd,zscore
1WK24,actual,h,none,mstl1,15.9629,0.064,9.9447,1.1595
1WK24,actual,h,none,mstl2,26.3822,0.0569,9.9277,1.1584
1WK24,actual,h,none,mstl3,16.0354,0.0759,9.9326,1.1591
1WK24,actual,h,none,zlma1,15.1619,-0.19,7.8058,1.2184
1WK24,actual,h,none,zlma2,25.9035,-0.1668,7.6913,1.2143
1WK24,actual,h,none,zlma3,20.0894,-0.1345,7.6907,1.2109
1WK24,actual,l,none,mstl1,9.1032,0.3431,9.7577,1.1121
1WK24,actual,l,none,mstl2,21.163,0.3421,9.7525,1.1113
1WK24,actual,l,none,mstl3,14.5782,0.3449,9.7464,1.1118
1WK24,actual,l,none,zlma1,14.5835,0.1798,7.5241,1.1835
1WK24,actual,l,none,zlma2,24.1507,0.142,7.4799,1.1813
1WK24,actual,l,none,zlma3,22.3497,0.1071,7.3264,1.1777
1WK24,actual,c,none,mstl1,9.5064,0.3135,11.3806,1.1414
1WK24,actual,c,none,mstl2,21.6777,0.3086,11.3712,1.1423
1WK24,actual,c,none,mstl3,17.2953,0.322,11.3616,1.1419
1WK24,actual,c,none,zlma1,14.802999999999999,0.0144,9.2512,1.2141
1WK24,actual,c,none,zlma2,24.5086,-0.0037,9.202,1.214
1WK24,actual,c,none,zlma3,24.5695,0.1416,9.1466,1.2113
1WK24,actual,m,none,mstl1,10.2225,0.1758,9.4325,1.1149
1WK24,actual,m,none,mstl2,23.7893,0.1641,9.4236,1.1161
1WK24,actual,m,none,mstl3,13.5814,0.1808,9.4303,1.115
1WK24,actual,m,none,zlma1,15.0441,0.0121,7.2832,1.2159
1WK24,actual,m,none,zlma2,24.0284,-0.0114,7.2323,1.2135
1WK24,actual,m,none,zlma3,20.845,0.0378,7.1897,1.2078
