symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
1WK24,May Wheat,actual,c,603.01,599.13,607.79,607.79,-8.66,-8.66
1WK24,May Wheat,actual,c,599,602.75,607.77,607.77,-5.02,-5.02
1WK24,May Wheat,actual,c,599.13,607.52,604.2,604.2,3.32,3.32
1WK24,May Wheat,actual,c,602.75,608,603.91,603.91,4.09,4.09
1WK24,May Wheat,actual,c,607.52,600.84,602.8,602.8,-1.96,-1.96
1WK24,May Wheat,actual,c,608,594,602.24,602.24,-8.24,-8.24
1WK24,May Wheat,actual,c,600.84,595.14,600.67,600.67,-5.53,-5.53
1WK24,May Wheat,actual,c,594,599.25,600.19,600.19,-0.94,-0.94
1WK24,May Wheat,actual,c,595.14,600.12,598.62,598.62,1.5,1.5
1WK24,May Wheat,actual,c,599.25,599.25,598.08,598.08,1.17,1.17
1WK24,May Wheat,actual,c,600.12,598.96,597.76,597.76,1.2,1.2
1WK24,May Wheat,actual,c,599.25,597,597.32,597.32,-0.32,-0.32
1WK24,May Wheat,actual,c,598.96,591.05,597.15,597.15,-6.1,-6.1
1WK24,May Wheat,actual,c,597,583,596.77,596.77,-13.77,-13.77
1WK24,May Wheat,actual,c,591.05,575.15,592.47,592.47,-17.32,-17.32
1WK24,May Wheat,actual,c,583,567.25,591.84,591.84,-24.59,-24.59
1WK24,May Wheat,actual,c,575.15,559.81,572.66,572.66,-12.85,-12.85
1WK24,May Wheat,actual,c,567.25,559,570.57,570.57,-11.57,-11.57
1WK24,May Wheat,actual,c,559.81,568.86,554.76,554.76,14.1,14.1
1WK24,May Wheat,actual,c,559,579.25,550.32,550.32,28.93,28.93
1WK24,May Wheat,actual,c,568.86,580.38,558.6,558.6,21.78,21.78
1WK24,May Wheat,actual,c,579.25,578,555.14,555.14,22.86,22.86
1WK24,May Wheat,actual,c,580.38,579.01,571.02,571.02,7.99,7.99
1WK24,May Wheat,actual,c,578,579.25,569.75,569.75,9.5,9.5
1WK24,May Wheat,actual,c,579.01,574.2,580.57,580.57,-6.37,-6.37
1WK24,May Wheat,actual,c,579.25,569,581.12,581.12,-12.12,-12.12
1WK24,May Wheat,actual,c,574.2,569.5,578.1,578.1,-8.6,-8.6
1WK24,May Wheat,actual,c,569,574.75,578.6,578.6,-3.85,-3.85
1WK24,May Wheat,actual,c,569.5,581.52,573.02,573.02,8.5,8.5
1WK24,May Wheat,actual,c,574.75,584.25,573.47,573.47,10.78,10.78
1WK24,May Wheat,actual,c,581.52,579.51,578.72,578.72,0.79,0.79
1WK24,May Wheat,actual,c,584.25,574.75,579.71,579.71,-4.96,-4.96
1WK24,May Wheat,actual,c,579.51,576.44,578.82,578.82,-2.38,-2.38
1WK24,May Wheat,actual,c,574.75,576.25,579.13,579.13,-2.88,-2.88
1WK24,May Wheat,actual,c,576.44,566.62,569.13,569.13,-2.51,-2.51
1WK24,May Wheat,actual,c,576.25,557.75,568.37,568.37,-10.62,-10.62
1WK24,May Wheat,actual,c,566.62,559.69,565.43,565.43,-5.74,-5.74
1WK24,May Wheat,actual,c,557.75,564,564.46,564.46,-0.46,-0.46
1WK24,May Wheat,actual,c,559.69,560.55,557.9,557.9,2.65,2.65
1WK24,May Wheat,actual,c,564,551,555.7,555.7,-4.7,-4.7
1WK24,May Wheat,actual,c,560.55,539.82,551.43,551.43,-11.61,-11.61
1WK24,May Wheat,actual,c,551,531,548.96,548.96,-17.96,-17.96
1WK24,May Wheat,actual,c,539.82,527.5,534.85,534.85,-7.35,-7.35
1WK24,May Wheat,actual,c,531,528.5,531.35,531.35,-2.85,-2.85
1WK24,May Wheat,actual,c,527.5,532.35,522.06,522.06,10.29,10.29
1WK24,May Wheat,actual,c,528.5,537.75,517.45,517.45,20.3,20.3
1WK24,May Wheat,actual,c,532.35,543.34,521.71,521.71,21.63,21.63
1WK24,May Wheat,actual,c,537.75,547.25,518.02,518.02,29.23,29.23
1WK24,May Wheat,actual,c,543.34,548.14,535.32,535.32,12.82,12.82
1WK24,May Wheat,actual,c,547.25,547.5,534.03,534.03,13.47,13.47
1WK24,May Wheat,actual,c,548.14,546.73,547.82,547.82,-1.09,-1.09
1WK24,May Wheat,actual,c,547.5,544.25,548.57,548.57,-4.32,-4.32
1WK24,May Wheat,actual,c,546.73,538.64,551.16,551.16,-12.52,-12.52
1WK24,May Wheat,actual,c,544.25,532.25,552.4,552.4,-20.15,-20.15
1WK24,May Wheat,actual,c,538.64,528.13,541.93,541.93,-13.8,-13.8
1WK24,May Wheat,actual,c,532.25,528.5,542.62,542.62,-14.12,-14.12
1WK24,May Wheat,actual,c,528.13,534.37,528.9,528.9,5.47,5.47
1WK24,May Wheat,actual,c,528.5,542.75,527.22,527.22,15.53,15.53
1WK24,May Wheat,actual,c,534.37,549.83,528.86,528.86,20.97,20.97
1WK24,May Wheat,actual,c,542.75,552.5,527.46,527.46,25.04,25.04
1WK24,May Wheat,actual,c,549.83,549.36,544.4,544.4,4.96,4.96
1WK24,May Wheat,actual,c,552.5,545,544.75,544.75,0.25,0.25
1WK24,May Wheat,actual,c,549.36,544.25,551.75,551.75,-7.5,-7.5
1WK24,May Wheat,actual,c,545,546.75,553.28,553.28,-6.53,-6.53
1WK24,May Wheat,actual,c,544.25,550.83,551.83,551.83,-1,-1
1WK24,May Wheat,actual,c,546.75,554.75,553.28,553.28,1.47,1.47
1WK24,May Wheat,actual,c,550.83,556.75,553.43,553.43,3.32,3.32
1WK24,May Wheat,actual,c,554.75,555,554.65,554.65,0.35,0.35
1WK24,May Wheat,actual,c,556.75,548.98,556.58,556.58,-7.6,-7.6
1WK24,May Wheat,actual,c,555,543.5,558.42,558.42,-14.92,-14.92
1WK24,May Wheat,actual,c,548.98,543.29,548.26,548.26,-4.97,-4.97
1WK24,May Wheat,actual,c,543.5,547.5,548.8,548.8,-1.3,-1.3
1WK24,May Wheat,actual,c,543.29,553.9,549.24,549.24,4.66,4.66
1WK24,May Wheat,actual,c,547.5,560.25,549.29,549.29,10.96,10.96
1WK24,May Wheat,actual,c,553.9,554.77,553.52,553.52,1.25,1.25
1WK24,May Wheat,actual,c,560.25,560.25,553.77,553.77,6.48,6.48
1WK24,May Wheat,actual,c,554.77,560.2,553.6,553.6,6.6,6.6
1WK24,May Wheat,actual,c,560.25,557,553.86,553.86,3.14,3.14
1WK24,May Wheat,actual,c,560.2,554.55,555.75,555.75,-1.2,-1.2
1WK24,May Wheat,actual,c,557,556.75,556.17,556.17,0.58,0.58
1WK24,May Wheat,actual,c,554.55,NA,553.65,553.65,NA,NA
1WK24,May Wheat,actual,c,556.75,NA,553.92,553.92,NA,NA
