symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
1WK24,May Wheat,actual,h,614.98,604.95,613.6,613.6,-8.65,-8.65
1WK24,May Wheat,actual,h,608.75,605.25,613.3,613.3,-8.05,-8.05
1WK24,May Wheat,actual,h,604.95,609.34,611.75,611.75,-2.41,-2.41
1WK24,May Wheat,actual,h,605.25,612.5,611.54,611.54,0.96,0.96
1WK24,May Wheat,actual,h,609.34,610.8,609.39,609.39,1.41,1.41
1WK24,May Wheat,actual,h,612.5,608,609.01,609.01,-1.01,-1.01
1WK24,May Wheat,actual,h,610.8,608.16,608.14,608.14,0.02,0.02
1WK24,May Wheat,actual,h,608,608.75,607.68,607.68,1.07,1.07
1WK24,May Wheat,actual,h,608.16,606.82,607.07,607.07,-0.25,-0.25
1WK24,May Wheat,actual,h,608.75,604.25,606.65,606.65,-2.4,-2.4
1WK24,May Wheat,actual,h,606.82,603.29,605.31,605.31,-2.02,-2.02
1WK24,May Wheat,actual,h,604.25,602.75,604.85,604.85,-2.1,-2.1
1WK24,May Wheat,actual,h,603.29,600.9,604.27,604.27,-3.37,-3.37
1WK24,May Wheat,actual,h,602.75,597.25,603.7,603.7,-6.45,-6.45
1WK24,May Wheat,actual,h,600.9,591.54,600.3,600.3,-8.76,-8.76
1WK24,May Wheat,actual,h,597.25,583.25,599.69,599.69,-16.44,-16.44
1WK24,May Wheat,actual,h,591.54,573.3,587.4,587.4,-14.1,-14.1
1WK24,May Wheat,actual,h,583.25,568.75,586.13,586.13,-17.38,-17.38
1WK24,May Wheat,actual,h,573.3,574.65,570.01,570.01,4.64,4.64
1WK24,May Wheat,actual,h,568.75,581.75,566.12,566.12,15.63,15.63
1WK24,May Wheat,actual,h,574.65,581.28,567.13,567.13,14.15,14.15
1WK24,May Wheat,actual,h,581.75,580.5,563.27,563.27,17.23,17.23
1WK24,May Wheat,actual,h,581.28,587.09,571.83,571.83,15.26,15.26
1WK24,May Wheat,actual,h,580.5,594.25,569.95,569.95,24.3,24.3
1WK24,May Wheat,actual,h,587.09,593.92,585.87,585.87,8.05,8.05
1WK24,May Wheat,actual,h,594.25,587.5,585.69,585.69,1.81,1.81
1WK24,May Wheat,actual,h,593.92,579.35,594.16,594.16,-14.81,-14.81
1WK24,May Wheat,actual,h,587.5,576.25,595.67,595.67,-19.42,-19.42
1WK24,May Wheat,actual,h,579.35,582.41,585.58,585.58,-3.17,-3.17
1WK24,May Wheat,actual,h,576.25,589.5,585.93,585.93,3.57,3.57
1WK24,May Wheat,actual,h,582.41,589.09,584.69,584.69,4.4,4.4
1WK24,May Wheat,actual,h,589.5,585,584.9,584.9,0.1,0.1
1WK24,May Wheat,actual,h,589.09,582.62,584.29,584.29,-1.67,-1.67
1WK24,May Wheat,actual,h,585,581.5,583.72,583.72,-2.22,-2.22
1WK24,May Wheat,actual,h,582.62,579.88,576.27,576.27,3.61,3.61
1WK24,May Wheat,actual,h,581.5,576.75,575.45,575.45,1.3,1.3
1WK24,May Wheat,actual,h,579.88,571.93,577.23,577.23,-5.3,-5.3
1WK24,May Wheat,actual,h,576.75,568,576.56,576.56,-8.56,-8.56
1WK24,May Wheat,actual,h,571.93,566.89,571.36,571.36,-4.47,-4.47
1WK24,May Wheat,actual,h,568,565.25,570.16,570.16,-4.91,-4.91
1WK24,May Wheat,actual,h,566.89,559.65,562.74,562.74,-3.09,-3.09
1WK24,May Wheat,actual,h,565.25,551.5,560.21,560.21,-8.71,-8.71
1WK24,May Wheat,actual,h,559.65,543.52,552.57,552.57,-9.05,-9.05
1WK24,May Wheat,actual,h,551.5,538.75,549.84,549.84,-11.09,-11.09
1WK24,May Wheat,actual,h,543.52,539.23,538.14,538.14,1.09,1.09
1WK24,May Wheat,actual,h,538.75,542.75,534.34,534.34,8.41,8.41
1WK24,May Wheat,actual,h,539.23,546.58,532.03,532.03,14.55,14.55
1WK24,May Wheat,actual,h,542.75,550.25,528.05,528.05,22.2,22.2
1WK24,May Wheat,actual,h,546.58,553.66,537.43,537.43,16.23,16.23
1WK24,May Wheat,actual,h,550.25,556,535.71,535.71,20.29,20.29
1WK24,May Wheat,actual,h,553.66,556.35,549.58,549.58,6.77,6.77
1WK24,May Wheat,actual,h,556,554,549.79,549.79,4.21,4.21
1WK24,May Wheat,actual,h,556.35,548.84,557.72,557.72,-8.88,-8.88
