symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
1WK24,May Wheat,actual,l,601.2,594.84,601.15,601.15,-6.31,-6.31
1WK24,May Wheat,actual,l,596,596.75,601.04,601.04,-4.29,-4.29
1WK24,May Wheat,actual,l,594.84,598.95,597.94,597.94,1.01,1.01
1WK24,May Wheat,actual,l,596.75,598.5,597.71,597.71,0.79,0.79
1WK24,May Wheat,actual,l,598.95,593.95,596.87,596.87,-2.92,-2.92
1WK24,May Wheat,actual,l,598.5,590,596.56,596.56,-6.56,-6.56
1WK24,May Wheat,actual,l,593.95,590.88,594.78,594.78,-3.9,-3.9
1WK24,May Wheat,actual,l,590,592.75,594.4,594.4,-1.65,-1.65
1WK24,May Wheat,actual,l,590.88,591.6,592.97,592.97,-1.37,-1.37
1WK24,May Wheat,actual,l,592.75,590.75,592.59,592.59,-1.84,-1.84
1WK24,May Wheat,actual,l,591.6,593.27,590.84,590.84,2.43,2.43
1WK24,May Wheat,actual,l,590.75,593.75,590.34,590.34,3.41,3.41
1WK24,May Wheat,actual,l,593.27,587.07,591.25,591.25,-4.18,-4.18
1WK24,May Wheat,actual,l,593.75,577.75,590.85,590.85,-13.1,-13.1
1WK24,May Wheat,actual,l,587.07,571.11,587.16,587.16,-16.05,-16.05
1WK24,May Wheat,actual,l,577.75,566,586.57,586.57,-20.57,-20.57
1WK24,May Wheat,actual,l,571.11,560.37,570.04,570.04,-9.67,-9.67
1WK24,May Wheat,actual,l,566,555,567.76,567.76,-12.76,-12.76
1WK24,May Wheat,actual,l,560.37,551.7,553.79,553.79,-2.09,-2.09
1WK24,May Wheat,actual,l,555,553.5,550.12,550.12,3.38,3.38
1WK24,May Wheat,actual,l,551.7,561.9,543.31,543.31,18.59,18.59
1WK24,May Wheat,actual,l,553.5,571,538.88,538.88,32.12,32.12
1WK24,May Wheat,actual,l,561.9,574.84,552.84,552.84,22,22
1WK24,May Wheat,actual,l,571,574.5,549.74,549.74,24.76,24.76
1WK24,May Wheat,actual,l,574.84,572.25,569.1,569.1,3.15,3.15
1WK24,May Wheat,actual,l,574.5,568,569.57,569.57,-1.57,-1.57
1WK24,May Wheat,actual,l,572.25,562.21,575.43,575.43,-13.22,-13.22
1WK24,May Wheat,actual,l,568,560,576.74,576.74,-16.74,-16.74
1WK24,May Wheat,actual,l,562.21,565.14,568.77,568.77,-3.63,-3.63
1WK24,May Wheat,actual,l,560,571.5,569.03,569.03,2.47,2.47
1WK24,May Wheat,actual,l,565.14,572.73,566.53,566.53,6.2,6.2
1WK24,May Wheat,actual,l,571.5,571.5,566.29,566.29,5.21,5.21
1WK24,May Wheat,actual,l,572.73,571.2,565.48,565.48,5.72,5.72
1WK24,May Wheat,actual,l,571.5,569,565.39,565.39,3.61,3.61
1WK24,May Wheat,actual,l,571.2,562.28,558.74,558.74,3.54,3.54
1WK24,May Wheat,actual,l,569,555.5,557.63,557.63,-2.13,-2.13
1WK24,May Wheat,actual,l,562.28,553.17,561.43,561.43,-8.26,-8.26
1WK24,May Wheat,actual,l,555.5,553,561.03,561.03,-8.03,-8.03
1WK24,May Wheat,actual,l,553.17,551.37,552.75,552.75,-1.38,-1.38
1WK24,May Wheat,actual,l,553,546.25,551.2,551.2,-4.95,-4.95
1WK24,May Wheat,actual,l,551.37,537.32,544.45,544.45,-7.13,-7.13
1WK24,May Wheat,actual,l,546.25,529.5,542.09,542.09,-12.59,-12.59
1WK24,May Wheat,actual,l,537.32,527.26,530.77,530.77,-3.51,-3.51
1WK24,May Wheat,actual,l,529.5,528,527.31,527.31,0.69,0.69
1WK24,May Wheat,actual,l,527.26,528,521.56,521.56,6.44,6.44
1WK24,May Wheat,actual,l,528,526,517.73,517.73,8.27,8.27
1WK24,May Wheat,actual,l,528,522.64,517.34,517.34,5.3,5.3
1WK24,May Wheat,actual,l,526,523.5,512.34,512.34,11.16,11.16
1WK24,May Wheat,actual,l,522.64,532.42,516.91,516.91,15.51,15.51
1WK24,May Wheat,actual,l,523.5,541.25,514.01,514.01,27.24,27.24
1WK24,May Wheat,actual,l,532.42,541.67,529.19,529.19,12.48,12.48
1WK24,May Wheat,actual,l,541.25,536.75,528.74,528.74,8.01,8.01
