symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
1WK24,May Wheat,actual,m,608.09,599.9,607.54,607.54,-7.64,-7.64
1WK24,May Wheat,actual,m,602.38,601,607.44,607.44,-6.44,-6.44
1WK24,May Wheat,actual,m,599.9,604.15,604.46,604.46,-0.31,-0.31
1WK24,May Wheat,actual,m,601,605.5,604.24,604.24,1.26,1.26
1WK24,May Wheat,actual,m,604.15,602.37,602.68,602.68,-0.31,-0.31
1WK24,May Wheat,actual,m,605.5,599,602.31,602.31,-3.31,-3.31
1WK24,May Wheat,actual,m,602.37,599.52,601.13,601.13,-1.61,-1.61
1WK24,May Wheat,actual,m,599,600.75,600.62,600.62,0.13,0.13
1WK24,May Wheat,actual,m,599.52,599.21,599.33,599.33,-0.12,-0.12
1WK24,May Wheat,actual,m,600.75,597.5,598.83,598.83,-1.33,-1.33
1WK24,May Wheat,actual,m,599.21,598.28,597.94,597.94,0.34,0.34
1WK24,May Wheat,actual,m,597.5,598.25,597.43,597.43,0.82,0.82
1WK24,May Wheat,actual,m,598.28,593.98,597.81,597.81,-3.83,-3.83
1WK24,May Wheat,actual,m,598.25,587.5,597.34,597.34,-9.84,-9.84
1WK24,May Wheat,actual,m,593.98,581.33,594.05,594.05,-12.72,-12.72
1WK24,May Wheat,actual,m,587.5,574.62,593.52,593.52,-18.9,-18.9
1WK24,May Wheat,actual,m,581.33,566.83,578.53,578.53,-11.7,-11.7
1WK24,May Wheat,actual,m,574.62,561.88,575.96,575.96,-14.08,-14.08
1WK24,May Wheat,actual,m,566.83,563.17,561.97,561.97,1.2,1.2
1WK24,May Wheat,actual,m,561.88,567.62,557.84,557.84,9.78,9.78
1WK24,May Wheat,actual,m,563.17,571.59,555.16,555.16,16.43,16.43
1WK24,May Wheat,actual,m,567.62,575.75,551.15,551.15,24.6,24.6
1WK24,May Wheat,actual,m,571.59,580.96,562.45,562.45,18.51,18.51
1WK24,May Wheat,actual,m,575.75,584.38,560.03,560.03,24.35,24.35
1WK24,May Wheat,actual,m,580.96,583.09,577.42,577.42,5.67,5.67
1WK24,May Wheat,actual,m,584.38,577.75,577.71,577.71,0.04,0.04
1WK24,May Wheat,actual,m,583.09,570.78,584.8,584.8,-14.02,-14.02
1WK24,May Wheat,actual,m,577.75,568.12,586.21,586.21,-18.09,-18.09
1WK24,May Wheat,actual,m,570.78,573.78,577.19,577.19,-3.41,-3.41
1WK24,May Wheat,actual,m,568.12,580.5,577.78,577.78,2.72,2.72
1WK24,May Wheat,actual,m,573.78,580.91,575.5,575.5,5.41,5.41
1WK24,May Wheat,actual,m,580.5,578.25,575.55,575.55,2.7,2.7
1WK24,May Wheat,actual,m,580.91,576.91,576.82,576.82,0.09,0.09
1WK24,May Wheat,actual,m,578.25,575.25,576.97,576.97,-1.72,-1.72
1WK24,May Wheat,actual,m,576.91,571.08,567.77,567.77,3.31,3.31
1WK24,May Wheat,actual,m,575.25,566.12,566.89,566.89,-0.77,-0.77
1WK24,May Wheat,actual,m,571.08,562.55,569.76,569.76,-7.21,-7.21
1WK24,May Wheat,actual,m,566.12,560.5,569.2,569.2,-8.7,-8.7
1WK24,May Wheat,actual,m,562.55,559.13,561.42,561.42,-2.29,-2.29
1WK24,May Wheat,actual,m,560.5,555.75,559.89,559.89,-4.14,-4.14
