symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
COST,M1,-0.35,-0.25,Buy,24-02-02,1,Buy,Stop,Entry,1,704.5,TRUE,1,8.96
COST,M1,-0.35,-0.25,Buy,24-02-08,1,Sell,Stop,Target,0,727.75,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-09,-1,Buy,Stop,Entry,1,723.25,TRUE,1,12.52
COST,M1,-0.35,-0.25,Buy,24-02-16,1,Sell,Stop,Target,0,728.25,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-22,1,Buy,Stop,Entry,1,726.5,TRUE,1,2.6
COST,M1,-0.35,-0.25,Buy,24-02-27,-1,Sell,Stop,Target,0,745,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-28,1,Buy,Stop,Entry,1,743.25,TRUE,1,0.16
COST,M1,-0.35,-0.25,Buy,24-02-29,-1,Sell,Stop,Target,0,749,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-01,1,Buy,Stop,Entry,1,743.25,TRUE,1,16
COST,M1,-0.35,-0.25,Buy,24-03-01,1,Sell,Stop,Target,0,750.5,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-12,1,Buy,Stop,Entry,1,717.5,TRUE,1,2.36
COST,M1,-0.35,-0.25,Buy,24-03-15,-1,Sell,Stop,Target,0,731.25,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-18,1,Buy,Stop,Entry,1,728.5,TRUE,1,9.92
COST,M1,-0.35,-0.25,Buy,24-03-19,1,Sell,Stop,Target,0,735.25,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-20,1,Buy,Stop,Entry,1,729.5,TRUE,1,1.48
COST,M1,-0.35,-0.25,Buy,24-03-27,-1,Sell,Stop,Target,0,735,TRUE,1,NA
