symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
COST,M1,-0.35,-0.25,Buy,24-02-01,1,Buy,Stop,Entry,0,704.5,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-02,1,Buy,Stop,Entry,1,704.5,TRUE,1,8.96
COST,M1,-0.35,-0.25,Buy,24-02-02,1,Sell,Stop,Target,1,721.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-02,1,Sell,Stop,PSI,1,702.26,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-05,1,Sell,Stop,Target,1,724,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-05,1,Sell,Stop,PSA,1,708.5,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-06,-1,Sell,Stop,Target,1,725.75,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-06,-1,Sell,Stop,PSA,1,713.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-07,1,Sell,Stop,Target,1,724.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-07,1,Sell,Stop,PSA,1,715,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-08,1,Sell,Stop,Target,0,727.75,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-08,1,Sell,Stop,PSA,1,717.75,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-09,-1,Buy,Stop,Entry,1,723.25,TRUE,1,12.52
COST,M1,-0.35,-0.25,Buy,24-02-09,-1,Sell,Stop,Target,1,732.75,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-09,-1,Sell,Stop,PSI,1,720.12,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-12,-1,Sell,Stop,Target,1,733,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-12,-1,Sell,Stop,PSA,1,727.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-13,-1,Sell,Stop,Target,1,732,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-13,-1,Sell,Stop,PSA,1,723.75,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-14,1,Sell,Stop,Target,1,729.5,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-14,1,Sell,Stop,PSA,1,723.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-15,1,Sell,Stop,Target,1,726.75,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-15,1,Sell,Stop,PSA,1,723.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-16,1,Sell,Stop,Target,0,728.25,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-16,1,Sell,Stop,PSA,1,723.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-20,-1,Buy,Stop,Entry,0,720,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-21,-1,Buy,Stop,Entry,0,725.5,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-22,1,Buy,Stop,Entry,1,726.5,TRUE,1,2.6
COST,M1,-0.35,-0.25,Buy,24-02-22,1,Sell,Stop,Target,1,736.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-22,1,Sell,Stop,PSI,1,725.85,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-23,-1,Sell,Stop,Target,1,737,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-23,-1,Sell,Stop,PSA,1,727,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-26,1,Sell,Stop,Target,1,740.5,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-26,1,Sell,Stop,PSA,1,733,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-27,-1,Sell,Stop,Target,0,745,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-27,-1,Sell,Stop,PSA,1,739.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-28,1,Buy,Stop,Entry,1,743.25,TRUE,1,0.16
COST,M1,-0.35,-0.25,Buy,24-02-28,1,Sell,Stop,Target,1,747.75,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-28,1,Sell,Stop,PSI,1,743.21,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-29,-1,Sell,Stop,Target,0,749,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-02-29,-1,Sell,Stop,PSA,1,744,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-01,1,Buy,Stop,Entry,1,743.25,TRUE,1,16
COST,M1,-0.35,-0.25,Buy,24-03-01,1,Sell,Stop,Target,0,750.5,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-01,1,Sell,Stop,PSI,1,739.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-04,1,Buy,Stop,Entry,0,739,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-05,-1,Buy,Stop,Entry,0,743.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-06,1,Buy,Stop,Entry,0,750.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-07,1,Buy,Stop,Entry,0,756.75,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-08,-1,Buy,Stop,Entry,0,768.5,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-11,-1,Buy,Stop,Entry,0,755.5,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-12,1,Buy,Stop,Entry,1,717.5,TRUE,1,2.36
COST,M1,-0.35,-0.25,Buy,24-03-12,1,Sell,Stop,Target,1,736.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-12,1,Sell,Stop,PSI,1,716.91,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-13,-1,Sell,Stop,Target,1,722.5,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-13,-1,Sell,Stop,PSA,1,717.5,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-14,-1,Sell,Stop,Target,1,722.75,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-14,-1,Sell,Stop,PSA,1,717.5,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-15,-1,Sell,Stop,Target,0,731.25,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-15,-1,Sell,Stop,PSA,1,721.25,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-18,1,Buy,Stop,Entry,1,728.5,TRUE,1,9.92
COST,M1,-0.35,-0.25,Buy,24-03-18,1,Sell,Stop,Target,1,737,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-18,1,Sell,Stop,PSI,1,726.02,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-19,1,Sell,Stop,Target,0,735.25,TRUE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-19,1,Sell,Stop,PSA,1,728.5,FALSE,1,NA
COST,M1,-0.35,-0.25,Buy,24-03-20,1,Buy,Stop,Entry,1,729.5,TRUE,1,1.48
COST,M1,-0.35,-0.25,Buy,24-03-20,1,Sell,Stop,Target,1,734.25,FALSE,1,NA
