symbol,group,dt,pproc,method,etime,mean,sd,zscore
COST,actual,h,none,mstl1,10.1868,-0.4139,12.3455,0.9412
COST,actual,h,none,mstl2,21.6429,-0.4119,12.3365,0.9412
COST,actual,h,none,mstl3,12.7356,-0.4078,12.3397,0.9408
COST,actual,h,none,zlma1,13.8773,-0.1386,9.4491,0.9486
COST,actual,h,none,zlma2,23.6443,-0.1754,9.3867,0.9498
COST,actual,h,none,zlma3,19.6847,-0.1855,9.3809,0.9442
COST,actual,l,none,mstl1,10.1069,-0.6213,13.9883,0.9011
COST,actual,l,none,mstl2,22.1269,-0.6123,13.9921,0.9007
COST,actual,l,none,mstl3,12.2499,-0.6146,13.9971,0.9015
COST,actual,l,none,zlma1,13.9602,-0.305,9.9717,0.9437
COST,actual,l,none,zlma2,24.4365,-0.3009,9.981,0.9434
COST,actual,l,none,zlma3,20.2399,-0.307,10.0081,0.9421
COST,actual,c,none,mstl1,9.9408,-0.4728,14.6151,0.8695
COST,actual,c,none,mstl2,20.9112,-0.4696,14.6005,0.8702
COST,actual,c,none,mstl3,12.1846,-0.4621,14.616,0.8697
COST,actual,c,none,zlma1,14.0029,-0.3631,11.2207,0.886
COST,actual,c,none,zlma2,24.213,-0.3701,11.1612,0.8877
COST,actual,c,none,zlma3,19.4576,-0.4009,11.1779,0.8808
COST,actual,m,none,mstl1,10.2631,-0.5936,12.9596,0.9234
COST,actual,m,none,mstl2,22.3766,-0.5963,12.9492,0.9221
COST,actual,m,none,mstl3,12.4492,-0.5869,12.9619,0.9235
COST,actual,m,none,zlma1,13.739,-0.2919,9.5011,0.9436
COST,actual,m,none,zlma2,24.0875,-0.2894,9.4791,0.9442
COST,actual,m,none,zlma3,19.6196,-0.324,9.4015,0.9437
