symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
COST,Costco,actual,c,697.51,698.5,701.92,701.92,-3.42,-3.42
COST,Costco,actual,c,694.88,704.48,703.36,703.36,1.12,1.12
COST,Costco,actual,c,698.5,707.91,704.5,704.5,3.41,3.41
COST,Costco,actual,c,704.48,709.48,706.12,706.12,3.36,3.36
COST,Costco,actual,c,707.91,710.76,709.63,709.63,1.13,1.13
COST,Costco,actual,c,709.48,711.16,711.28,711.28,-0.12,-0.12
COST,Costco,actual,c,710.76,710.32,713.71,713.71,-3.39,-3.39
COST,Costco,actual,c,711.16,710.79,715.5,715.5,-4.71,-4.71
COST,Costco,actual,c,710.32,714.74,715.3,715.3,-0.56,-0.56
COST,Costco,actual,c,710.79,719.78,716.91,716.91,2.87,2.87
COST,Costco,actual,c,714.74,723.01,718.8,718.8,4.21,4.21
COST,Costco,actual,c,719.78,724.16,720.65,720.65,3.51,3.51
COST,Costco,actual,c,723.01,723.8,724.88,724.88,-1.08,-1.08
COST,Costco,actual,c,724.16,723.4,726.96,726.96,-3.56,-3.56
COST,Costco,actual,c,723.8,723.79,727.11,727.11,-3.32,-3.32
COST,Costco,actual,c,723.4,722.41,729.19,729.19,-6.78,-6.78
COST,Costco,actual,c,723.79,717.54,725.8,725.8,-8.26,-8.26
COST,Costco,actual,c,722.41,714.25,727.13,727.13,-12.88,-12.88
COST,Costco,actual,c,717.54,717.14,719.91,719.91,-2.77,-2.77
COST,Costco,actual,c,714.25,722.18,720.03,720.03,2.15,2.15
COST,Costco,actual,c,717.14,724.5,717.85,717.85,6.65,6.65
COST,Costco,actual,c,722.18,724.51,717.63,717.63,6.88,6.88
COST,Costco,actual,c,724.5,723.89,721.27,721.27,2.62,2.62
COST,Costco,actual,c,724.51,723.99,721.09,721.09,2.9,2.9
COST,Costco,actual,c,723.89,725.36,724.46,724.46,0.9,0.9
COST,Costco,actual,c,723.99,725.69,725.03,725.03,0.66,0.66
COST,Costco,actual,c,725.36,723.43,727.11,727.11,-3.68,-3.68
COST,Costco,actual,c,725.69,723.02,727.46,727.46,-4.44,-4.44
COST,Costco,actual,c,723.43,728.25,725.23,725.23,3.02,3.02
COST,Costco,actual,c,723.02,734.4,725.3,725.3,9.1,9.1
COST,Costco,actual,c,728.25,736.6,729.94,729.94,6.66,6.66
COST,Costco,actual,c,734.4,737.93,730.78,730.78,7.15,7.15
COST,Costco,actual,c,736.6,741.85,737.07,737.07,4.78,4.78
COST,Costco,actual,c,737.93,745.35,738.29,738.29,7.06,7.06
COST,Costco,actual,c,741.85,745.31,745.76,745.76,-0.45,-0.45
COST,Costco,actual,c,745.35,744.71,747.8,747.8,-3.09,-3.09
COST,Costco,actual,c,745.31,746.56,750.43,750.43,-3.87,-3.87
COST,Costco,actual,c,744.71,747.96,752.7,752.7,-4.74,-4.74
COST,Costco,actual,c,746.56,746.03,751.64,751.64,-5.61,-5.61
COST,Costco,actual,c,747.96,743.89,753.58,753.58,-9.69,-9.69
COST,Costco,actual,c,746.03,745.15,749.2,749.2,-4.05,-4.05
COST,Costco,actual,c,743.89,749.44,750.43,750.43,-0.99,-0.99
COST,Costco,actual,c,745.15,755.09,748.04,748.04,7.05,7.05
COST,Costco,actual,c,749.44,759.18,748.86,748.86,10.32,10.32
COST,Costco,actual,c,755.09,759.75,754.59,754.59,5.16,5.16
COST,Costco,actual,c,759.18,759.95,755.95,755.95,4,4
COST,Costco,actual,c,759.75,763.73,761.64,761.64,2.09,2.09
COST,Costco,actual,c,759.95,773.24,763.26,763.26,9.98,9.98
COST,Costco,actual,c,763.73,786.34,771.4,771.4,14.94,14.94
COST,Costco,actual,c,773.24,785.59,774.05,774.05,11.54,11.54
COST,Costco,actual,c,786.34,758.23,787.26,787.26,-29.03,-29.03
COST,Costco,actual,c,785.59,725.56,791.19,791.19,-65.63,-65.63
COST,Costco,actual,c,758.23,711.19,768.48,768.48,-57.29,-57.29
COST,Costco,actual,c,725.56,714.08,769.9,769.9,-55.82,-55.82
COST,Costco,actual,c,711.19,726.27,720.13,720.13,6.14,6.14
COST,Costco,actual,c,714.08,736.88,714.73,714.73,22.15,22.15
COST,Costco,actual,c,726.27,737.7,709.63,709.63,28.07,28.07
COST,Costco,actual,c,736.88,734.2,703.52,703.52,30.68,30.68
COST,Costco,actual,c,737.7,733.03,716.93,716.93,16.1,16.1
COST,Costco,actual,c,734.2,731.95,712.64,712.64,19.31,19.31
COST,Costco,actual,c,733.03,728.16,729.92,729.92,-1.76,-1.76
COST,Costco,actual,c,731.95,725.63,728.79,728.79,-3.16,-3.16
COST,Costco,actual,c,728.16,728.09,730.88,730.88,-2.79,-2.79
COST,Costco,actual,c,725.63,731.54,731.54,731.54,0,0
COST,Costco,actual,c,728.09,731.86,729,729,2.86,2.86
COST,Costco,actual,c,731.54,732.17,728.64,728.64,3.53,3.53
COST,Costco,actual,c,731.86,735.94,730.07,730.07,5.87,5.87
COST,Costco,actual,c,732.17,740.72,729.96,729.96,10.76,10.76
COST,Costco,actual,c,735.94,743.21,736.36,736.36,6.85,6.85
COST,Costco,actual,c,740.72,742.56,736.99,736.99,5.57,5.57
COST,Costco,actual,c,743.21,739.01,744.25,744.25,-5.24,-5.24
COST,Costco,actual,c,742.56,734.8,745.82,745.82,-11.02,-11.02
COST,Costco,actual,c,739.01,732.12,742.38,742.38,-10.26,-10.26
COST,Costco,actual,c,734.8,730.96,743.45,743.45,-12.49,-12.49
COST,Costco,actual,c,732.12,730.77,735.47,735.47,-4.7,-4.7
COST,Costco,actual,c,730.96,730.98,735.39,735.39,-4.41,-4.41
COST,Costco,actual,c,730.77,731.54,729.61,729.61,1.93,1.93
COST,Costco,actual,c,730.98,732.08,729.24,729.24,2.84,2.84
COST,Costco,actual,c,731.54,732.51,728.34,728.34,4.17,4.17
COST,Costco,actual,c,732.08,732.63,727.44,727.44,5.19,5.19
COST,Costco,actual,c,732.51,NA,730.3,730.3,NA,NA
COST,Costco,actual,c,732.63,NA,729.57,729.57,NA,NA
