symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
COST,Costco,actual,h,705.04,704.59,707.6,707.6,-3.01,-3.01
COST,Costco,actual,h,705.52,705.3,709.78,709.78,-4.48,-4.48
COST,Costco,actual,h,704.59,709.81,710.62,710.62,-0.81,-0.81
COST,Costco,actual,h,705.3,714.28,712.56,712.56,1.72,1.72
COST,Costco,actual,h,709.81,714.75,714.83,714.83,-0.08,-0.08
COST,Costco,actual,h,714.28,712.86,716.81,716.81,-3.95,-3.95
COST,Costco,actual,h,714.75,711.48,716.55,716.55,-5.07,-5.07
COST,Costco,actual,h,712.86,712.72,719.36,719.36,-6.64,-6.64
COST,Costco,actual,h,711.48,717.56,716,716,1.56,1.56
COST,Costco,actual,h,712.72,723.32,716.98,716.98,6.34,6.34
COST,Costco,actual,h,717.56,727.02,720.81,720.81,6.21,6.21
COST,Costco,actual,h,723.32,728.17,722.46,722.46,5.71,5.71
COST,Costco,actual,h,727.02,727.18,728.17,728.17,-0.99,-0.99
COST,Costco,actual,h,728.17,725.53,730.24,730.24,-4.71,-4.71
COST,Costco,actual,h,727.18,724.54,728.57,728.57,-4.03,-4.03
COST,Costco,actual,h,725.53,723.8,730.44,730.44,-6.64,-6.64
COST,Costco,actual,h,724.54,722.71,727.74,727.74,-5.03,-5.03
COST,Costco,actual,h,723.8,721.78,729,729,-7.22,-7.22
COST,Costco,actual,h,722.71,721.66,724.55,724.55,-2.89,-2.89
COST,Costco,actual,h,721.78,722.55,724.96,724.96,-2.41,-2.41
COST,Costco,actual,h,721.66,724.33,721.25,721.25,3.08,3.08
COST,Costco,actual,h,722.55,726.03,720.98,720.98,5.05,5.05
COST,Costco,actual,h,724.33,727.06,723.22,723.22,3.84,3.84
COST,Costco,actual,h,726.03,729.06,723.05,723.05,6.01,6.01
COST,Costco,actual,h,727.06,733.01,727.17,727.17,5.84,5.84
COST,Costco,actual,h,729.06,734.96,727.5,727.5,7.46,7.46
COST,Costco,actual,h,733.01,731.82,734.03,734.03,-2.21,-2.21
COST,Costco,actual,h,734.96,728.79,735.17,735.17,-6.38,-6.38
COST,Costco,actual,h,731.82,731.13,734.34,734.34,-3.21,-3.21
COST,Costco,actual,h,728.79,736.05,735.4,735.4,0.65,0.65
COST,Costco,actual,h,731.13,739.75,735.41,735.41,4.34,4.34
COST,Costco,actual,h,736.05,742.51,736.49,736.49,6.02,6.02
COST,Costco,actual,h,739.75,745.19,740.68,740.68,4.51,4.51
COST,Costco,actual,h,742.51,746.78,742.07,742.07,4.71,4.71
COST,Costco,actual,h,745.19,746.56,747.18,747.18,-0.62,-0.62
COST,Costco,actual,h,746.78,746.64,749.02,749.02,-2.38,-2.38
COST,Costco,actual,h,746.56,748.97,751.19,751.19,-2.22,-2.22
COST,Costco,actual,h,746.64,751.88,753.12,753.12,-1.24,-1.24
COST,Costco,actual,h,748.97,753.22,753.6,753.6,-0.38,-0.38
COST,Costco,actual,h,751.88,752.56,755.25,755.25,-2.69,-2.69
COST,Costco,actual,h,753.22,750.66,755.58,755.58,-4.92,-4.92
COST,Costco,actual,h,752.56,751.38,757.24,757.24,-5.86,-5.86
COST,Costco,actual,h,750.66,757.54,753.46,753.46,4.08,4.08
COST,Costco,actual,h,751.38,764.74,754.62,754.62,10.12,10.12
COST,Costco,actual,h,757.54,768.24,757.41,757.41,10.83,10.83
COST,Costco,actual,h,764.74,769.27,758.58,758.58,10.69,10.69
COST,Costco,actual,h,768.24,770.58,768.72,768.72,1.86,1.86
COST,Costco,actual,h,769.27,775.16,770.72,770.72,4.44,4.44
COST,Costco,actual,h,770.58,783.66,777.2,777.2,6.46,6.46
COST,Costco,actual,h,775.16,787.08,779.78,779.78,7.3,7.3
COST,Costco,actual,h,783.66,776.91,788.78,788.78,-11.87,-11.87
COST,Costco,actual,h,787.08,756.22,792.32,792.32,-36.1,-36.1
COST,Costco,actual,h,776.91,732.57,778.53,778.53,-45.96,-45.96
COST,Costco,actual,h,756.22,720,780.02,780.02,-60.02,-60.02
COST,Costco,actual,h,732.57,727.82,739.2,739.2,-11.38,-11.38
COST,Costco,actual,h,720,740.05,735.48,735.48,4.57,4.57
COST,Costco,actual,h,727.82,740.38,720.43,720.43,19.95,19.95
COST,Costco,actual,h,740.05,736.5,714.22,714.22,22.28,22.28
COST,Costco,actual,h,740.38,738.33,719.5,719.5,18.83,18.83
COST,Costco,actual,h,736.5,740.68,714.65,714.65,26.03,26.03
