symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
COST,Costco,actual,l,692.65,691.44,695.26,695.26,-3.82,-3.82
COST,Costco,actual,l,693.04,691.5,696.81,696.81,-5.31,-5.31
COST,Costco,actual,l,691.44,696.27,695.95,695.95,0.32,0.32
COST,Costco,actual,l,691.5,702.26,696.94,696.94,5.32,5.32
COST,Costco,actual,l,696.27,705.38,700.41,700.41,4.97,4.97
COST,Costco,actual,l,702.26,705.68,702.19,702.19,3.49,3.49
COST,Costco,actual,l,705.38,704.51,706.61,706.61,-2.1,-2.1
COST,Costco,actual,l,705.68,704.34,708.46,708.46,-4.12,-4.12
COST,Costco,actual,l,704.51,707.16,708.97,708.97,-1.81,-1.81
COST,Costco,actual,l,704.34,712,710.82,710.82,1.18,1.18
COST,Costco,actual,l,707.16,717.11,712.75,712.75,4.36,4.36
COST,Costco,actual,l,712,720.66,714.64,714.64,6.02,6.02
COST,Costco,actual,l,717.11,721.36,719.71,719.71,1.65,1.65
COST,Costco,actual,l,720.66,720.12,721.69,721.69,-1.57,-1.57
COST,Costco,actual,l,721.36,718.11,724.77,724.77,-6.66,-6.66
COST,Costco,actual,l,720.12,715.3,727.2,727.2,-11.9,-11.9
COST,Costco,actual,l,718.11,711.75,720.85,720.85,-9.1,-9.1
COST,Costco,actual,l,715.3,709.04,722.32,722.32,-13.28,-13.28
COST,Costco,actual,l,711.75,708.78,714.93,714.93,-6.15,-6.15
COST,Costco,actual,l,709.04,711.07,714.79,714.79,-3.72,-3.72
COST,Costco,actual,l,708.78,715.17,708.75,708.75,6.42,6.42
COST,Costco,actual,l,711.07,718.28,708.1,708.1,10.18,10.18
COST,Costco,actual,l,715.17,718.39,712,712,6.39,6.39
COST,Costco,actual,l,718.28,718.5,711.72,711.72,6.78,6.78
COST,Costco,actual,l,718.39,721.37,717.18,717.18,4.19,4.19
COST,Costco,actual,l,718.5,723.71,717.36,717.36,6.35,6.35
COST,Costco,actual,l,721.37,722.29,723.69,723.69,-1.4,-1.4
COST,Costco,actual,l,723.71,720.27,724.69,724.69,-4.42,-4.42
COST,Costco,actual,l,722.29,721.47,724.64,724.64,-3.17,-3.17
COST,Costco,actual,l,720.27,725.85,726.16,726.16,-0.31,-0.31
COST,Costco,actual,l,721.47,732.04,725.66,725.66,6.38,6.38
COST,Costco,actual,l,725.85,737.12,726.78,726.78,10.34,10.34
COST,Costco,actual,l,732.04,738.81,733.42,733.42,5.39,5.39
COST,Costco,actual,l,737.12,739,734.73,734.73,4.27,4.27
COST,Costco,actual,l,738.81,739.96,741,741,-1.04,-1.04
COST,Costco,actual,l,739,741.33,743.05,743.05,-1.72,-1.72
COST,Costco,actual,l,739.96,742.35,746.05,746.05,-3.7,-3.7
COST,Costco,actual,l,741.33,743.21,748.46,748.46,-5.25,-5.25
COST,Costco,actual,l,742.35,743.96,747.33,747.33,-3.37,-3.37
COST,Costco,actual,l,743.21,742.99,749.32,749.32,-6.33,-6.33
COST,Costco,actual,l,743.96,739.71,746.81,746.81,-7.1,-7.1
COST,Costco,actual,l,742.99,739.25,748.41,748.41,-9.16,-9.16
COST,Costco,actual,l,739.71,745.77,742.48,742.48,3.29,3.29
