symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
COST,Costco,actual,m,698.84,698.02,701.34,701.34,-3.32,-3.32
COST,Costco,actual,m,699.28,698.4,703.37,703.37,-4.97,-4.97
COST,Costco,actual,m,698.02,703.04,703.32,703.32,-0.28,-0.28
COST,Costco,actual,m,698.4,708.27,704.9,704.9,3.37,3.37
COST,Costco,actual,m,703.04,710.06,707.62,707.62,2.44,2.44
COST,Costco,actual,m,708.27,709.27,709.43,709.43,-0.16,-0.16
COST,Costco,actual,m,710.06,708,711.89,711.89,-3.89,-3.89
COST,Costco,actual,m,709.27,708.53,713.78,713.78,-5.25,-5.25
COST,Costco,actual,m,708,712.36,712.4,712.4,-0.04,-0.04
COST,Costco,actual,m,708.53,717.66,713.73,713.73,3.93,3.93
COST,Costco,actual,m,712.36,722.06,716.82,716.82,5.24,5.24
COST,Costco,actual,m,717.66,724.41,718.52,718.52,5.89,5.89
COST,Costco,actual,m,722.06,724.27,723.93,723.93,0.34,0.34
COST,Costco,actual,m,724.41,722.83,726.05,726.05,-3.22,-3.22
COST,Costco,actual,m,724.27,721.33,728.03,728.03,-6.7,-6.7
COST,Costco,actual,m,722.83,719.55,730.27,730.27,-10.72,-10.72
COST,Costco,actual,m,721.33,717.23,724.08,724.08,-6.85,-6.85
COST,Costco,actual,m,719.55,715.41,725.42,725.42,-10.01,-10.01
COST,Costco,actual,m,717.23,715.22,719.68,719.68,-4.46,-4.46
COST,Costco,actual,m,715.41,716.81,720.14,720.14,-3.33,-3.33
COST,Costco,actual,m,715.22,719.75,715.15,715.15,4.6,4.6
COST,Costco,actual,m,716.81,722.16,714.32,714.32,7.84,7.84
COST,Costco,actual,m,719.75,722.72,717.52,717.52,5.2,5.2
COST,Costco,actual,m,722.16,723.78,717.56,717.56,6.22,6.22
COST,Costco,actual,m,722.72,727.19,722.19,722.19,5,5
COST,Costco,actual,m,723.78,729.34,722.28,722.28,7.06,7.06
COST,Costco,actual,m,727.19,727.05,728.84,728.84,-1.79,-1.79
COST,Costco,actual,m,729.34,724.53,729.92,729.92,-5.39,-5.39
COST,Costco,actual,m,727.05,726.3,729.5,729.5,-3.2,-3.2
COST,Costco,actual,m,724.53,730.95,730.86,730.86,0.09,0.09
COST,Costco,actual,m,726.3,735.89,730.47,730.47,5.42,5.42
COST,Costco,actual,m,730.95,739.82,731.55,731.55,8.27,8.27
COST,Costco,actual,m,735.89,742,737.07,737.07,4.93,4.93
COST,Costco,actual,m,739.82,742.89,738.74,738.74,4.15,4.15
COST,Costco,actual,m,742,743.26,744.09,744.09,-0.83,-0.83
COST,Costco,actual,m,742.89,743.99,746.04,746.04,-2.05,-2.05
COST,Costco,actual,m,743.26,745.66,748.7,748.7,-3.04,-3.04
COST,Costco,actual,m,743.99,747.55,750.78,750.78,-3.23,-3.23
COST,Costco,actual,m,745.66,748.59,750.55,750.55,-1.96,-1.96
COST,Costco,actual,m,747.55,747.77,752.32,752.32,-4.55,-4.55
