symbol,tsys,tsrow,bsc,hadj,ladj,win,lose,plmm,pldol,riskmm,pos
COST,M1,1,Buy,-0.35,-0.25,8,0,85.75,4287.5,0.16,0
COST,M1,1,Buy,-0.35,-0.3,7,0,83.25,4162.5,1.48,0
COST,M1,1,Buy,-0.35,-0.35,7,0,81.25,4062.5,1.48,0
COST,M1,1,Buy,-0.35,-0.4,7,0,79.5,3975,0.48,0
COST,M1,1,Buy,-0.4,-0.25,5,0,73.5,3675,2.36,0
COST,M1,1,Buy,-0.4,-0.3,5,0,72.25,3612.5,2.6,0
COST,M1,1,Buy,-0.35,-0.15,7,0,71.75,3587.5,1.6,0
COST,M1,1,Buy,-0.35,-0.2,7,0,71.75,3587.5,2.48,0
COST,M1,1,Buy,0.35,0.15,2,0,71.5,3575,2,1
COST,M1,1,Buy,0.25,0.1,5,0,71.25,3562.5,5.48,0
COST,M1,1,Buy,-0.35,0.05,6,0,71.25,3562.5,0.6,0
COST,M1,1,Buy,-0.35,-0.1,7,0,71.25,3562.5,1.6,0
COST,M1,1,Buy,-0.35,-0.05,7,0,71,3550,1.6,0
COST,M1,1,Buy,0.5,0.15,1,0,70.75,3537.5,2,1
COST,M1,1,Buy,-0.4,-0.35,5,0,70.75,3537.5,3.6,0
COST,M1,1,Buy,0.35,-0.25,2,0,70.5,3525,1.48,1
COST,M1,1,Buy,0.35,0.1,2,0,70.25,3512.5,5.48,1
COST,M1,1,Buy,-0.35,0,6,0,70.25,3512.5,0.6,0
COST,M1,1,Buy,0.45,0.15,1,0,70,3500,2,1
COST,M1,1,Buy,0.25,0.05,5,0,69.75,3487.5,4.48,0
COST,M1,1,Buy,-0.4,-0.4,5,0,69.5,3475,3.6,0
COST,M1,1,Buy,0.5,0.1,1,0,69.25,3462.5,8,1
COST,M1,1,Buy,-0.3,-0.25,8,0,69.25,3462.5,0.16,0
COST,M1,1,Buy,-0.45,-0.45,5,0,69.25,3462.5,2,0
COST,M1,1,Buy,0.35,0.05,2,0,68.75,3437.5,4.48,1
COST,M1,1,Buy,0.45,0.1,1,0,68.5,3425,8,1
COST,M1,1,Buy,0.4,-0.25,3,0,68.25,3412.5,1.48,1
COST,M1,1,Buy,0.35,-0.3,2,0,68.25,3412.5,1.48,1
COST,M1,1,Buy,0.5,0.05,1,0,67.75,3387.5,10.92,1
COST,M1,1,Buy,0.25,0,5,0,67.75,3387.5,4.48,0
COST,M1,1,Buy,-0.3,-0.3,7,0,67.25,3362.5,1.48,0
COST,M1,1,Buy,0.45,0.05,1,0,67,3350,10.92,1
COST,M1,1,Buy,0.35,0,2,0,67,3350,4.48,1
COST,M1,1,Buy,0.1,0.05,6,0,67,3350,0.6,0
COST,M1,1,Buy,0.2,0.05,6,0,66.75,3337.5,0.6,0
COST,M1,1,Buy,0.1,-0.25,7,0,66.5,3325,0.16,0
COST,M1,1,Buy,0.25,-0.05,5,0,66.25,3312.5,3.48,0
COST,M1,1,Buy,0.5,0,1,0,66,3300,10.92,1
COST,M1,1,Buy,0.35,-0.35,2,0,66,3300,1.48,1
COST,M1,1,Buy,0.35,-0.05,2,0,65.5,3275,3.48,1
COST,M1,1,Buy,-0.45,-0.5,5,0,65.5,3275,2.12,0
COST,M1,1,Buy,0.45,0,1,0,65.25,3262.5,10.92,1
COST,M1,1,Buy,0.4,-0.3,3,0,65.25,3262.5,1.48,1
COST,M1,1,Buy,-0.3,-0.35,7,0,65.25,3262.5,1.48,0
COST,M1,1,Buy,0.25,-0.25,5,0,65,3250,0.16,0
COST,M1,1,Buy,0.15,-0.25,6,0,65,3250,0.16,0
COST,M1,1,Buy,0.1,0,6,0,65,3250,0.6,0
COST,M1,1,Buy,-0.5,-0.45,4,0,65,3250,2,0
COST,M1,1,Buy,0.2,0,6,0,64.75,3237.5,0.6,0
COST,M1,1,Buy,0.15,0.05,5,0,64.75,3237.5,0.6,0
COST,M1,1,Buy,0.5,-0.05,1,0,64.5,3225,10.92,1
COST,M1,1,Buy,0.25,-0.1,5,0,64.5,3225,0.68,0
COST,M1,1,Buy,0.4,-0.1,3,0,64.25,3212.5,2,1
COST,M1,1,Buy,-0.45,0.1,4,0,64.25,3212.5,3,0
COST,M1,1,Buy,-0.45,0.05,4,1,64.25,3212.5,0.6,0
COST,M1,1,Buy,0.35,-0.1,2,0,64,3200,3.48,1
COST,M1,1,Buy,0.3,-0.25,4,0,64,3200,0.16,0
COST,M1,1,Buy,0.1,-0.3,7,0,64,3200,1.48,0
COST,M1,1,Buy,0.45,-0.05,1,0,63.75,3187.5,10.92,1
COST,M1,1,Buy,0.4,0.15,3,0,63.75,3187.5,1.52,1
COST,M1,1,Buy,0.35,-0.4,2,0,63.75,3187.5,0.48,1
COST,M1,1,Buy,0.15,0,5,0,63.75,3187.5,0.6,0
COST,M1,1,Buy,0.15,-0.3,6,0,63.75,3187.5,1.48,0
COST,M1,1,Buy,-0.5,0.1,4,0,63.75,3187.5,3,0
COST,M1,1,Buy,-0.3,-0.4,7,0,63.5,3175,0.48,0
COST,M1,1,Buy,-0.45,0,4,1,63.5,3175,0.6,0
COST,M1,1,Buy,0.1,-0.05,6,0,63.25,3162.5,1.6,0
COST,M1,1,Buy,0.5,-0.1,1,0,63,3150,10.92,1
COST,M1,1,Buy,0.25,-0.3,5,0,63,3150,1.48,0
COST,M1,1,Buy,0.2,-0.05,6,0,63,3150,1.6,0
COST,M1,1,Buy,0.15,-0.05,5,0,63,3150,1.6,0
COST,M1,1,Buy,-0.4,0.05,4,0,63,3150,0.6,0
COST,M1,1,Buy,-0.5,0.15,3,0,63,3150,2,0
COST,M1,1,Buy,0.3,-0.3,4,0,62.75,3137.5,1.48,0
COST,M1,1,Buy,-0.45,0.15,3,0,62.75,3137.5,2,0
COST,M1,1,Buy,-0.45,-0.05,4,1,62.75,3137.5,1.6,0
COST,M1,1,Buy,0.35,-0.15,2,0,62.5,3125,2.48,1
COST,M1,1,Buy,0.45,-0.1,1,0,62.25,3112.5,10.92,1
COST,M1,1,Buy,0.15,-0.1,5,0,62.25,3112.5,0.68,0
COST,M1,1,Buy,0.15,-0.35,6,0,62.25,3112.5,1.48,0
COST,M1,1,Buy,-0.4,0,4,0,62.25,3112.5,0.6,0
COST,M1,1,Buy,-0.45,-0.1,4,1,62.25,3112.5,1.6,0
COST,M1,1,Buy,0.4,0.1,3,0,62,3100,3.52,1
COST,M1,1,Buy,0.4,-0.15,3,0,62,3100,2.48,1
COST,M1,1,Buy,0.4,-0.35,3,0,62,3100,1.48,1
COST,M1,1,Buy,-0.45,-0.15,4,1,62,3100,1.6,0
COST,M1,1,Buy,0.5,-0.15,1,0,61.5,3075,10.92,1
COST,M1,1,Buy,0.3,0.1,4,0,61.5,3075,5.48,0
COST,M1,1,Buy,0.3,-0.35,4,0,61.5,3075,1.48,0
COST,M1,1,Buy,0.1,-0.1,6,0,61.5,3075,0.68,0
COST,M1,1,Buy,-0.4,-0.05,4,0,61.5,3075,1.6,0
COST,M1,1,Buy,0.2,-0.1,6,0,61.25,3062.5,0.68,0
COST,M1,1,Buy,0.15,-0.4,6,0,61.25,3062.5,0.48,0
COST,M1,1,Buy,0.1,-0.35,7,0,61.25,3062.5,1.48,0
COST,M1,1,Buy,-0.45,-0.2,4,1,61.25,3062.5,2,0
COST,M1,1,Buy,0.35,-0.2,2,0,61,3050,2.48,1
COST,M1,1,Buy,0.3,0.05,4,0,61,3050,4.48,0
COST,M1,1,Buy,-0.4,-0.1,4,0,61,3050,1.6,0
COST,M1,1,Buy,-0.5,-0.5,4,0,61,3050,2.12,0
COST,M1,1,Buy,0.45,-0.15,1,0,60.75,3037.5,10.92,1
COST,M1,1,Buy,0.25,-0.35,5,0,60.75,3037.5,1.48,0
COST,M1,1,Buy,0.1,-0.15,6,0,60.75,3037.5,1.28,0
COST,M1,1,Buy,-0.45,-0.25,4,1,60.75,3037.5,2,0
COST,M1,1,Buy,0.3,-0.4,4,0,60.5,3025,0.48,0
