symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
DIS,M1,0.15,-0.15,Buy,24-02-06,1,Buy,Stop,Entry,1,98.5,TRUE,1,6.84
DIS,M1,0.15,-0.15,Buy,24-02-22,-1,Sell,Stop,Target,0,108.25,TRUE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-23,1,Buy,Stop,Entry,1,106,TRUE,1,0.68
DIS,M1,0.15,-0.15,Buy,24-03-04,1,Sell,Stop,Target,0,114,TRUE,1,NA
DIS,M1,0.15,-0.15,Buy,24-03-05,-1,Buy,Stop,Entry,1,112.5,TRUE,1,0.92
DIS,M1,0.15,-0.15,Buy,24-03-05,-1,Sell,Stop,Target,0,115,TRUE,1,NA
DIS,M1,0.15,-0.15,Buy,24-03-07,-1,Buy,Stop,Entry,1,109.75,TRUE,1,2.2
DIS,M1,0.15,-0.15,Buy,24-03-08,1,Sell,Stop,Target,0,111,TRUE,1,NA
DIS,M1,0.15,-0.15,Buy,24-03-14,1,Buy,Stop,Entry,1,111.75,TRUE,1,8.96
DIS,M1,0.15,-0.15,Buy,24-03-27,1,Sell,Stop,Target,0,121.5,TRUE,1,NA
