symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
DIS,M1,0.15,-0.15,Buy,24-02-01,1,Buy,Stop,Entry,0,98,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-02,1,Buy,Stop,Entry,0,98,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-05,-1,Buy,Stop,Entry,0,97.75,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-06,1,Buy,Stop,Entry,1,98.5,TRUE,1,6.84
DIS,M1,0.15,-0.15,Buy,24-02-06,1,Sell,Stop,Target,1,96,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-06,1,Sell,Stop,PSI,1,96.79,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-07,1,Sell,Stop,Target,1,95.75,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-07,1,Sell,Stop,PSA,1,98.5,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-08,1,Sell,Stop,Target,1,101,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-08,1,Sell,Stop,PSA,1,100.25,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-09,-1,Sell,Stop,Target,1,110.75,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-09,-1,Sell,Stop,PSA,1,105.5,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-12,1,Sell,Stop,Target,1,116,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-12,1,Sell,Stop,PSA,1,111.25,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-13,1,Sell,Stop,Target,1,116.25,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-13,1,Sell,Stop,PSA,1,111.5,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-14,1,Sell,Stop,Target,1,112,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-14,1,Sell,Stop,PSA,1,109,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-15,1,Sell,Stop,Target,1,111,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-15,1,Sell,Stop,PSA,1,109.75,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-16,-1,Sell,Stop,Target,1,113.5,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-16,-1,Sell,Stop,PSA,1,112.25,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-20,-1,Sell,Stop,Target,1,112.25,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-20,-1,Sell,Stop,PSA,1,111.25,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-21,-1,Sell,Stop,Target,1,111.25,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-21,-1,Sell,Stop,PSA,1,109.5,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-22,-1,Sell,Stop,Target,0,108.25,TRUE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-22,-1,Sell,Stop,PSA,1,107.25,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-23,1,Buy,Stop,Entry,1,106,TRUE,1,0.68
DIS,M1,0.15,-0.15,Buy,24-02-23,1,Sell,Stop,Target,1,107,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-23,1,Sell,Stop,PSI,1,105.83,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-26,1,Sell,Stop,Target,1,106.75,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-26,1,Sell,Stop,PSA,1,106,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-27,1,Sell,Stop,Target,1,107.25,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-27,1,Sell,Stop,PSA,1,106.75,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-28,1,Sell,Stop,Target,1,109,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-28,1,Sell,Stop,PSA,1,107.75,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-29,1,Sell,Stop,Target,1,111.5,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-02-29,1,Sell,Stop,PSA,1,109.5,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-03-01,1,Sell,Stop,Target,1,113.25,FALSE,1,NA
DIS,M1,0.15,-0.15,Buy,24-03-01,1,Sell,Stop,PSA,1,111,FALSE,1,NA
