symbol,group,dt,pproc,method,etime,mean,sd,zscore
DIS,actual,h,none,mstl1,8.4848,0.1024,2.5443,0.9612
DIS,actual,h,none,mstl2,19.5606,0.1038,2.5447,0.9603
DIS,actual,h,none,mstl3,15.2197,0.1034,2.5403,0.9622
DIS,actual,h,none,zlma1,14.3625,0.1116,2.0128,0.9436
DIS,actual,h,none,zlma2,23.047,0.103,2.01,0.94
DIS,actual,h,none,zlma3,22.2827,0.1056,2.0065,0.9376
DIS,actual,l,none,mstl1,8.1377,0.088,2.2226,1.0467
DIS,actual,l,none,mstl2,19.6145,0.0884,2.2231,1.0471
DIS,actual,l,none,mstl3,13.2695,0.0905,2.2217,1.0482
DIS,actual,l,none,zlma1,13.9348,0.1224,1.7577,1.0199
DIS,actual,l,none,zlma2,23.6179,0.1194,1.7522,1.0184
DIS,actual,l,none,zlma3,20.3209,0.1036,1.7556,1.0197
DIS,actual,c,none,mstl1,7.9362,0.0897,2.3002,1.0424
DIS,actual,c,none,mstl2,19.4519,0.0895,2.2991,1.0417
DIS,actual,c,none,mstl3,14.465,0.0938,2.2962,1.0435
DIS,actual,c,none,zlma1,14.4552,0.1211,1.8026,1.0361
DIS,actual,c,none,zlma2,23.2514,0.1166,1.8044,1.0314
DIS,actual,c,none,zlma3,24.3186,0.102,1.8042,1.0371
DIS,actual,m,none,mstl1,9.4161,0.1056,2.3368,1.0084
DIS,actual,m,none,mstl2,28.023,0.1055,2.3356,1.0089
DIS,actual,m,none,mstl3,16.935,0.1045,2.3361,1.0086
DIS,actual,m,none,zlma1,16.2223,0.146,1.833,0.9616
DIS,actual,m,none,zlma2,29.4925,0.1451,1.8319,0.9562
DIS,actual,m,none,zlma3,24.735500000000002,0.1255,1.8374,0.9566
