symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
DIS,Disney,actual,c,96.29,96.45,97.2,97.2,-0.75,-0.75
DIS,Disney,actual,c,96.05,97.06,96.97,96.97,0.09,0.09
DIS,Disney,actual,c,96.45,97.36,96.75,96.75,0.61,0.61
DIS,Disney,actual,c,97.06,97.13,96.95,96.95,0.18,0.18
DIS,Disney,actual,c,97.36,96.51,96.73,96.73,-0.22,-0.22
DIS,Disney,actual,c,97.13,96.65,96.65,96.65,0,0
DIS,Disney,actual,c,96.51,98.27,97.42,97.42,0.85,0.85
DIS,Disney,actual,c,96.65,99.29,97.77,97.77,1.52,1.52
DIS,Disney,actual,c,98.27,98.28,98.15,98.15,0.13,0.13
DIS,Disney,actual,c,99.29,99.14,97.67,97.67,1.47,1.47
DIS,Disney,actual,c,98.28,104.98,100.33,100.33,4.65,4.65
DIS,Disney,actual,c,99.14,110.54,101.73,101.73,8.81,8.81
DIS,Disney,actual,c,104.98,110.57,107.78,107.78,2.79,2.79
DIS,Disney,actual,c,110.54,108.39,109.6,109.6,-1.21,-1.21
DIS,Disney,actual,c,110.57,108.22,111.62,111.62,-3.4,-3.4
DIS,Disney,actual,c,108.39,109.29,113.26,113.26,-3.97,-3.97
DIS,Disney,actual,c,108.22,110.02,113.33,113.33,-3.31,-3.31
DIS,Disney,actual,c,109.29,110.46,113,113,-2.54,-2.54
DIS,Disney,actual,c,110.02,110.97,110.91,110.91,0.06,0.06
DIS,Disney,actual,c,110.46,111.56,111.85,111.85,-0.29,-0.29
DIS,Disney,actual,c,110.97,112.14,111.65,111.65,0.49,0.49
DIS,Disney,actual,c,111.56,112.45,112.5,112.5,-0.05,-0.05
DIS,Disney,actual,c,112.14,112.26,112.94,112.94,-0.68,-0.68
DIS,Disney,actual,c,112.45,111.6,113.95,113.95,-2.35,-2.35
DIS,Disney,actual,c,112.26,110.59,112.42,112.42,-1.83,-1.83
DIS,Disney,actual,c,111.6,109.44,111.39,111.39,-1.95,-1.95
DIS,Disney,actual,c,110.59,108.37,110.21,110.21,-1.84,-1.84
DIS,Disney,actual,c,109.44,107.67,109.28,109.28,-1.61,-1.61
DIS,Disney,actual,c,108.37,107.51,107.69,107.69,-0.18,-0.18
DIS,Disney,actual,c,107.67,107.64,107.44,107.44,0.2,0.2
DIS,Disney,actual,c,107.51,107.77,106.57,106.57,1.2,1.2
DIS,Disney,actual,c,107.64,107.74,106.68,106.68,1.06,1.06
DIS,Disney,actual,c,107.77,107.57,106.63,106.63,0.94,0.94
DIS,Disney,actual,c,107.74,107.68,106.89,106.89,0.79,0.79
DIS,Disney,actual,c,107.57,108.43,107.73,107.73,0.7,0.7
DIS,Disney,actual,c,107.68,109.42,107.94,107.94,1.48,1.48
DIS,Disney,actual,c,108.43,110.21,109.04,109.04,1.17,1.17
DIS,Disney,actual,c,109.42,110.8,109.65,109.65,1.15,1.15
DIS,Disney,actual,c,110.21,111.29,110.77,110.77,0.52,0.52
DIS,Disney,actual,c,110.8,111.58,111.22,111.22,0.36,0.36
DIS,Disney,actual,c,111.29,111.64,112.26,112.26,-0.62,-0.62
DIS,Disney,actual,c,111.58,111.95,112.48,112.48,-0.53,-0.53
DIS,Disney,actual,c,111.64,112.85,112.91,112.91,-0.06,-0.06
DIS,Disney,actual,c,111.95,113.69,113.11,113.11,0.58,0.58
DIS,Disney,actual,c,112.85,113.74,113.76,113.76,-0.02,-0.02
DIS,Disney,actual,c,113.69,112.87,114.12,114.12,-1.25,-1.25
DIS,Disney,actual,c,113.74,111.31,113.57,113.57,-2.26,-2.26
DIS,Disney,actual,c,112.87,110.06,113.35,113.35,-3.29,-3.29
DIS,Disney,actual,c,111.31,109.91,111.56,111.56,-1.65,-1.65
DIS,Disney,actual,c,110.06,110.18,110.97,110.97,-0.79,-0.79
DIS,Disney,actual,c,109.91,110.13,109.46,109.46,0.67,0.67
DIS,Disney,actual,c,110.18,110.32,108.92,108.92,1.4,1.4
DIS,Disney,actual,c,110.13,111.3,109.13,109.13,2.17,2.17
DIS,Disney,actual,c,110.32,112.31,109.49,109.49,2.82,2.82
DIS,Disney,actual,c,111.3,112.58,111.54,111.54,1.04,1.04
DIS,Disney,actual,c,112.31,112.46,112.27,112.27,0.19,0.19
DIS,Disney,actual,c,112.58,112.47,112.81,112.81,-0.34,-0.34
DIS,Disney,actual,c,112.46,112.5,113.16,113.16,-0.66,-0.66
DIS,Disney,actual,c,112.47,112.36,113.27,113.27,-0.91,-0.91
DIS,Disney,actual,c,112.5,112.06,113.09,113.09,-1.03,-1.03
DIS,Disney,actual,c,112.36,111.77,112.36,112.36,-0.59,-0.59
DIS,Disney,actual,c,112.06,111.95,111.79,111.79,0.16,0.16
DIS,Disney,actual,c,111.77,112.88,112.12,112.12,0.76,0.76
DIS,Disney,actual,c,111.95,113.85,112.11,112.11,1.74,1.74
DIS,Disney,actual,c,112.88,114.19,113.08,113.08,1.11,1.11
DIS,Disney,actual,c,113.85,114.51,113.33,113.33,1.18,1.18
DIS,Disney,actual,c,114.19,115.43,114.7,114.7,0.73,0.73
DIS,Disney,actual,c,114.51,116.46,115.41,115.41,1.05,1.05
DIS,Disney,actual,c,115.43,116.93,116.81,116.81,0.12,0.12
DIS,Disney,actual,c,116.46,116.7,117.18,117.18,-0.48,-0.48
DIS,Disney,actual,c,116.93,115.97,117.38,117.38,-1.41,-1.41
DIS,Disney,actual,c,116.7,115.87,117.28,117.28,-1.41,-1.41
DIS,Disney,actual,c,115.97,117.3,117.19,117.19,0.11,0.11
DIS,Disney,actual,c,115.87,119.36,117.1,117.1,2.26,2.26
DIS,Disney,actual,c,117.3,120.69,118.73,118.73,1.96,1.96
DIS,Disney,actual,c,119.36,119.93,119.47,119.47,0.46,0.46
DIS,Disney,actual,c,120.69,119.94,119.25,119.25,0.69,0.69
DIS,Disney,actual,c,119.93,120.98,118.73,118.73,2.25,2.25
DIS,Disney,actual,c,119.94,121.76,122.45,122.45,-0.69,-0.69
DIS,Disney,actual,c,120.98,122.36,123.53,123.53,-1.17,-1.17
DIS,Disney,actual,c,121.76,NA,122.79,122.79,NA,NA
