symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
DIS,Disney,actual,h,97.47,97.79,98.45,98.45,-0.66,-0.66
DIS,Disney,actual,h,97.57,97.93,98.45,98.45,-0.52,-0.52
DIS,Disney,actual,h,97.79,97.79,98.07,98.07,-0.28,-0.28
DIS,Disney,actual,h,97.93,97.41,97.99,97.99,-0.58,-0.58
DIS,Disney,actual,h,97.79,97.03,97.59,97.59,-0.56,-0.56
DIS,Disney,actual,h,97.41,97.37,97.53,97.53,-0.16,-0.16
DIS,Disney,actual,h,97.03,98.75,97.81,97.81,0.94,0.94
DIS,Disney,actual,h,97.37,99.32,98.14,98.14,1.18,1.18
DIS,Disney,actual,h,98.75,98.06,98.13,98.13,-0.07,-0.07
DIS,Disney,actual,h,99.32,99.28,98.02,98.02,1.26,1.26
DIS,Disney,actual,h,98.06,106.26,100.52,100.52,5.74,5.74
DIS,Disney,actual,h,99.28,112.77,102.56,102.56,10.21,10.21
DIS,Disney,actual,h,106.26,112.72,109.28,109.28,3.44,3.44
DIS,Disney,actual,h,112.77,110.15,110.92,110.92,-0.77,-0.77
DIS,Disney,actual,h,112.72,110.03,113.69,113.69,-3.66,-3.66
DIS,Disney,actual,h,110.15,111.06,115.64,115.64,-4.58,-4.58
DIS,Disney,actual,h,110.03,111.05,115.75,115.75,-4.7,-4.7
DIS,Disney,actual,h,111.06,110.65,115.8,115.8,-5.15,-5.15
DIS,Disney,actual,h,111.05,110.93,111.76,111.76,-0.83,-0.83
DIS,Disney,actual,h,110.65,111.68,111.97,111.97,-0.29,-0.29
DIS,Disney,actual,h,110.93,112.44,111.42,111.42,1.02,1.02
DIS,Disney,actual,h,111.68,112.92,111.25,111.25,1.67,1.67
DIS,Disney,actual,h,112.44,112.93,112.63,112.63,0.3,0.3
DIS,Disney,actual,h,112.92,112.56,113.29,113.29,-0.73,-0.73
DIS,Disney,actual,h,112.93,111.96,112.92,112.92,-0.96,-0.96
DIS,Disney,actual,h,112.56,111.13,112.18,112.18,-1.05,-1.05
DIS,Disney,actual,h,111.96,110.1,112.04,112.04,-1.94,-1.94
DIS,Disney,actual,h,111.13,109.22,111.49,111.49,-2.27,-2.27
DIS,Disney,actual,h,110.1,108.76,109.53,109.53,-0.77,-0.77
DIS,Disney,actual,h,109.22,108.49,108.72,108.72,-0.23,-0.23
DIS,Disney,actual,h,108.76,108.15,107.77,107.77,0.38,0.38
DIS,Disney,actual,h,108.49,108,107.68,107.68,0.32,0.32
DIS,Disney,actual,h,108.15,108.28,107.2,107.2,1.08,1.08
DIS,Disney,actual,h,108,108.76,107.48,107.48,1.28,1.28
DIS,Disney,actual,h,108.28,109.16,107.95,107.95,1.21,1.21
DIS,Disney,actual,h,108.76,109.58,108.02,108.02,1.56,1.56
DIS,Disney,actual,h,109.16,110.17,109.24,109.24,0.93,0.93
DIS,Disney,actual,h,109.58,111.04,109.4,109.4,1.64,1.64
DIS,Disney,actual,h,110.17,112.13,111.23,111.23,0.9,0.9
DIS,Disney,actual,h,111.04,112.75,111.68,111.68,1.07,1.07
DIS,Disney,actual,h,112.13,112.43,112.72,112.72,-0.29,-0.29
DIS,Disney,actual,h,112.75,112.15,113.16,113.16,-1.01,-1.01
DIS,Disney,actual,h,112.43,112.9,113.44,113.44,-0.54,-0.54
DIS,Disney,actual,h,112.15,114.13,113.91,113.91,0.22,0.22
DIS,Disney,actual,h,112.9,115.02,114.39,114.39,0.63,0.63
DIS,Disney,actual,h,114.13,115.19,114.7,114.7,0.49,0.49
DIS,Disney,actual,h,115.02,114.51,115.04,115.04,-0.53,-0.53
DIS,Disney,actual,h,115.19,113.3,115.22,115.22,-1.92,-1.92
DIS,Disney,actual,h,114.51,112.01,114.45,114.45,-2.44,-2.44
DIS,Disney,actual,h,113.3,111.08,114.28,114.28,-3.2,-3.2
DIS,Disney,actual,h,112.01,110.85,112.01,112.01,-1.16,-1.16
DIS,Disney,actual,h,111.08,111.31,111.2,111.2,0.11,0.11
DIS,Disney,actual,h,110.85,112.22,110.56,110.56,1.66,1.66
DIS,Disney,actual,h,111.31,112.91,110.1,110.1,2.81,2.81
DIS,Disney,actual,h,112.22,112.9,111.38,111.38,1.52,1.52
DIS,Disney,actual,h,112.91,112.95,112.09,112.09,0.86,0.86
DIS,Disney,actual,h,112.9,113.69,113.3,113.3,0.39,0.39
DIS,Disney,actual,h,112.95,114.13,113.89,113.89,0.24,0.24
DIS,Disney,actual,h,113.69,113.34,114.24,114.24,-0.9,-0.9
DIS,Disney,actual,h,114.13,112.35,114.07,114.07,-1.72,-1.72
DIS,Disney,actual,h,113.34,112.31,113.39,113.39,-1.08,-1.08
DIS,Disney,actual,h,112.35,112.96,113.11,113.11,-0.15,-0.15
DIS,Disney,actual,h,112.31,113.77,113.12,113.12,0.65,0.65
DIS,Disney,actual,h,112.96,114.43,113.18,113.18,1.25,1.25
DIS,Disney,actual,h,113.77,114.8,113.68,113.68,1.12,1.12
DIS,Disney,actual,h,114.43,115.17,114.23,114.23,0.94,0.94
DIS,Disney,actual,h,114.8,115.8,115.28,115.28,0.52,0.52
DIS,Disney,actual,h,115.17,116.51,115.8,115.8,0.71,0.71
DIS,Disney,actual,h,115.8,117.07,116.88,116.88,0.19,0.19
DIS,Disney,actual,h,116.51,117.36,117.34,117.34,0.02,0.02
DIS,Disney,actual,h,117.07,117.42,117.82,117.82,-0.4,-0.4
DIS,Disney,actual,h,117.36,117.66,117.77,117.77,-0.11,-0.11
DIS,Disney,actual,h,117.42,118.41,118.48,118.48,-0.07,-0.07
DIS,Disney,actual,h,117.66,119.41,118.74,118.74,0.67,0.67
DIS,Disney,actual,h,118.41,120.22,119.58,119.58,0.64,0.64
DIS,Disney,actual,h,119.41,120.4,120.07,120.07,0.33,0.33
DIS,Disney,actual,h,120.22,120.97,120.49,120.49,0.48,0.48
DIS,Disney,actual,h,120.4,122.03,120.34,120.34,1.69,1.69
DIS,Disney,actual,h,120.97,122.96,122.78,122.78,0.18,0.18
DIS,Disney,actual,h,122.03,123.74,123.46,123.46,0.28,0.28
DIS,Disney,actual,h,122.96,NA,124.22,124.22,NA,NA
DIS,Disney,actual,h,123.74,NA,124.72,124.72,NA,NA
