symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
DIS,Disney,actual,l,96,95.83,96.21,96.21,-0.38,-0.38
DIS,Disney,actual,l,95.81,95.9,96.23,96.23,-0.33,-0.33
DIS,Disney,actual,l,95.83,95.84,96.31,96.31,-0.47,-0.47
DIS,Disney,actual,l,95.9,95.82,96.21,96.21,-0.39,-0.39
DIS,Disney,actual,l,95.84,96.04,95.92,95.92,0.12,0.12
DIS,Disney,actual,l,95.82,96.49,95.92,95.92,0.57,0.57
DIS,Disney,actual,l,96.04,96.99,96.39,96.39,0.6,0.6
DIS,Disney,actual,l,96.49,96.79,96.61,96.61,0.18,0.18
DIS,Disney,actual,l,96.99,95.73,96.6,96.6,-0.87,-0.87
DIS,Disney,actual,l,96.79,96.64,96.53,96.53,0.11,0.11
DIS,Disney,actual,l,95.73,101.62,97.62,97.62,4,4
DIS,Disney,actual,l,96.64,106.8,98.78,98.78,8.02,8.02
DIS,Disney,actual,l,101.62,108.26,103.84,103.84,4.42,4.42
DIS,Disney,actual,l,106.8,107.69,104.92,104.92,2.77,2.77
DIS,Disney,actual,l,108.26,107.57,109.35,109.35,-1.78,-1.78
DIS,Disney,actual,l,107.69,107.83,111.56,111.56,-3.73,-3.73
DIS,Disney,actual,l,107.57,107.97,112.06,112.06,-4.09,-4.09
DIS,Disney,actual,l,107.83,108.21,111.93,111.93,-3.72,-3.72
DIS,Disney,actual,l,107.97,108.83,109.63,109.63,-0.8,-0.8
DIS,Disney,actual,l,108.21,109.67,109.06,109.06,0.61,0.61
DIS,Disney,actual,l,108.83,110.48,109.53,109.53,0.95,0.95
DIS,Disney,actual,l,109.67,111.08,109.84,109.84,1.24,1.24
DIS,Disney,actual,l,110.48,111.34,111.46,111.46,-0.12,-0.12
DIS,Disney,actual,l,111.08,111.16,112.86,112.86,-1.7,-1.7
DIS,Disney,actual,l,111.34,110.47,111.87,111.87,-1.4,-1.4
DIS,Disney,actual,l,111.16,109.35,111.77,111.77,-2.42,-2.42
DIS,Disney,actual,l,110.47,108.05,110.36,110.36,-2.31,-2.31
DIS,Disney,actual,l,109.35,107.24,109.54,109.54,-2.3,-2.3
DIS,Disney,actual,l,108.05,107.36,107.84,107.84,-0.48,-0.48
DIS,Disney,actual,l,107.24,107.41,107.12,107.12,0.29,0.29
DIS,Disney,actual,l,107.36,106.53,106.12,106.12,0.41,0.41
DIS,Disney,actual,l,107.41,105.83,105.39,105.39,0.44,0.44
DIS,Disney,actual,l,106.53,106.4,105.47,105.47,0.93,0.93
DIS,Disney,actual,l,105.83,107.38,105.6,105.6,1.78,1.78
DIS,Disney,actual,l,106.4,107.76,106.41,106.41,1.35,1.35
DIS,Disney,actual,l,107.38,107.78,106.54,106.54,1.24,1.24
DIS,Disney,actual,l,107.76,107.97,107.28,107.28,0.69,0.69
DIS,Disney,actual,l,107.78,108.66,107.63,107.63,1.03,1.03
DIS,Disney,actual,l,107.97,109.91,109.04,109.04,0.87,0.87
DIS,Disney,actual,l,108.66,110.97,109.73,109.73,1.24,1.24
DIS,Disney,actual,l,109.91,111.16,110.84,110.84,0.32,0.32
DIS,Disney,actual,l,110.97,111.03,111.51,111.51,-0.48,-0.48
DIS,Disney,actual,l,111.16,111.24,111.89,111.89,-0.65,-0.65
DIS,Disney,actual,l,111.03,111.8,112.05,112.05,-0.25,-0.25
DIS,Disney,actual,l,111.24,112.43,112.75,112.75,-0.32,-0.32
DIS,Disney,actual,l,111.8,112.27,113.03,113.03,-0.76,-0.76
DIS,Disney,actual,l,112.43,110.79,112.38,112.38,-1.59,-1.59
DIS,Disney,actual,l,112.27,109.25,111.88,111.88,-2.63,-2.63
DIS,Disney,actual,l,110.79,108.91,110.49,110.49,-1.58,-1.58
DIS,Disney,actual,l,109.25,109.2,109.87,109.87,-0.67,-0.67
DIS,Disney,actual,l,108.91,109.31,108.92,108.92,0.39,0.39
DIS,Disney,actual,l,109.2,109.34,108.18,108.18,1.16,1.16
DIS,Disney,actual,l,109.31,109.56,108.08,108.08,1.48,1.48
DIS,Disney,actual,l,109.34,110.03,108.05,108.05,1.98,1.98
DIS,Disney,actual,l,109.56,110.73,109.65,109.65,1.08,1.08
DIS,Disney,actual,l,110.03,111.64,110.22,110.22,1.42,1.42
DIS,Disney,actual,l,110.73,112.52,111.44,111.44,1.08,1.08
DIS,Disney,actual,l,111.64,112.44,112.17,112.17,0.27,0.27
DIS,Disney,actual,l,112.52,110.85,112.53,112.53,-1.68,-1.68
DIS,Disney,actual,l,112.44,109.51,112.24,112.24,-2.73,-2.73
DIS,Disney,actual,l,110.85,110.08,111.41,111.41,-1.33,-1.33
DIS,Disney,actual,l,109.51,111.4,111.63,111.63,-0.23,-0.23
DIS,Disney,actual,l,110.08,112.04,110.91,110.91,1.13,1.13
DIS,Disney,actual,l,111.4,112.29,110.41,110.41,1.88,1.88
DIS,Disney,actual,l,112.04,112.71,111.42,111.42,1.29,1.29
DIS,Disney,actual,l,112.29,113.24,112.33,112.33,0.91,0.91
DIS,Disney,actual,l,112.71,113.73,113.64,113.64,0.09,0.09
DIS,Disney,actual,l,113.24,114.36,113.98,113.98,0.38,0.38
DIS,Disney,actual,l,113.73,115.22,114.91,114.91,0.31,0.31
DIS,Disney,actual,l,114.36,115.86,115.43,115.43,0.43,0.43
DIS,Disney,actual,l,115.22,115.91,116.06,116.06,-0.15,-0.15
DIS,Disney,actual,l,115.86,115.84,116.13,116.13,-0.29,-0.29
DIS,Disney,actual,l,115.91,116.19,116.77,116.77,-0.58,-0.58
DIS,Disney,actual,l,115.84,116.87,117.09,117.09,-0.22,-0.22
DIS,Disney,actual,l,116.19,117.62,117.42,117.42,0.2,0.2
DIS,Disney,actual,l,116.87,118.19,117.78,117.78,0.41,0.41
DIS,Disney,actual,l,117.62,118.99,118.15,118.15,0.84,0.84
DIS,Disney,actual,l,118.19,120.02,118.51,118.51,1.51,1.51
DIS,Disney,actual,l,118.99,120.8,120.3,120.3,0.5,0.5
DIS,Disney,actual,l,120.02,121.2,121.14,121.14,0.06,0.06
DIS,Disney,actual,l,120.8,NA,121.85,121.85,NA,NA
DIS,Disney,actual,l,121.2,NA,122.39,122.39,NA,NA
