symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
DIS,Disney,actual,m,96.73,96.81,97.36,97.36,-0.55,-0.55
DIS,Disney,actual,m,96.69,96.92,97.37,97.37,-0.45,-0.45
DIS,Disney,actual,m,96.81,96.81,97.19,97.19,-0.38,-0.38
DIS,Disney,actual,m,96.92,96.62,97.16,97.16,-0.54,-0.54
DIS,Disney,actual,m,96.81,96.53,96.79,96.79,-0.26,-0.26
DIS,Disney,actual,m,96.62,96.93,96.84,96.84,0.09,0.09
DIS,Disney,actual,m,96.53,97.87,97.06,97.06,0.81,0.81
DIS,Disney,actual,m,96.93,98.06,97.36,97.36,0.7,0.7
DIS,Disney,actual,m,97.87,96.89,97.38,97.38,-0.49,-0.49
DIS,Disney,actual,m,98.06,97.96,97.25,97.25,0.71,0.71
DIS,Disney,actual,m,96.89,103.94,99.04,99.04,4.9,4.9
DIS,Disney,actual,m,97.96,109.78,100.64,100.64,9.14,9.14
DIS,Disney,actual,m,103.94,110.49,106.43,106.43,4.06,4.06
DIS,Disney,actual,m,109.78,108.92,107.44,107.44,1.48,1.48
DIS,Disney,actual,m,110.49,108.8,111.5,111.5,-2.7,-2.7
DIS,Disney,actual,m,108.92,109.44,113.67,113.67,-4.23,-4.23
DIS,Disney,actual,m,108.8,109.51,113.87,113.87,-4.36,-4.36
DIS,Disney,actual,m,109.44,109.43,113.51,113.51,-4.08,-4.08
DIS,Disney,actual,m,109.51,109.88,110.68,110.68,-0.8,-0.8
DIS,Disney,actual,m,109.43,110.67,110.42,110.42,0.25,0.25
DIS,Disney,actual,m,109.88,111.46,110.52,110.52,0.94,0.94
DIS,Disney,actual,m,110.67,112,110.48,110.48,1.52,1.52
DIS,Disney,actual,m,111.46,112.13,111.83,111.83,0.3,0.3
DIS,Disney,actual,m,112,111.86,112.23,112.23,-0.37,-0.37
DIS,Disney,actual,m,112.13,111.21,112.48,112.48,-1.27,-1.27
DIS,Disney,actual,m,111.86,110.24,111.64,111.64,-1.4,-1.4
DIS,Disney,actual,m,111.21,109.08,111.19,111.19,-2.11,-2.11
DIS,Disney,actual,m,110.24,108.23,110.61,110.61,-2.38,-2.38
DIS,Disney,actual,m,109.08,108.06,108.52,108.52,-0.46,-0.46
DIS,Disney,actual,m,108.23,107.95,107.84,107.84,0.11,0.11
DIS,Disney,actual,m,108.06,107.34,106.99,106.99,0.35,0.35
DIS,Disney,actual,m,107.95,106.92,106.58,106.58,0.34,0.34
DIS,Disney,actual,m,107.34,107.34,106.3,106.3,1.04,1.04
DIS,Disney,actual,m,106.92,108.07,106.42,106.42,1.65,1.65
DIS,Disney,actual,m,107.34,108.46,107.18,107.18,1.28,1.28
DIS,Disney,actual,m,108.07,108.68,107.32,107.32,1.36,1.36
DIS,Disney,actual,m,108.46,109.07,108.29,108.29,0.78,0.78
DIS,Disney,actual,m,108.68,109.85,108.66,108.66,1.19,1.19
DIS,Disney,actual,m,109.07,111.02,110.07,110.07,0.95,0.95
DIS,Disney,actual,m,109.85,111.86,110.71,110.71,1.15,1.15
DIS,Disney,actual,m,111.02,111.8,111.83,111.83,-0.03,-0.03
DIS,Disney,actual,m,111.86,111.59,112.43,112.43,-0.84,-0.84
DIS,Disney,actual,m,111.8,112.07,112.61,112.61,-0.54,-0.54
DIS,Disney,actual,m,111.59,112.97,113.14,113.14,-0.17,-0.17
DIS,Disney,actual,m,112.07,113.72,113.58,113.58,0.14,0.14
DIS,Disney,actual,m,112.97,113.73,113.86,113.86,-0.13,-0.13
DIS,Disney,actual,m,113.72,112.65,113.79,113.79,-1.14,-1.14
DIS,Disney,actual,m,113.73,111.28,113.67,113.67,-2.39,-2.39
DIS,Disney,actual,m,112.65,110.46,112.62,112.62,-2.16,-2.16
DIS,Disney,actual,m,111.28,110.14,112.22,112.22,-2.08,-2.08
DIS,Disney,actual,m,110.46,110.08,110.51,110.51,-0.43,-0.43
DIS,Disney,actual,m,110.14,110.32,109.75,109.75,0.57,0.57
DIS,Disney,actual,m,110.08,110.89,109.16,109.16,1.73,1.73
DIS,Disney,actual,m,110.32,111.47,109.07,109.07,2.4,2.4
DIS,Disney,actual,m,110.89,111.82,110.49,110.49,1.33,1.33
DIS,Disney,actual,m,111.47,112.29,111.02,111.02,1.27,1.27
DIS,Disney,actual,m,111.82,113.11,112.32,112.32,0.79,0.79
DIS,Disney,actual,m,112.29,113.28,113.05,113.05,0.23,0.23
DIS,Disney,actual,m,113.11,112.09,113.32,113.32,-1.23,-1.23
DIS,Disney,actual,m,113.28,110.93,112.91,112.91,-1.98,-1.98
DIS,Disney,actual,m,112.09,111.19,112.28,112.28,-1.09,-1.09
DIS,Disney,actual,m,110.93,112.18,112.18,112.18,0,0
DIS,Disney,actual,m,111.19,112.9,111.92,111.92,0.98,0.98
DIS,Disney,actual,m,112.18,113.36,111.65,111.65,1.71,1.71
DIS,Disney,actual,m,112.9,113.76,112.56,112.56,1.2,1.2
DIS,Disney,actual,m,113.36,114.2,113.26,113.26,0.94,0.94
DIS,Disney,actual,m,113.76,114.77,114.49,114.49,0.28,0.28
DIS,Disney,actual,m,114.2,115.44,115,115,0.44,0.44
DIS,Disney,actual,m,114.77,116.14,115.92,115.92,0.22,0.22
DIS,Disney,actual,m,115.44,116.61,116.41,116.41,0.2,0.2
DIS,Disney,actual,m,116.14,116.67,116.87,116.87,-0.2,-0.2
DIS,Disney,actual,m,116.61,116.75,116.87,116.87,-0.12,-0.12
DIS,Disney,actual,m,116.67,117.3,117.62,117.62,-0.32,-0.32
DIS,Disney,actual,m,116.75,118.14,117.97,117.97,0.17,0.17
DIS,Disney,actual,m,117.3,118.92,118.48,118.48,0.44,0.44
DIS,Disney,actual,m,118.14,119.3,118.85,118.85,0.45,0.45
DIS,Disney,actual,m,118.92,119.98,119.35,119.35,0.63,0.63
DIS,Disney,actual,m,119.3,121.02,119.51,119.51,1.51,1.51
DIS,Disney,actual,m,119.98,121.88,121.5,121.5,0.38,0.38
DIS,Disney,actual,m,121.02,122.47,122.29,122.29,0.18,0.18
DIS,Disney,actual,m,121.88,NA,123.03,123.03,NA,NA
DIS,Disney,actual,m,122.47,NA,123.53,123.53,NA,NA
