symbol,tsys,tsrow,bsc,hadj,ladj,win,lose,plmm,pldol,riskmm,pos
DIS,M1,1,Buy,0.15,-0.15,5,0,31.25,1562.5,0.68,0
DIS,M1,1,Buy,0.1,-0.15,5,0,30.75,1537.5,0.68,0
DIS,M1,1,Buy,0.05,-0.05,7,0,30,1500,0.04,0
DIS,M1,1,Buy,0.15,-0.2,4,0,28.5,1425,0.68,0
DIS,M1,1,Buy,0.05,-0.1,4,0,28.25,1412.5,0.92,0
DIS,M1,1,Buy,0.1,-0.2,4,0,28,1400,0.68,0
DIS,M1,1,Buy,0.05,-0.15,4,0,27.5,1375,0.92,0
DIS,M1,1,Buy,0.15,-0.05,5,0,27.25,1362.5,0.88,0
DIS,M1,1,Buy,0,0,4,0,27.25,1362.5,0.4,0
DIS,M1,1,Buy,0.15,-0.1,5,0,26.75,1337.5,0.88,0
DIS,M1,1,Buy,0.1,-0.05,5,0,26.75,1337.5,0.88,0
DIS,M1,1,Buy,0.1,-0.1,5,0,26.25,1312.5,0.88,0
DIS,M1,1,Buy,-0.05,0,5,0,26,1300,0.4,0
DIS,M1,1,Buy,0.15,0,4,0,25.5,1275,0.4,0
DIS,M1,1,Buy,0,-0.05,4,0,25.25,1262.5,1.92,0
DIS,M1,1,Buy,0.1,0,4,0,25,1250,0.4,0
DIS,M1,1,Buy,0.05,-0.2,3,0,25,1250,2.2,0
DIS,M1,1,Buy,0,-0.1,4,0,24.75,1237.5,0.92,0
DIS,M1,1,Buy,0,-0.15,4,0,24,1200,0.92,0
DIS,M1,1,Buy,-0.4,-0.15,4,0,23.5,1175,0.68,0
DIS,M1,1,Buy,-0.5,-0.15,4,0,22.75,1137.5,0.68,0
DIS,M1,1,Buy,0,-0.2,3,0,21.75,1087.5,2.2,0
DIS,M1,1,Buy,-0.4,-0.2,4,0,21.75,1087.5,0.36,0
DIS,M1,1,Buy,-0.05,-0.05,5,0,21.5,1075,0.88,0
DIS,M1,1,Buy,0.2,0,3,1,21,1050,0.4,0
DIS,M1,1,Buy,-0.05,-0.1,5,0,21,1050,0.88,0
DIS,M1,1,Buy,-0.5,-0.2,4,0,21,1050,0.36,0
DIS,M1,1,Buy,-0.35,0,4,0,20.5,1025,0.4,1
DIS,M1,1,Buy,-0.4,0,4,0,20.25,1012.5,0.4,1
DIS,M1,1,Buy,-0.45,-0.15,5,0,20.25,1012.5,0.68,0
DIS,M1,1,Buy,-0.35,-0.05,4,0,20,1000,0.88,0
DIS,M1,1,Buy,-0.35,-0.15,5,0,20,1000,0.68,0
DIS,M1,1,Buy,-0.45,0,4,0,20,1000,0.4,1
DIS,M1,1,Buy,0.15,-0.25,4,0,19.75,987.5,0.36,0
DIS,M1,1,Buy,-0.4,-0.05,4,0,19.75,987.5,0.88,0
DIS,M1,1,Buy,-0.45,-0.05,4,0,19.5,975,0.88,0
