symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
META,M1,-0.25,-0.35,Buy,24-02-14,1,Buy,Stop,Entry,1,469.25,TRUE,1,12.64
META,M1,-0.25,-0.35,Buy,24-02-23,-1,Sell,Stop,Target,0,485.75,TRUE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-27,1,Buy,Stop,Entry,1,483,TRUE,1,12.32
META,M1,-0.25,-0.35,Buy,24-02-28,-1,Sell,Stop,Target,0,488.5,TRUE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-05,-1,Buy,Stop,Entry,1,488.25,TRUE,1,1.44
META,M1,-0.25,-0.35,Buy,24-03-06,-1,Sell,Stop,Target,0,499.75,TRUE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-12,1,Buy,Stop,Entry,1,494.5,TRUE,1,39.08
META,M1,-0.25,-0.35,Buy,24-03-13,1,Sell,Stop,Target,0,500.25,TRUE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-15,-1,Buy,Stop,Entry,1,482.75,TRUE,1,5.8
META,M1,-0.25,-0.35,Buy,24-03-15,-1,Sell,Stop,Target,0,491.75,TRUE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-19,1,Buy,Stop,Entry,1,482.75,TRUE,1,5.88
META,M1,-0.25,-0.35,Buy,24-03-26,-1,Sell,Stop,Target,0,509.25,TRUE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-27,-1,Buy,Stop,Entry,1,493.75,TRUE,1,22.72
