symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
META,M1,-0.25,-0.35,Buy,24-02-01,1,Buy,Stop,Entry,0,427.5,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-02,1,Buy,Stop,Entry,0,421,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-05,-1,Buy,Stop,Entry,0,427.75,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-06,-1,Buy,Stop,Entry,0,473.75,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-07,1,Buy,Stop,Entry,0,484,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-08,1,Buy,Stop,Entry,0,480.75,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-09,-1,Buy,Stop,Entry,0,474.75,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-12,1,Buy,Stop,Entry,0,473.25,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-13,1,Buy,Stop,Entry,0,474.5,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-14,1,Buy,Stop,Entry,1,469.25,TRUE,1,12.64
META,M1,-0.25,-0.35,Buy,24-02-14,1,Sell,Stop,Target,1,478.5,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-14,1,Sell,Stop,PSI,1,466.09,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-15,1,Sell,Stop,Target,1,476.5,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-15,1,Sell,Stop,PSA,1,469.25,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-16,-1,Sell,Stop,Target,1,483.75,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-16,-1,Sell,Stop,PSA,1,471.5,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-20,1,Sell,Stop,Target,1,486.75,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-20,1,Sell,Stop,PSA,1,474.25,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-21,1,Sell,Stop,Target,1,485.5,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-21,1,Sell,Stop,PSA,1,474.5,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-22,1,Sell,Stop,Target,1,476.25,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-22,1,Sell,Stop,PSA,1,469.5,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-23,-1,Sell,Stop,Target,0,485.75,TRUE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-23,-1,Sell,Stop,PSA,1,471.75,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-26,-1,Buy,Stop,Entry,0,483.25,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-27,1,Buy,Stop,Entry,1,483,TRUE,1,12.32
META,M1,-0.25,-0.35,Buy,24-02-27,1,Sell,Stop,Target,1,492.25,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-27,1,Sell,Stop,PSI,1,479.92,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-28,-1,Sell,Stop,Target,0,488.5,TRUE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-28,-1,Sell,Stop,PSA,1,483,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-02-29,1,Buy,Stop,Entry,0,481.75,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-01,1,Buy,Stop,Entry,0,482.25,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-04,-1,Buy,Stop,Entry,0,484,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-05,-1,Buy,Stop,Entry,1,488.25,TRUE,1,1.44
META,M1,-0.25,-0.35,Buy,24-03-05,-1,Sell,Stop,Target,1,503.25,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-05,-1,Sell,Stop,PSI,1,487.89,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-06,-1,Sell,Stop,Target,0,499.75,TRUE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-06,-1,Sell,Stop,PSA,1,488.5,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-07,1,Buy,Stop,Entry,0,491.5,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-08,-1,Buy,Stop,Entry,0,494,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-11,-1,Buy,Stop,Entry,0,495.75,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-12,1,Buy,Stop,Entry,1,494.5,TRUE,1,39.08
META,M1,-0.25,-0.35,Buy,24-03-12,1,Sell,Stop,Target,1,511,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-12,1,Sell,Stop,PSI,1,484.73,FALSE,1,NA
META,M1,-0.25,-0.35,Buy,24-03-13,1,Sell,Stop,Target,0,500.25,TRUE,1,NA
