symbol,group,dt,pproc,method,etime,mean,sd,zscore
META,actual,h,none,mstl1,6.1053,0.303,19.8378,0.9552
META,actual,h,none,mstl2,16.9229,0.3043,19.8354,0.9553
META,actual,h,none,mstl3,13.0066,0.3186,19.8403,0.9548
META,actual,h,none,zlma1,13.2867,-0.5551,14.6163,0.9837
META,actual,h,none,zlma2,22.8493,-0.5584,14.6149,0.9755
META,actual,h,none,zlma3,19.824,-0.6496,14.5321,0.9704
META,actual,l,none,mstl1,5.6702,-0.2455,16.4508,0.9653
META,actual,l,none,mstl2,16.592,-0.2359,16.4446,0.9658
META,actual,l,none,mstl3,12.5514,-0.2309,16.44,0.9647
META,actual,l,none,zlma1,13.1189,-0.3134,11.8019,1.0206
META,actual,l,none,zlma2,22.2921,-0.3119,11.7769,1.0175
META,actual,l,none,zlma3,17.7398,-0.3565,11.8054,1.0191
META,actual,c,none,mstl1,4.6621,-1.0705,18.2069,0.9291
META,actual,c,none,mstl2,17.094,-1.0673,18.2032,0.9289
META,actual,c,none,mstl3,12.6158,-1.0585,18.2054,0.9286
META,actual,c,none,zlma1,13.9986,-0.3791,13.0476,0.9751
META,actual,c,none,zlma2,22.8655,-0.3626,13.0183,0.9733
META,actual,c,none,zlma3,18.3113,-0.4144,13.0268,0.9704
META,actual,m,none,mstl1,5.6349,0.1645,17.8633,0.9482
META,actual,m,none,mstl2,16.5842,0.1622,17.8604,0.9487
META,actual,m,none,mstl3,13.3721,0.1869,17.8607,0.9482
META,actual,m,none,zlma1,13.2344,-0.2849,12.9716,1.0092
META,actual,m,none,zlma2,22.6283,-0.3089,12.9242,1.0031
META,actual,m,none,zlma3,18.1639,-0.3177,12.9057,0.9982
