symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
META,Meta,actual,c,396.61,383.12,400.33,400.33,-17.21,-17.21
META,Meta,actual,c,390.14,394.78,401.22,401.22,-6.44,-6.44
META,Meta,actual,c,383.12,436.93,390.96,390.96,45.97,45.97
META,Meta,actual,c,394.78,474.99,390.32,390.32,84.67,84.67
META,Meta,actual,c,436.93,475.93,405.43,405.43,70.5,70.5
META,Meta,actual,c,474.99,459.41,406.46,406.46,52.95,52.95
META,Meta,actual,c,475.93,451.93,475.39,475.39,-23.46,-23.46
META,Meta,actual,c,459.41,454.72,483.95,483.95,-29.23,-29.23
META,Meta,actual,c,451.93,462.55,483.19,483.19,-20.64,-20.64
META,Meta,actual,c,454.72,469.59,491.84,491.84,-22.25,-22.25
META,Meta,actual,c,462.55,471.44,482.84,482.84,-11.4,-11.4
META,Meta,actual,c,469.59,470,490.34,490.34,-20.34,-20.34
META,Meta,actual,c,471.44,468.35,476.14,476.14,-7.79,-7.79
META,Meta,actual,c,470,468.11,480.13,480.13,-12.02,-12.02
META,Meta,actual,c,468.35,469.54,474.69,474.69,-5.15,-5.15
META,Meta,actual,c,468.11,468.9,476,476,-7.1,-7.1
META,Meta,actual,c,469.54,463.66,472.08,472.08,-8.42,-8.42
META,Meta,actual,c,468.9,460.12,473.78,473.78,-13.66,-13.66
META,Meta,actual,c,463.66,464.42,465.41,465.41,-0.99,-0.99
META,Meta,actual,c,460.12,473.28,465.54,465.54,7.74,7.74
META,Meta,actual,c,464.42,481.32,466.26,466.26,15.06,15.06
META,Meta,actual,c,473.28,484.03,466.11,466.11,17.92,17.92
META,Meta,actual,c,481.32,479.26,477.96,477.96,1.3,1.3
META,Meta,actual,c,484.03,473.32,479.26,479.26,-5.94,-5.94
META,Meta,actual,c,479.26,472.15,481.44,481.44,-9.29,-9.29
META,Meta,actual,c,473.32,471.75,482.86,482.86,-11.11,-11.11
META,Meta,actual,c,472.15,468.22,478.45,478.45,-10.23,-10.23
META,Meta,actual,c,471.75,468.03,479.15,479.15,-11.12,-11.12
META,Meta,actual,c,468.22,476.76,469.9,469.9,6.86,6.86
META,Meta,actual,c,468.03,486.13,469.83,469.83,16.3,16.3
META,Meta,actual,c,476.76,487.41,488.05,488.05,-0.64,-0.64
META,Meta,actual,c,486.13,484.03,489.78,489.78,-5.75,-5.75
META,Meta,actual,c,487.41,481.52,484.54,484.54,-3.02,-3.02
META,Meta,actual,c,484.03,481.74,485.85,485.85,-4.11,-4.11
META,Meta,actual,c,481.52,484.74,487.07,487.07,-2.33,-2.33
META,Meta,actual,c,481.74,487.05,488.07,488.07,-1.02,-1.02
META,Meta,actual,c,484.74,485.81,485.65,485.65,0.16,0.16
META,Meta,actual,c,487.05,484.02,486.05,486.05,-2.03,-2.03
META,Meta,actual,c,485.81,485.35,487.39,487.39,-2.04,-2.04
META,Meta,actual,c,484.02,490.13,488.75,488.75,1.38,1.38
META,Meta,actual,c,485.35,497.14,488.26,488.26,8.88,8.88
META,Meta,actual,c,490.13,502.3,489.52,489.52,12.78,12.78
META,Meta,actual,c,497.14,502.12,492.53,492.53,9.59,9.59
META,Meta,actual,c,502.3,498.19,493.07,493.07,5.12,5.12
META,Meta,actual,c,502.12,493.35,498.33,498.33,-4.98,-4.98
META,Meta,actual,c,498.19,490.22,499.28,499.28,-9.06,-9.06
META,Meta,actual,c,493.35,490.95,499.19,499.19,-8.24,-8.24
META,Meta,actual,c,490.22,496.09,500.92,500.92,-4.83,-4.83
META,Meta,actual,c,490.95,504.8,495.53,495.53,9.27,9.27
META,Meta,actual,c,496.09,512.19,496.04,496.04,16.15,16.15
META,Meta,actual,c,504.8,513.2,505.72,505.72,7.48,7.48
META,Meta,actual,c,512.19,505.95,506.88,506.88,-0.93,-0.93
