symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
META,Meta,actual,h,404.51,389.44,407.45,407.45,-18.01,-18.01
META,Meta,actual,h,398,400.5,408.74,408.74,-8.24,-8.24
META,Meta,actual,h,389.44,444.97,398.91,398.91,46.06,46.06
META,Meta,actual,h,400.5,485.96,398.63,398.63,87.33,87.33
META,Meta,actual,h,444.97,487.99,410.08,410.08,77.91,77.91
META,Meta,actual,h,485.96,471.9,411.11,411.11,60.79,60.79
META,Meta,actual,h,487.99,465.36,488.23,488.23,-22.87,-22.87
META,Meta,actual,h,471.9,467.12,498.71,498.71,-31.59,-31.59
META,Meta,actual,h,465.36,469.94,497.76,497.76,-27.82,-27.82
META,Meta,actual,h,467.12,471.52,506.98,506.98,-35.46,-35.46
META,Meta,actual,h,469.94,471.29,491.75,491.75,-20.46,-20.46
META,Meta,actual,h,471.52,470.59,498.44,498.44,-27.85,-27.85
META,Meta,actual,h,471.29,471.04,477.06,477.06,-6.02,-6.02
META,Meta,actual,h,470.59,473.59,479.76,479.76,-6.17,-6.17
META,Meta,actual,h,471.04,477.89,474.45,474.45,3.44,3.44
META,Meta,actual,h,473.59,479.15,473.97,473.97,5.18,5.18
META,Meta,actual,h,477.89,473.82,476.74,476.74,-2.92,-2.92
META,Meta,actual,h,479.15,467.89,477.93,477.93,-10.04,-10.04
META,Meta,actual,h,473.82,468.02,474.9,474.9,-6.88,-6.88
META,Meta,actual,h,467.89,474.11,474.84,474.84,-0.73,-0.73
META,Meta,actual,h,468.02,483.31,472.33,472.33,10.98,10.98
META,Meta,actual,h,474.11,488.62,472.4,472.4,16.22,16.22
META,Meta,actual,h,483.31,484.94,481.15,481.15,3.79,3.79
META,Meta,actual,h,488.62,478.96,482.06,482.06,-3.1,-3.1
META,Meta,actual,h,484.94,477.52,484.74,484.74,-7.22,-7.22
META,Meta,actual,h,478.96,476.18,486.08,486.08,-9.9,-9.9
META,Meta,actual,h,477.52,470.72,482.67,482.67,-11.95,-11.95
META,Meta,actual,h,476.18,469,484.39,484.39,-15.39,-15.39
META,Meta,actual,h,470.72,478.1,472.9,472.9,5.2,5.2
META,Meta,actual,h,469,489.99,471.92,471.92,18.07,18.07
META,Meta,actual,h,478.1,495.31,484.1,484.1,11.21,11.21
META,Meta,actual,h,489.99,494.36,484.64,484.64,9.72,9.72
META,Meta,actual,h,495.31,490.08,496.53,496.53,-6.45,-6.45
META,Meta,actual,h,494.36,486.14,497.92,497.92,-11.78,-11.78
META,Meta,actual,h,490.08,485.48,492.25,492.25,-6.77,-6.77
META,Meta,actual,h,486.14,487.27,493.12,493.12,-5.85,-5.85
META,Meta,actual,h,485.48,489.73,487.75,487.75,1.98,1.98
META,Meta,actual,h,487.27,491.05,488.28,488.28,2.77,2.77
META,Meta,actual,h,489.73,490.48,490.75,490.75,-0.27,-0.27
META,Meta,actual,h,491.05,491.7,491.49,491.49,0.21,0.21
META,Meta,actual,h,490.48,497.68,492.2,492.2,5.48,5.48
META,Meta,actual,h,491.7,504.25,493,493,11.25,11.25
META,Meta,actual,h,497.68,506.59,495.81,495.81,10.78,10.78
META,Meta,actual,h,504.25,504.42,496.03,496.03,8.39,8.39
META,Meta,actual,h,506.59,499.31,506.84,506.84,-7.53,-7.53
META,Meta,actual,h,504.42,495.58,507.79,507.79,-12.21,-12.21
META,Meta,actual,h,499.31,497.08,502.05,502.05,-4.97,-4.97
META,Meta,actual,h,495.58,502.97,503.36,503.36,-0.39,-0.39
META,Meta,actual,h,497.08,511.25,504.1,504.1,7.15,7.15
META,Meta,actual,h,502.97,519.85,505.44,505.44,14.41,14.41
META,Meta,actual,h,511.25,525.94,511.13,511.13,14.81,14.81
META,Meta,actual,h,519.85,523.57,512.42,512.42,11.15,11.15
META,Meta,actual,h,525.94,509.87,525.04,525.04,-15.17,-15.17
META,Meta,actual,h,523.57,497.32,527.48,527.48,-30.16,-30.16
META,Meta,actual,h,509.87,497.41,517.19,517.19,-19.78,-19.78
META,Meta,actual,h,497.32,502.31,518.44,518.44,-16.13,-16.13
META,Meta,actual,h,497.41,502.51,504.46,504.46,-1.95,-1.95
META,Meta,actual,h,502.31,500.98,503.81,503.81,-2.83,-2.83
META,Meta,actual,h,502.51,501.84,496.66,496.66,5.18,5.18
META,Meta,actual,h,500.98,501.35,495.25,495.25,6.1,6.1
META,Meta,actual,h,501.84,496.1,495.63,495.63,0.47,0.47
META,Meta,actual,h,501.35,491.83,492.6,492.6,-0.77,-0.77
META,Meta,actual,h,496.1,493.96,494.02,494.02,-0.06,-0.06
META,Meta,actual,h,491.83,497.42,492.92,492.92,4.5,4.5
META,Meta,actual,h,493.96,496.91,492.9,492.9,4.01,4.01
META,Meta,actual,h,497.42,496.63,492.73,492.73,3.9,3.9
META,Meta,actual,h,496.91,501.31,494.22,494.22,7.09,7.09
META,Meta,actual,h,496.63,508.2,493.51,493.51,14.69,14.69
META,Meta,actual,h,501.31,513.29,501.37,501.37,11.92,11.92
META,Meta,actual,h,508.2,515.04,501.27,501.27,13.77,13.77
META,Meta,actual,h,513.29,513.17,513.93,513.93,-0.76,-0.76
META,Meta,actual,h,515.04,509.97,515.01,515.01,-5.04,-5.04
META,Meta,actual,h,513.17,507.85,517.27,517.27,-9.42,-9.42
META,Meta,actual,h,509.97,507.22,518.77,518.77,-11.55,-11.55
META,Meta,actual,h,507.85,507.97,513.95,513.95,-5.98,-5.98
META,Meta,actual,h,507.22,510,515.9,515.9,-5.9,-5.9
META,Meta,actual,h,507.97,508,510.3,510.3,-2.3,-2.3
