symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
META,Meta,actual,l,394.95,382.83,399.11,399.11,-16.28,-16.28
META,Meta,actual,l,387.1,393.05,400.17,400.17,-7.12,-7.12
META,Meta,actual,l,382.83,423.21,390.46,390.46,32.75,32.75
META,Meta,actual,l,393.05,453.01,390.18,390.18,62.83,62.83
META,Meta,actual,l,423.21,462.53,399.96,399.96,62.57,62.57
META,Meta,actual,l,453.01,459.22,400.85,400.85,58.37,58.37
META,Meta,actual,l,462.53,455.1,463.22,463.22,-8.12,-8.12
META,Meta,actual,l,459.22,453,471.43,471.43,-18.43,-18.43
META,Meta,actual,l,455.1,453.37,478.44,478.44,-25.07,-25.07
META,Meta,actual,l,453,456.18,487.16,487.16,-30.98,-30.98
META,Meta,actual,l,453.37,460.86,475.5,475.5,-14.64,-14.64
META,Meta,actual,l,456.18,465.03,482.18,482.18,-17.15,-17.15
META,Meta,actual,l,460.86,466.74,469.52,469.52,-2.78,-2.78
META,Meta,actual,l,465.03,467.47,473.17,473.17,-5.7,-5.7
META,Meta,actual,l,466.74,468.46,470.24,470.24,-1.78,-1.78
META,Meta,actual,l,467.47,466.58,470.82,470.82,-4.24,-4.24
META,Meta,actual,l,468.46,459.82,471.38,471.38,-11.56,-11.56
META,Meta,actual,l,466.58,455.09,472.6,472.6,-17.51,-17.51
META,Meta,actual,l,459.82,458.77,463.94,463.94,-5.17,-5.17
META,Meta,actual,l,455.09,466.09,464.58,464.58,1.51,1.51
META,Meta,actual,l,458.77,470.85,461.36,461.36,9.49,9.49
META,Meta,actual,l,466.09,472.22,460.93,460.93,11.29,11.29
META,Meta,actual,l,470.85,471,467.17,467.17,3.83,3.83
META,Meta,actual,l,472.22,469.21,467.9,467.9,1.31,1.31
META,Meta,actual,l,471,468.33,471.55,471.55,-3.22,-3.22
META,Meta,actual,l,469.21,466.56,472.37,472.37,-5.81,-5.81
META,Meta,actual,l,468.33,462.75,471.82,471.82,-9.07,-9.07
META,Meta,actual,l,466.56,461.79,472.58,472.58,-10.79,-10.79
META,Meta,actual,l,462.75,467.82,465.09,465.09,2.73,2.73
META,Meta,actual,l,461.79,476.06,465.07,465.07,10.99,10.99
META,Meta,actual,l,467.82,480.89,468.22,468.22,12.67,12.67
META,Meta,actual,l,476.06,482.35,468.28,468.28,14.07,14.07
META,Meta,actual,l,480.89,481.85,484.19,484.19,-2.34,-2.34
META,Meta,actual,l,482.35,480.6,485.91,485.91,-5.31,-5.31
META,Meta,actual,l,481.85,479.69,484.26,484.26,-4.57,-4.57
META,Meta,actual,l,480.6,479.92,485.87,485.87,-5.95,-5.95
META,Meta,actual,l,479.69,481.54,481.33,481.33,0.21,0.21
META,Meta,actual,l,479.92,482.75,482.51,482.51,0.24,0.24
META,Meta,actual,l,481.54,482.23,482.83,482.83,-0.6,-0.6
META,Meta,actual,l,482.75,482.61,483.71,483.71,-1.1,-1.1
META,Meta,actual,l,482.23,486.42,483.77,483.77,2.65,2.65
META,Meta,actual,l,482.61,491.85,484.68,484.68,7.17,7.17
META,Meta,actual,l,486.42,496.08,486.29,486.29,9.79,9.79
META,Meta,actual,l,491.85,496.42,487.14,487.14,9.28,9.28
META,Meta,actual,l,496.08,491.87,492.91,492.91,-1.04,-1.04
META,Meta,actual,l,496.42,487.89,493.8,493.8,-5.91,-5.91
META,Meta,actual,l,491.87,489.59,493.35,493.35,-3.76,-3.76
META,Meta,actual,l,487.89,494.29,494.31,494.31,-0.02,-0.02
META,Meta,actual,l,489.59,498.25,497.44,497.44,0.81,0.81
META,Meta,actual,l,494.29,501.38,498.67,498.67,2.71,2.71
META,Meta,actual,l,498.25,503.37,501.36,501.36,2.01,2.01
META,Meta,actual,l,501.38,499.35,502.67,502.67,-3.32,-3.32
META,Meta,actual,l,503.37,486.64,503.8,503.8,-17.16,-17.16
META,Meta,actual,l,499.35,476,505.15,505.15,-29.15,-29.15
META,Meta,actual,l,486.64,477.46,502.23,502.23,-24.77,-24.77
META,Meta,actual,l,476,484.73,503.5,503.5,-18.77,-18.77
META,Meta,actual,l,477.46,489.41,479.78,479.78,9.63,9.63
META,Meta,actual,l,484.73,491.03,478.05,478.05,12.98,12.98
META,Meta,actual,l,489.41,490.73,481.55,481.55,9.18,9.18
META,Meta,actual,l,491.03,488.16,480.24,480.24,7.92,7.92
META,Meta,actual,l,490.73,483.6,486.13,486.13,-2.53,-2.53
META,Meta,actual,l,488.16,481.3,485.26,485.26,-3.96,-3.96
META,Meta,actual,l,483.6,484.31,485.7,485.7,-1.39,-1.39
META,Meta,actual,l,481.3,486.81,485.47,485.47,1.34,1.34
META,Meta,actual,l,484.31,483.66,484.76,484.76,-1.1,-1.1
META,Meta,actual,l,486.81,481.28,485.44,485.44,-4.16,-4.16
META,Meta,actual,l,483.66,486.37,482.13,482.13,4.24,4.24
META,Meta,actual,l,481.28,495.17,481.53,481.53,13.64,13.64
META,Meta,actual,l,486.37,502.27,487.64,487.64,14.63,14.63
META,Meta,actual,l,495.17,506.01,487.86,487.86,18.15,18.15
META,Meta,actual,l,502.27,506.15,501.82,501.82,4.33,4.33
META,Meta,actual,l,506.01,504.34,504.68,504.68,-0.34,-0.34
META,Meta,actual,l,506.15,502.31,510,510,-7.69,-7.69
META,Meta,actual,l,504.34,500.24,512.68,512.68,-12.44,-12.44
META,Meta,actual,l,502.31,497.94,509.88,509.88,-11.94,-11.94
META,Meta,actual,l,500.24,495.21,511.82,511.82,-16.61,-16.61
META,Meta,actual,l,497.94,491.97,501.71,501.71,-9.74,-9.74
META,Meta,actual,l,495.21,488.07,502.36,502.36,-14.29,-14.29
META,Meta,actual,l,491.97,485.56,490.25,490.25,-4.69,-4.69
META,Meta,actual,l,488.07,485.15,488.87,488.87,-3.72,-3.72
META,Meta,actual,l,485.56,NA,482.33,482.33,NA,NA
META,Meta,actual,l,485.15,NA,480.27,480.27,NA,NA
