symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
META,Meta,actual,m,399.73,386.14,403.35,403.35,-17.21,-17.21
META,Meta,actual,m,392.55,396.77,404.68,404.68,-7.91,-7.91
META,Meta,actual,m,386.14,434.09,394.73,394.73,39.36,39.36
META,Meta,actual,m,396.77,469.49,394.5,394.5,74.99,74.99
META,Meta,actual,m,434.09,475.26,405.19,405.19,70.07,70.07
META,Meta,actual,m,469.49,465.56,406.24,406.24,59.32,59.32
META,Meta,actual,m,475.26,460.23,475.66,475.66,-15.43,-15.43
META,Meta,actual,m,465.56,460.06,484.95,484.95,-24.89,-24.89
META,Meta,actual,m,460.23,461.65,487.94,487.94,-26.29,-26.29
META,Meta,actual,m,460.06,463.85,496.92,496.92,-33.07,-33.07
META,Meta,actual,m,461.65,466.08,483.65,483.65,-17.57,-17.57
META,Meta,actual,m,463.85,467.81,490.32,490.32,-22.51,-22.51
META,Meta,actual,m,466.08,468.89,473.05,473.05,-4.16,-4.16
META,Meta,actual,m,467.81,470.53,476.61,476.61,-6.08,-6.08
META,Meta,actual,m,468.89,473.18,471.82,471.82,1.36,1.36
META,Meta,actual,m,470.53,472.86,472.9,472.9,-0.04,-0.04
META,Meta,actual,m,473.18,466.82,474.12,474.12,-7.3,-7.3
META,Meta,actual,m,472.86,461.49,475.41,475.41,-13.92,-13.92
META,Meta,actual,m,466.82,463.4,469.43,469.43,-6.03,-6.03
META,Meta,actual,m,461.49,470.1,469.98,469.98,0.12,0.12
META,Meta,actual,m,463.4,477.08,466.8,466.8,10.28,10.28
META,Meta,actual,m,470.1,480.42,466.85,466.85,13.57,13.57
META,Meta,actual,m,477.08,477.97,474.27,474.27,3.7,3.7
META,Meta,actual,m,480.42,474.08,475.02,475.02,-0.94,-0.94
META,Meta,actual,m,477.97,472.93,478.05,478.05,-5.12,-5.12
META,Meta,actual,m,474.08,471.37,479.1,479.1,-7.73,-7.73
META,Meta,actual,m,472.93,466.74,477.34,477.34,-10.6,-10.6
META,Meta,actual,m,471.37,465.4,478.68,478.68,-13.28,-13.28
META,Meta,actual,m,466.74,472.96,468.97,468.97,3.99,3.99
META,Meta,actual,m,465.4,483.02,468.42,468.42,14.6,14.6
META,Meta,actual,m,472.96,488.1,472.8,472.8,15.3,15.3
META,Meta,actual,m,483.02,488.35,472.85,472.85,15.5,15.5
META,Meta,actual,m,488.1,485.96,489.46,489.46,-3.5,-3.5
META,Meta,actual,m,488.35,483.37,490.78,490.78,-7.41,-7.41
META,Meta,actual,m,485.96,482.58,488.35,488.35,-5.77,-5.77
META,Meta,actual,m,483.37,483.6,489.73,489.73,-6.13,-6.13
META,Meta,actual,m,482.58,485.64,484.81,484.81,0.83,0.83
META,Meta,actual,m,483.6,486.9,485.74,485.74,1.16,1.16
