symbol,tsys,tsrow,bsc,hadj,ladj,win,lose,plmm,pldol,riskmm,pos
META,M1,1,Buy,-0.25,-0.35,6,0,74.75,3737.5,1.44,1
META,M1,1,Buy,-0.25,-0.3,6,0,72.25,3612.5,1.4,1
META,M1,1,Buy,-0.3,-0.35,6,0,72,3600,1.44,1
META,M1,1,Buy,-0.25,-0.25,6,0,69.75,3487.5,7.44,0
META,M1,1,Buy,-0.35,-0.35,6,0,69.75,3487.5,1.44,1
META,M1,1,Buy,-0.3,-0.3,6,0,69.5,3475,1.4,1
META,M1,1,Buy,-0.4,-0.35,6,0,68.75,3437.5,1.44,1
META,M1,1,Buy,-0.25,-0.5,5,0,68,3400,1.8,1
META,M1,1,Buy,-0.2,-0.35,5,0,67.25,3362.5,1.04,1
META,M1,1,Buy,-0.35,-0.3,6,0,67.25,3362.5,1.4,1
META,M1,1,Buy,-0.3,-0.25,6,0,67,3350,7.44,0
META,M1,1,Buy,-0.25,-0.45,5,0,66.25,3312.5,2.8,1
META,M1,1,Buy,-0.4,-0.3,6,0,66.25,3312.5,1.4,1
META,M1,1,Buy,-0.3,-0.5,5,0,66,3300,1.8,1
META,M1,1,Buy,-0.45,-0.35,6,0,66,3300,1.44,1
META,M1,1,Buy,-0.2,-0.3,5,0,65.25,3262.5,4.44,1
META,M1,1,Buy,-0.25,-0.15,6,0,65,3250,0.56,0
META,M1,1,Buy,-0.25,-0.4,5,0,64.75,3237.5,3.8,1
META,M1,1,Buy,-0.35,-0.25,6,0,64.75,3237.5,7.44,0
META,M1,1,Buy,-0.3,-0.45,5,0,64.25,3212.5,2.8,1
META,M1,1,Buy,-0.35,-0.5,5,0,64.25,3212.5,1.8,1
META,M1,1,Buy,-0.4,-0.5,5,0,64,3200,1.8,1
META,M1,1,Buy,-0.4,-0.25,6,0,63.75,3187.5,7.44,0
META,M1,1,Buy,-0.45,-0.3,6,0,63.5,3175,1.4,1
META,M1,1,Buy,-0.5,-0.35,6,0,63.25,3162.5,1.44,1
META,M1,1,Buy,-0.2,-0.25,5,0,63,3150,7.44,0
META,M1,1,Buy,-0.3,-0.15,5,0,62.75,3137.5,0.56,0
META,M1,1,Buy,-0.3,-0.4,5,0,62.75,3137.5,3.8,1
META,M1,1,Buy,-0.35,-0.45,5,0,62.5,3125,2.8,1
META,M1,1,Buy,-0.4,-0.45,5,0,62.25,3112.5,2.8,1
META,M1,1,Buy,-0.45,-0.5,5,0,62,3100,1.8,1
META,M1,1,Buy,-0.2,0.25,6,0,61,3050,0.76,0
META,M1,1,Buy,-0.35,-0.15,5,1,61,3050,0.56,0
META,M1,1,Buy,-0.35,-0.4,5,0,61,3050,3.8,1
META,M1,1,Buy,-0.45,-0.25,6,0,61,3050,7.44,0
META,M1,1,Buy,-0.4,-0.15,5,1,60.75,3037.5,0.56,0
META,M1,1,Buy,-0.4,-0.4,5,0,60.75,3037.5,3.8,1
META,M1,1,Buy,-0.5,-0.3,6,0,60.75,3037.5,1.4,1
META,M1,1,Buy,-0.25,0.25,6,0,60.25,3012.5,0.76,0
META,M1,1,Buy,-0.45,-0.45,5,0,60.25,3012.5,2.8,1
META,M1,1,Buy,-0.5,-0.5,5,0,59.75,2987.5,1.8,1
META,M1,1,Buy,-0.2,0.3,6,0,59.25,2962.5,2.76,0
META,M1,1,Buy,-0.2,-0.5,4,0,58.75,2937.5,1.8,1
META,M1,1,Buy,-0.45,-0.4,5,0,58.75,2937.5,3.8,1
META,M1,1,Buy,-0.2,0.35,6,0,58.5,2925,3.76,0
META,M1,1,Buy,-0.25,0.3,6,0,58.5,2925,2.76,0
META,M1,1,Buy,-0.45,-0.15,5,1,58.5,2925,0.56,0
META,M1,1,Buy,-0.2,-0.15,5,0,58.25,2912.5,0.56,0
META,M1,1,Buy,-0.5,-0.25,5,1,58.25,2912.5,7.44,0
META,M1,1,Buy,-0.25,-0.2,5,0,58,2900,4.64,0
META,M1,1,Buy,-0.5,-0.45,5,0,58,2900,2.8,1
META,M1,1,Buy,-0.25,0.35,6,0,57.75,2887.5,3.76,0
META,M1,1,Buy,-0.2,-0.45,4,0,57.5,2875,2.8,1
META,M1,1,Buy,-0.2,0.4,6,0,57.25,2862.5,4.68,0
META,M1,1,Buy,-0.25,0.4,5,1,56.5,2825,4.68,0
META,M1,1,Buy,-0.5,-0.4,5,0,56.5,2825,3.8,1
META,M1,1,Buy,-0.2,-0.4,4,0,56.25,2812.5,3.8,1
META,M1,1,Buy,-0.5,-0.15,5,1,56.25,2812.5,0.56,0
META,M1,1,Buy,-0.3,-0.2,5,0,56,2800,4.64,0
META,M1,1,Buy,0.3,-0.15,2,1,54.75,2737.5,0.56,1
META,M1,1,Buy,0.4,-0.35,3,0,54.25,2712.5,1.44,1
META,M1,1,Buy,-0.2,0.2,5,0,54.25,2712.5,2,0
META,M1,1,Buy,-0.35,-0.2,5,0,54.25,2712.5,4.64,0
META,M1,1,Buy,-0.4,-0.2,4,1,54,2700,4.64,0
META,M1,1,Buy,0.3,0.5,3,0,53.5,2675,1.68,1
META,M1,1,Buy,0.25,-0.15,2,1,53.5,2675,0.56,1
META,M1,1,Buy,0.3,0.45,3,0,53.25,2662.5,2.68,1
META,M1,1,Buy,0.25,0.5,3,0,53.25,2662.5,1.68,1
META,M1,1,Buy,0.4,-0.3,3,0,53,2650,4.44,1
META,M1,1,Buy,0.35,-0.35,3,0,53,2650,1.44,1
META,M1,1,Buy,0.25,0.45,3,0,53,2650,2.68,1
META,M1,1,Buy,0.2,0.5,3,0,53,2650,1.68,1
META,M1,1,Buy,0.45,0.05,4,0,52.75,2637.5,2.84,1
META,M1,1,Buy,0.3,0.4,3,0,52.75,2637.5,4.68,1
META,M1,1,Buy,0.2,0.45,3,0,52.75,2637.5,2.68,1
