symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
MMM,M1,-0.15,-0.1,Buy,24-02-01,1,Buy,Stop,Entry,1,94.25,TRUE,1,1.24
MMM,M1,-0.15,-0.1,Buy,24-02-01,1,Sell,Stop,Target,0,96,TRUE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-01,1,Sell,Stop,PSI,1,93.94,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-02,-1,Buy,Stop,Entry,0,94,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-05,-1,Buy,Stop,Entry,0,94,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-06,1,Buy,Stop,Entry,1,93,TRUE,1,2.4
MMM,M1,-0.15,-0.1,Buy,24-02-06,1,Sell,Stop,Target,1,94.25,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-06,1,Sell,Stop,PSI,1,92.4,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-07,-1,Sell,Stop,Target,0,94,TRUE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-07,-1,Sell,Stop,PSA,1,93,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-08,-1,Buy,Stop,Entry,1,93,TRUE,1,1.16
MMM,M1,-0.15,-0.1,Buy,24-02-08,-1,Sell,Stop,Target,0,94.25,TRUE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-08,-1,Sell,Stop,PSI,1,92.71,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-09,-1,Buy,Stop,Entry,0,93,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-12,1,Buy,Stop,Entry,0,93,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-13,-1,Buy,Stop,Entry,1,92.5,TRUE,1,4.44
MMM,M1,-0.15,-0.1,Buy,24-02-13,-1,Sell,Stop,Target,1,94.75,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-13,-1,Sell,Stop,PSI,1,91.39,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-14,-1,Sell,Stop,Target,1,94.5,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-14,-1,Sell,Stop,PSA,1,92.5,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-15,1,Sell,Stop,Target,1,93.75,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-15,1,Sell,Stop,PSA,1,92.5,FALSE,1,NA
MMM,M1,-0.15,-0.1,Buy,24-02-16,-1,Sell,Stop,Target,1,92.75,FALSE,1,NA
