symbol,group,dt,pproc,method,etime,mean,sd,zscore
MMM,actual,h,none,mstl1,5.5854,-0.0306,1.6524,1.0027
MMM,actual,h,none,mstl2,17.5789,-0.0308,1.6522,1.0038
MMM,actual,h,none,mstl3,8.9128,-0.0278,1.6521,1.0015
MMM,actual,h,none,zlma1,10.0624,0.0394,1.2136,0.9914
MMM,actual,h,none,zlma2,19.2067,0.0395,1.2078,0.9904
MMM,actual,h,none,zlma3,19.1669,0.043,1.2052,0.996
MMM,actual,l,none,mstl1,5.646,-0.0437,1.425,1.095
MMM,actual,l,none,mstl2,17.69,-0.0436,1.4242,1.0932
MMM,actual,l,none,mstl3,12.5217,-0.0445,1.4227,1.0934
MMM,actual,l,none,zlma1,12.987,0.0411,1.0426,1.0591
MMM,actual,l,none,zlma2,22.0131,0.0451,1.0477,1.0605
MMM,actual,l,none,zlma3,19.7498,0.036,1.0357,1.0619
MMM,actual,c,none,mstl1,5.4843,0.046,1.8238,1.0165
MMM,actual,c,none,mstl2,17.2638,0.0464,1.8213,1.0169
MMM,actual,c,none,mstl3,11.5889,0.0461,1.8236,1.0183
MMM,actual,c,none,zlma1,12.2333,0.0481,1.2768,1.0503
MMM,actual,c,none,zlma2,21.2987,0.053,1.2611,1.0544
MMM,actual,c,none,zlma3,17.6081,0.0522,1.2628,1.0466
MMM,actual,m,none,mstl1,5.633,-0.0304,1.4191,1.0397
MMM,actual,m,none,mstl2,17.46,-0.0293,1.4194,1.0394
MMM,actual,m,none,mstl3,10.4302,-0.0286,1.4169,1.0388
MMM,actual,m,none,zlma1,11.3165,0.037,1.0317,1.0264
MMM,actual,m,none,zlma2,20.5924,0.0412,1.029,1.0276
MMM,actual,m,none,zlma3,18.2194,0.046,1.0206,1.0368
