symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
MMM,3M Co,actual,c,94.8,95.05,95.2,95.2,-0.15,-0.15
MMM,3M Co,actual,c,94.35,95.91,94.98,94.98,0.93,0.93
MMM,3M Co,actual,c,95.05,95.82,95.07,95.07,0.75,0.75
MMM,3M Co,actual,c,95.91,94.87,95.03,95.03,-0.16,-0.16
MMM,3M Co,actual,c,95.82,93.55,94.94,94.94,-1.39,-1.39
MMM,3M Co,actual,c,94.87,92.73,94.81,94.81,-2.08,-2.08
MMM,3M Co,actual,c,93.55,93.05,93.58,93.58,-0.53,-0.53
MMM,3M Co,actual,c,92.73,93.76,93.35,93.35,0.41,0.41
MMM,3M Co,actual,c,93.05,93.99,92.94,92.94,1.05,1.05
MMM,3M Co,actual,c,93.76,93.84,92.68,92.68,1.16,1.16
MMM,3M Co,actual,c,93.99,93.58,93.04,93.04,0.54,0.54
MMM,3M Co,actual,c,93.84,93.2,92.89,92.89,0.31,0.31
MMM,3M Co,actual,c,93.58,92.77,93.13,93.13,-0.36,-0.36
MMM,3M Co,actual,c,93.2,92.9,92.99,92.99,-0.09,-0.09
MMM,3M Co,actual,c,92.77,93.94,92.93,92.93,1.01,1.01
MMM,3M Co,actual,c,92.9,94.63,92.83,92.83,1.8,1.8
MMM,3M Co,actual,c,93.94,93.86,93.7,93.7,0.16,0.16
MMM,3M Co,actual,c,94.63,92.66,93.7,93.7,-1.04,-1.04
MMM,3M Co,actual,c,93.86,92.26,92.6,92.6,-0.34,-0.34
MMM,3M Co,actual,c,92.66,92.42,92.55,92.55,-0.13,-0.13
MMM,3M Co,actual,c,92.26,92.57,92.83,92.83,-0.26,-0.26
MMM,3M Co,actual,c,92.42,92.38,92.82,92.82,-0.44,-0.44
MMM,3M Co,actual,c,92.57,91.74,92.4,92.4,-0.66,-0.66
MMM,3M Co,actual,c,92.38,91.25,92.27,92.27,-1.02,-1.02
MMM,3M Co,actual,c,91.74,91.45,91.69,91.69,-0.24,-0.24
MMM,3M Co,actual,c,91.25,91.82,91.54,91.54,0.28,0.28
MMM,3M Co,actual,c,91.45,91.82,91.36,91.36,0.46,0.46
MMM,3M Co,actual,c,91.82,91.71,91.21,91.21,0.5,0.5
MMM,3M Co,actual,c,91.82,91.87,91.09,91.09,0.78,0.78
MMM,3M Co,actual,c,91.71,92.23,90.94,90.94,1.29,1.29
MMM,3M Co,actual,c,91.87,92.56,91.19,91.19,1.37,1.37
MMM,3M Co,actual,c,92.23,92.58,91.06,91.06,1.52,1.52
MMM,3M Co,actual,c,92.56,92.14,92.51,92.51,-0.37,-0.37
MMM,3M Co,actual,c,92.58,91.82,92.57,92.57,-0.75,-0.75
MMM,3M Co,actual,c,92.14,92.08,92.34,92.34,-0.26,-0.26
MMM,3M Co,actual,c,91.82,92.3,92.35,92.35,-0.05,-0.05
MMM,3M Co,actual,c,92.08,91.88,92.3,92.3,-0.42,-0.42
MMM,3M Co,actual,c,92.3,91.46,92.35,92.35,-0.89,-0.89
MMM,3M Co,actual,c,91.88,91.69,91.8,91.8,-0.11,-0.11
MMM,3M Co,actual,c,91.46,92.12,91.8,91.8,0.32,0.32
MMM,3M Co,actual,c,91.69,92.16,91.73,91.73,0.43,0.43
MMM,3M Co,actual,c,92.12,91.86,91.79,91.79,0.07,0.07
MMM,3M Co,actual,c,92.16,91.47,91.85,91.85,-0.38,-0.38
MMM,3M Co,actual,c,91.86,91.44,91.81,91.81,-0.37,-0.37
MMM,3M Co,actual,c,91.47,92.05,91.55,91.55,0.5,0.5
MMM,3M Co,actual,c,91.44,92.69,91.5,91.5,1.19,1.19
MMM,3M Co,actual,c,92.05,92.77,92.1,92.1,0.67,0.67
MMM,3M Co,actual,c,92.69,92.52,92.09,92.09,0.43,0.43
MMM,3M Co,actual,c,92.77,92.37,92.58,92.58,-0.21,-0.21
MMM,3M Co,actual,c,92.52,92.62,92.65,92.65,-0.03,-0.03
MMM,3M Co,actual,c,92.37,93.35,92.83,92.83,0.52,0.52
MMM,3M Co,actual,c,92.62,93.9,92.98,92.98,0.92,0.92
MMM,3M Co,actual,c,93.35,93.78,93.63,93.63,0.15,0.15
MMM,3M Co,actual,c,93.9,94.05,93.82,93.82,0.23,0.23
MMM,3M Co,actual,c,93.78,95.79,94.15,94.15,1.64,1.64
MMM,3M Co,actual,c,94.05,98.72,94.31,94.31,4.41,4.41
MMM,3M Co,actual,c,95.79,102.02,96.96,96.96,5.06,5.06
MMM,3M Co,actual,c,98.72,104.07,97.43,97.43,6.64,6.64
MMM,3M Co,actual,c,102.02,103.81,102.83,102.83,0.98,0.98
MMM,3M Co,actual,c,104.07,103.12,104.09,104.09,-0.97,-0.97
MMM,3M Co,actual,c,103.81,103.87,106.06,106.06,-2.19,-2.19
MMM,3M Co,actual,c,103.12,105,107.42,107.42,-2.42,-2.42
MMM,3M Co,actual,c,103.87,105.17,107.5,107.5,-2.33,-2.33
MMM,3M Co,actual,c,105,104.8,108.73,108.73,-3.93,-3.93
MMM,3M Co,actual,c,105.17,104.69,107.16,107.16,-2.47,-2.47
MMM,3M Co,actual,c,104.8,105.32,108.05,108.05,-2.73,-2.73
MMM,3M Co,actual,c,104.69,106.8,106.13,106.13,0.67,0.67
MMM,3M Co,actual,c,105.32,108.11,106.46,106.46,1.65,1.65
MMM,3M Co,actual,c,106.8,108.32,107.56,107.56,0.76,0.76
MMM,3M Co,actual,c,108.11,107.87,108.08,108.08,-0.21,-0.21
MMM,3M Co,actual,c,108.32,107.38,108.65,108.65,-1.27,-1.27
MMM,3M Co,actual,c,107.87,106.78,109.04,109.04,-2.26,-2.26
MMM,3M Co,actual,c,107.38,105.91,108.52,108.52,-2.61,-2.61
MMM,3M Co,actual,c,106.78,104.84,108.91,108.91,-4.07,-4.07
MMM,3M Co,actual,c,105.91,103.7,106.52,106.52,-2.82,-2.82
MMM,3M Co,actual,c,104.84,102.63,106.59,106.59,-3.96,-3.96
MMM,3M Co,actual,c,103.7,102.75,103.33,103.33,-0.58,-0.58
MMM,3M Co,actual,c,102.63,104.59,102.89,102.89,1.7,1.7
MMM,3M Co,actual,c,102.75,105.85,102.25,102.25,3.6,3.6
MMM,3M Co,actual,c,104.59,106.07,101.7,101.7,4.37,4.37
MMM,3M Co,actual,c,105.85,NA,104.16,104.16,NA,NA
MMM,3M Co,actual,c,106.07,NA,103.96,103.96,NA,NA
