symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
MMM,3M Co,actual,h,96.17,95.97,96.1,96.1,-0.13,-0.13
MMM,3M Co,actual,h,95.94,96.02,95.89,95.89,0.13,0.13
MMM,3M Co,actual,h,95.97,95.83,95.73,95.73,0.1,0.1
MMM,3M Co,actual,h,96.02,95.4,95.76,95.76,-0.36,-0.36
MMM,3M Co,actual,h,95.83,94.82,95.29,95.29,-0.47,-0.47
MMM,3M Co,actual,h,95.4,94.25,95.21,95.21,-0.96,-0.96
MMM,3M Co,actual,h,94.82,93.87,94.38,94.38,-0.51,-0.51
MMM,3M Co,actual,h,94.25,93.85,93.94,93.94,-0.09,-0.09
MMM,3M Co,actual,h,93.87,94.26,93.59,93.59,0.67,0.67
MMM,3M Co,actual,h,93.85,94.71,93.5,93.5,1.21,1.21
MMM,3M Co,actual,h,94.26,94.8,93.85,93.85,0.95,0.95
MMM,3M Co,actual,h,94.71,94.38,93.89,93.89,0.49,0.49
MMM,3M Co,actual,h,94.8,93.58,94.17,94.17,-0.59,-0.59
MMM,3M Co,actual,h,94.38,93.3,94.02,94.02,-0.72,-0.72
MMM,3M Co,actual,h,93.58,94.18,94.1,94.1,0.08,0.08
MMM,3M Co,actual,h,93.3,95.06,94.34,94.34,0.72,0.72
MMM,3M Co,actual,h,94.18,94.79,94.25,94.25,0.54,0.54
MMM,3M Co,actual,h,95.06,93.99,94.26,94.26,-0.27,-0.27
MMM,3M Co,actual,h,94.79,93.5,94.1,94.1,-0.6,-0.6
MMM,3M Co,actual,h,93.99,93.24,94.24,94.24,-1,-1
MMM,3M Co,actual,h,93.5,92.94,93.75,93.75,-0.81,-0.81
MMM,3M Co,actual,h,93.24,92.56,93.15,93.15,-0.59,-0.59
MMM,3M Co,actual,h,92.94,92.19,92.27,92.27,-0.08,-0.08
MMM,3M Co,actual,h,92.56,92.05,91.91,91.91,0.14,0.14
MMM,3M Co,actual,h,92.19,92.29,91.69,91.69,0.6,0.6
MMM,3M Co,actual,h,92.05,92.49,91.53,91.53,0.96,0.96
MMM,3M Co,actual,h,92.29,92.26,91.93,91.93,0.33,0.33
MMM,3M Co,actual,h,92.49,91.97,91.88,91.88,0.09,0.09
MMM,3M Co,actual,h,92.26,92.07,91.93,91.93,0.14,0.14
MMM,3M Co,actual,h,91.97,92.42,91.99,91.99,0.43,0.43
MMM,3M Co,actual,h,92.07,92.78,92.35,92.35,0.43,0.43
MMM,3M Co,actual,h,92.42,92.94,92.44,92.44,0.5,0.5
MMM,3M Co,actual,h,92.78,92.78,92.66,92.66,0.12,0.12
MMM,3M Co,actual,h,92.94,92.5,92.82,92.82,-0.32,-0.32
MMM,3M Co,actual,h,92.78,92.33,92.81,92.81,-0.48,-0.48
MMM,3M Co,actual,h,92.5,92.35,92.77,92.77,-0.42,-0.42
MMM,3M Co,actual,h,92.33,92.52,92.61,92.61,-0.09,-0.09
MMM,3M Co,actual,h,92.35,92.63,92.58,92.58,0.05,0.05
MMM,3M Co,actual,h,92.52,92.5,92.37,92.37,0.13,0.13
MMM,3M Co,actual,h,92.63,92.29,92.31,92.31,-0.02,-0.02
MMM,3M Co,actual,h,92.5,92.18,92.32,92.32,-0.14,-0.14
MMM,3M Co,actual,h,92.29,92.04,92.36,92.36,-0.32,-0.32
MMM,3M Co,actual,h,92.18,91.79,92.11,92.11,-0.32,-0.32
MMM,3M Co,actual,h,92.04,91.85,91.94,91.94,-0.09,-0.09
MMM,3M Co,actual,h,91.79,92.55,91.9,91.9,0.65,0.65
MMM,3M Co,actual,h,91.85,93.39,92.13,92.13,1.26,1.26
MMM,3M Co,actual,h,92.55,93.79,92.81,92.81,0.98,0.98
MMM,3M Co,actual,h,93.39,93.69,93.28,93.28,0.41,0.41
MMM,3M Co,actual,h,93.79,93.29,93.68,93.68,-0.39,-0.39
MMM,3M Co,actual,h,93.69,93.3,93.91,93.91,-0.61,-0.61
MMM,3M Co,actual,h,93.29,94.16,94.24,94.24,-0.08,-0.08
MMM,3M Co,actual,h,93.3,94.74,94.54,94.54,0.2,0.2
MMM,3M Co,actual,h,94.16,94.2,94.39,94.39,-0.19,-0.19
MMM,3M Co,actual,h,94.74,94.46,94.06,94.06,0.4,0.4
MMM,3M Co,actual,h,94.2,97.27,94.94,94.94,2.33,2.33
MMM,3M Co,actual,h,94.46,100.85,95.56,95.56,5.29,5.29
MMM,3M Co,actual,h,97.27,103.11,99.59,99.59,3.52,3.52
MMM,3M Co,actual,h,100.85,104.09,100.6,100.6,3.49,3.49
MMM,3M Co,actual,h,103.11,104.38,104.38,104.38,0,0
MMM,3M Co,actual,h,104.09,104.54,106.28,106.28,-1.74,-1.74
MMM,3M Co,actual,h,104.38,104.97,107.48,107.48,-2.51,-2.51
MMM,3M Co,actual,h,104.54,105.54,107.62,107.62,-2.08,-2.08
MMM,3M Co,actual,h,104.97,106,107.45,107.45,-1.45,-1.45
MMM,3M Co,actual,h,105.54,106.29,107.42,107.42,-1.13,-1.13
MMM,3M Co,actual,h,106,106.49,106.86,106.86,-0.37,-0.37
MMM,3M Co,actual,h,106.29,107,106.92,106.92,0.08,0.08
MMM,3M Co,actual,h,106.49,108.08,107.71,107.71,0.37,0.37
MMM,3M Co,actual,h,107,109.1,108.64,108.64,0.46,0.46
MMM,3M Co,actual,h,108.08,109.42,109.07,109.07,0.35,0.35
MMM,3M Co,actual,h,109.1,109.19,109.58,109.58,-0.39,-0.39
MMM,3M Co,actual,h,109.42,108.7,109.81,109.81,-1.11,-1.11
MMM,3M Co,actual,h,109.19,108.12,109.88,109.88,-1.76,-1.76
MMM,3M Co,actual,h,108.7,107.51,109.3,109.3,-1.79,-1.79
MMM,3M Co,actual,h,108.12,106.81,108.79,108.79,-1.98,-1.98
MMM,3M Co,actual,h,107.51,105.9,107.17,107.17,-1.27,-1.27
MMM,3M Co,actual,h,106.81,104.67,106.4,106.4,-1.73,-1.73
MMM,3M Co,actual,h,105.9,104.18,104.46,104.46,-0.28,-0.28
MMM,3M Co,actual,h,104.67,104.76,103.48,103.48,1.28,1.28
MMM,3M Co,actual,h,104.18,105.47,103.94,103.94,1.53,1.53
MMM,3M Co,actual,h,104.76,106.26,104.27,104.27,1.99,1.99
MMM,3M Co,actual,h,105.47,NA,104.9,104.9,NA,NA
MMM,3M Co,actual,h,106.26,NA,105.63,105.63,NA,NA
