symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
MMM,3M Co,actual,l,94.47,93.92,94.42,94.42,-0.5,-0.5
MMM,3M Co,actual,l,94.16,93.94,94.34,94.34,-0.4,-0.4
MMM,3M Co,actual,l,93.92,94.26,93.7,93.7,0.56,0.56
MMM,3M Co,actual,l,93.94,94.29,93.85,93.85,0.44,0.44
MMM,3M Co,actual,l,94.26,93.52,93.77,93.77,-0.25,-0.25
MMM,3M Co,actual,l,94.29,92.58,93.87,93.87,-1.29,-1.29
MMM,3M Co,actual,l,93.52,92.18,93,93,-0.82,-0.82
MMM,3M Co,actual,l,92.58,92.4,92.89,92.89,-0.49,-0.49
MMM,3M Co,actual,l,92.18,93.04,92.33,92.33,0.71,0.71
MMM,3M Co,actual,l,92.4,93.5,92.1,92.1,1.4,1.4
MMM,3M Co,actual,l,93.04,93.27,92.48,92.48,0.79,0.79
MMM,3M Co,actual,l,93.5,92.71,92.71,92.71,0,0
MMM,3M Co,actual,l,93.27,92.32,92.82,92.82,-0.5,-0.5
MMM,3M Co,actual,l,92.71,92.39,92.9,92.9,-0.51,-0.51
MMM,3M Co,actual,l,92.32,92.91,92.88,92.88,0.03,0.03
MMM,3M Co,actual,l,92.39,93.05,92.89,92.89,0.16,0.16
MMM,3M Co,actual,l,92.91,92.18,92.44,92.44,-0.26,-0.26
MMM,3M Co,actual,l,93.05,91.39,92.14,92.14,-0.75,-0.75
MMM,3M Co,actual,l,92.18,91.71,91.85,91.85,-0.14,-0.14
MMM,3M Co,actual,l,91.39,92.17,91.86,91.86,0.31,0.31
MMM,3M Co,actual,l,91.71,91.74,91.68,91.68,0.06,0.06
MMM,3M Co,actual,l,92.17,91.11,91.02,91.02,0.09,0.09
MMM,3M Co,actual,l,91.74,91.1,90.96,90.96,0.14,0.14
MMM,3M Co,actual,l,91.11,91.21,90.92,90.92,0.29,0.29
MMM,3M Co,actual,l,91.1,90.86,91.04,91.04,-0.18,-0.18
MMM,3M Co,actual,l,91.21,90.52,90.67,90.67,-0.15,-0.15
MMM,3M Co,actual,l,90.86,90.68,90.49,90.49,0.19,0.19
MMM,3M Co,actual,l,90.52,90.98,90.66,90.66,0.32,0.32
MMM,3M Co,actual,l,90.68,91.04,90.61,90.61,0.43,0.43
MMM,3M Co,actual,l,90.98,91.14,90.52,90.52,0.62,0.62
MMM,3M Co,actual,l,91.04,91.57,90.94,90.94,0.63,0.63
MMM,3M Co,actual,l,91.14,91.91,91.13,91.13,0.78,0.78
MMM,3M Co,actual,l,91.57,91.75,91.8,91.8,-0.05,-0.05
MMM,3M Co,actual,l,91.91,91.44,91.88,91.88,-0.44,-0.44
MMM,3M Co,actual,l,91.75,91.4,91.84,91.84,-0.44,-0.44
MMM,3M Co,actual,l,91.44,91.48,91.9,91.9,-0.42,-0.42
MMM,3M Co,actual,l,91.4,91.47,91.67,91.67,-0.2,-0.2
MMM,3M Co,actual,l,91.48,91.42,91.44,91.44,-0.02,-0.02
MMM,3M Co,actual,l,91.47,91.41,91.36,91.36,0.05,0.05
MMM,3M Co,actual,l,91.42,91.36,91.38,91.38,-0.02,-0.02
MMM,3M Co,actual,l,91.41,91.19,91.31,91.31,-0.12,-0.12
MMM,3M Co,actual,l,91.36,90.89,91.25,91.25,-0.36,-0.36
MMM,3M Co,actual,l,91.19,90.54,90.93,90.93,-0.39,-0.39
MMM,3M Co,actual,l,90.89,90.48,90.71,90.71,-0.23,-0.23
MMM,3M Co,actual,l,90.54,90.96,90.59,90.59,0.37,0.37
MMM,3M Co,actual,l,90.48,91.57,90.63,90.63,0.94,0.94
MMM,3M Co,actual,l,90.96,91.88,91.01,91.01,0.87,0.87
MMM,3M Co,actual,l,91.57,91.93,91.23,91.23,0.7,0.7
MMM,3M Co,actual,l,91.88,91.9,91.79,91.79,0.11,0.11
MMM,3M Co,actual,l,91.93,92.11,92.08,92.08,0.03,0.03
MMM,3M Co,actual,l,91.9,92.72,92.59,92.59,0.13,0.13
MMM,3M Co,actual,l,92.11,93.18,92.77,92.77,0.41,0.41
MMM,3M Co,actual,l,92.72,93.09,93.11,93.11,-0.02,-0.02
MMM,3M Co,actual,l,93.18,93.46,93.14,93.14,0.32,0.32
MMM,3M Co,actual,l,93.09,95.18,93.84,93.84,1.34,1.34
MMM,3M Co,actual,l,93.46,97.15,94.31,94.31,2.84,2.84
MMM,3M Co,actual,l,95.18,98.24,96.6,96.6,1.64,1.64
MMM,3M Co,actual,l,97.15,99.2,97.22,97.22,1.98,1.98
MMM,3M Co,actual,l,98.24,100.81,99.77,99.77,1.04,1.04
MMM,3M Co,actual,l,99.2,102.24,101.32,101.32,0.92,0.92
