symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
MMM,3M Co,actual,m,95.32,94.94,95.26,95.26,-0.32,-0.32
MMM,3M Co,actual,m,95.05,94.98,95.13,95.13,-0.15,-0.15
MMM,3M Co,actual,m,94.94,95.05,94.73,94.73,0.32,0.32
MMM,3M Co,actual,m,94.98,94.85,94.83,94.83,0.02,0.02
MMM,3M Co,actual,m,95.05,94.17,94.55,94.55,-0.38,-0.38
MMM,3M Co,actual,m,94.85,93.42,94.56,94.56,-1.14,-1.14
MMM,3M Co,actual,m,94.17,93.02,93.65,93.65,-0.63,-0.63
MMM,3M Co,actual,m,93.42,93.12,93.24,93.24,-0.12,-0.12
MMM,3M Co,actual,m,93.02,93.65,92.95,92.95,0.7,0.7
MMM,3M Co,actual,m,93.12,94.1,92.77,92.77,1.33,1.33
MMM,3M Co,actual,m,93.65,94.03,93.16,93.16,0.87,0.87
MMM,3M Co,actual,m,94.1,93.54,93.35,93.35,0.19,0.19
MMM,3M Co,actual,m,94.03,92.95,93.48,93.48,-0.53,-0.53
MMM,3M Co,actual,m,93.54,92.85,93.41,93.41,-0.56,-0.56
MMM,3M Co,actual,m,92.95,93.55,93.46,93.46,0.09,0.09
MMM,3M Co,actual,m,92.85,94.06,93.54,93.54,0.52,0.52
MMM,3M Co,actual,m,93.55,93.48,93.36,93.36,0.12,0.12
MMM,3M Co,actual,m,94.06,92.69,93.2,93.2,-0.51,-0.51
MMM,3M Co,actual,m,93.48,92.61,93.01,93.01,-0.4,-0.4
MMM,3M Co,actual,m,92.69,92.7,93.14,93.14,-0.44,-0.44
MMM,3M Co,actual,m,92.61,92.34,92.73,92.73,-0.39,-0.39
MMM,3M Co,actual,m,92.7,91.83,92.17,92.17,-0.34,-0.34
MMM,3M Co,actual,m,92.34,91.64,91.59,91.59,0.05,0.05
MMM,3M Co,actual,m,91.83,91.63,91.31,91.31,0.32,0.32
MMM,3M Co,actual,m,91.64,91.58,91.36,91.36,0.22,0.22
MMM,3M Co,actual,m,91.63,91.5,91.14,91.14,0.36,0.36
MMM,3M Co,actual,m,91.58,91.47,91.19,91.19,0.28,0.28
MMM,3M Co,actual,m,91.5,91.48,91.25,91.25,0.23,0.23
MMM,3M Co,actual,m,91.47,91.55,91.3,91.3,0.25,0.25
MMM,3M Co,actual,m,91.48,91.78,91.37,91.37,0.41,0.41
MMM,3M Co,actual,m,91.55,92.18,91.67,91.67,0.51,0.51
MMM,3M Co,actual,m,91.78,92.43,91.86,91.86,0.57,0.57
MMM,3M Co,actual,m,92.18,92.26,92.24,92.24,0.02,0.02
MMM,3M Co,actual,m,92.43,91.97,92.38,92.38,-0.41,-0.41
MMM,3M Co,actual,m,92.26,91.87,92.33,92.33,-0.46,-0.46
MMM,3M Co,actual,m,91.97,91.92,92.4,92.4,-0.48,-0.48
MMM,3M Co,actual,m,91.87,92,92.16,92.16,-0.16,-0.16
MMM,3M Co,actual,m,91.92,92.02,92.03,92.03,-0.01,-0.01
MMM,3M Co,actual,m,92,91.95,91.86,91.86,0.09,0.09
MMM,3M Co,actual,m,92.02,91.83,91.79,91.79,0.04,0.04
MMM,3M Co,actual,m,91.95,91.68,91.82,91.82,-0.14,-0.14
MMM,3M Co,actual,m,91.83,91.47,91.81,91.81,-0.34,-0.34
MMM,3M Co,actual,m,91.68,91.17,91.51,91.51,-0.34,-0.34
MMM,3M Co,actual,m,91.47,91.17,91.28,91.28,-0.11,-0.11
MMM,3M Co,actual,m,91.17,91.75,91.25,91.25,0.5,0.5
MMM,3M Co,actual,m,91.17,92.48,91.35,91.35,1.13,1.13
MMM,3M Co,actual,m,91.75,92.84,91.91,91.91,0.93,0.93
MMM,3M Co,actual,m,92.48,92.81,92.16,92.16,0.65,0.65
MMM,3M Co,actual,m,92.84,92.6,92.76,92.76,-0.16,-0.16
MMM,3M Co,actual,m,92.81,92.71,93.11,93.11,-0.4,-0.4
MMM,3M Co,actual,m,92.6,93.44,93.42,93.42,0.02,0.02
MMM,3M Co,actual,m,92.71,93.96,93.69,93.69,0.27,0.27
MMM,3M Co,actual,m,93.44,93.64,93.77,93.77,-0.13,-0.13
MMM,3M Co,actual,m,93.96,93.96,93.72,93.72,0.24,0.24
MMM,3M Co,actual,m,93.64,96.22,94.39,94.39,1.83,1.83
MMM,3M Co,actual,m,93.96,99,94.97,94.97,4.03,4.03
MMM,3M Co,actual,m,96.22,100.68,98.16,98.16,2.52,2.52
MMM,3M Co,actual,m,99,101.64,99.19,99.19,2.45,2.45
MMM,3M Co,actual,m,100.68,102.6,102.09,102.09,0.51,0.51
MMM,3M Co,actual,m,101.64,103.39,103.83,103.83,-0.44,-0.44
MMM,3M Co,actual,m,102.6,103.8,105.31,105.31,-1.51,-1.51
MMM,3M Co,actual,m,103.39,104.16,105.65,105.65,-1.49,-1.49
MMM,3M Co,actual,m,103.8,104.77,106,106,-1.23,-1.23
MMM,3M Co,actual,m,104.16,105.35,106.31,106.31,-0.96,-0.96
MMM,3M Co,actual,m,104.77,105.63,106.14,106.14,-0.51,-0.51
MMM,3M Co,actual,m,105.35,105.78,106.08,106.08,-0.3,-0.3
MMM,3M Co,actual,m,105.63,106.09,106.56,106.56,-0.47,-0.47
MMM,3M Co,actual,m,105.78,106.77,107.13,107.13,-0.36,-0.36
MMM,3M Co,actual,m,106.09,107.8,107.26,107.26,0.54,0.54
MMM,3M Co,actual,m,106.77,108.49,107.66,107.66,0.83,0.83
MMM,3M Co,actual,m,107.8,108.23,108.44,108.44,-0.21,-0.21
MMM,3M Co,actual,m,108.49,107.44,108.79,108.79,-1.35,-1.35
MMM,3M Co,actual,m,108.23,106.62,108.39,108.39,-1.77,-1.77
MMM,3M Co,actual,m,107.44,105.79,108.2,108.2,-2.41,-2.41
MMM,3M Co,actual,m,106.62,104.81,106.76,106.76,-1.95,-1.95
MMM,3M Co,actual,m,105.79,103.53,105.84,105.84,-2.31,-2.31
MMM,3M Co,actual,m,104.81,103.11,103.46,103.46,-0.35,-0.35
MMM,3M Co,actual,m,103.53,103.88,102.25,102.25,1.63,1.63
MMM,3M Co,actual,m,103.11,104.68,102.89,102.89,1.79,1.79
MMM,3M Co,actual,m,103.88,105.42,103.17,103.17,2.25,2.25
MMM,3M Co,actual,m,104.68,NA,104.05,104.05,NA,NA
MMM,3M Co,actual,m,105.42,NA,104.9,104.9,NA,NA
