symbol,tsys,tsrow,bsc,hadj,ladj,win,lose,plmm,pldol,riskmm,pos
MMM,M1,1,Buy,-0.15,-0.1,6,1,22.5,1125,0.08,0
MMM,M1,1,Buy,-0.2,-0.05,7,0,22.5,1125,0.16,0
MMM,M1,1,Buy,-0.15,-0.05,7,0,22,1100,0.16,0
MMM,M1,1,Buy,-0.2,-0.1,6,0,20.25,1012.5,0.24,0
MMM,M1,1,Buy,-0.15,-0.15,6,1,19.5,975,0.8,0
MMM,M1,1,Buy,-0.15,-0.2,6,0,19.25,962.5,0.28,0
MMM,M1,1,Buy,-0.15,-0.25,6,0,18,900,1.28,0
MMM,M1,1,Buy,-0.2,-0.2,5,0,17.75,887.5,0.28,0
MMM,M1,1,Buy,-0.25,-0.05,6,0,17.75,887.5,0.16,0
MMM,M1,1,Buy,-0.2,-0.3,6,0,17.5,875,0.4,0
MMM,M1,1,Buy,-0.2,-0.15,5,0,16.75,837.5,1.16,0
MMM,M1,1,Buy,-0.2,-0.25,5,0,16.75,837.5,1.28,0
MMM,M1,1,Buy,-0.15,-0.3,5,0,16.5,825,0.4,1
MMM,M1,1,Buy,-0.25,-0.1,5,0,16,800,0.24,0
MMM,M1,1,Buy,0.05,-0.15,4,2,15.75,787.5,0.16,0
MMM,M1,1,Buy,0.05,-0.2,4,2,15.5,775,0.16,0
MMM,M1,1,Buy,0.3,-0.15,4,0,15.25,762.5,0.16,0
MMM,M1,1,Buy,-0.25,-0.2,3,0,15.25,762.5,0.28,0
MMM,M1,1,Buy,0,-0.15,5,2,15,750,0.16,0
MMM,M1,1,Buy,-0.05,-0.15,4,2,15,750,0.16,0
MMM,M1,1,Buy,-0.25,-0.3,4,1,15,750,0.4,0
MMM,M1,1,Buy,0.05,-0.25,4,2,14.75,737.5,0.72,0
MMM,M1,1,Buy,0,-0.2,5,2,14.75,737.5,0.16,0
MMM,M1,1,Buy,0.3,-0.2,3,0,14.5,725,0.28,0
MMM,M1,1,Buy,-0.25,-0.25,3,0,14.5,725,1.28,0
MMM,M1,1,Buy,-0.05,-0.2,4,2,14.25,712.5,0.16,0
MMM,M1,1,Buy,-0.15,-0.35,4,1,14.25,712.5,0.84,0
MMM,M1,1,Buy,-0.25,-0.15,3,0,14.25,712.5,1.16,0
MMM,M1,1,Buy,0.3,-0.25,3,1,13.75,687.5,1.28,0
MMM,M1,1,Buy,0.05,-0.3,4,2,13.75,687.5,0.4,1
MMM,M1,1,Buy,0,-0.25,4,2,13.75,687.5,0.72,0
MMM,M1,1,Buy,-0.15,-0.4,4,1,13.5,675,0.84,0
MMM,M1,1,Buy,-0.2,-0.35,4,1,13.5,675,0.84,0
MMM,M1,1,Buy,-0.1,-0.05,7,1,13.25,662.5,0.56,0
MMM,M1,1,Buy,0.3,-0.3,3,1,13,650,1.28,0
MMM,M1,1,Buy,0.25,-0.2,3,1,13,650,0.28,0
