symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
NVDA,M1,0.15,0.05,Buy,24-02-01,1,Buy,Stop,Entry,0,607.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-02,1,Buy,Stop,Entry,0,608.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-05,1,Buy,Stop,Entry,0,631.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-06,-1,Buy,Stop,Entry,1,673.25,TRUE,1,41
NVDA,M1,0.15,0.05,Buy,24-02-06,-1,Sell,Stop,Target,1,674.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-06,-1,Sell,Stop,PSI,1,663,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-07,1,Sell,Stop,Target,1,706.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-07,1,Sell,Stop,PSA,1,686.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-08,-1,Sell,Stop,Target,1,715.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-08,-1,Sell,Stop,PSA,1,684.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-09,1,Sell,Stop,Target,1,711.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-09,1,Sell,Stop,PSA,1,696,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-12,-1,Sell,Stop,Target,1,711.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-12,-1,Sell,Stop,PSA,1,715.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-13,1,Sell,Stop,Target,1,736.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-13,1,Sell,Stop,PSA,1,712.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-14,1,Sell,Stop,Target,1,744.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-14,1,Sell,Stop,PSA,1,707.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-15,-1,Sell,Stop,Target,1,745,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-15,-1,Sell,Stop,PSA,1,711.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-16,-1,Sell,Stop,Target,0,738.5,TRUE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-16,-1,Sell,Stop,PSA,1,729.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-20,-1,Buy,Stop,Entry,0,716.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-21,-1,Buy,Stop,Entry,1,671.75,TRUE,1,37.08
NVDA,M1,0.15,0.05,Buy,24-02-21,-1,Sell,Stop,Target,1,717.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-21,-1,Sell,Stop,PSI,1,662.48,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-22,1,Sell,Stop,Target,1,672,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-22,1,Sell,Stop,PSA,1,671.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-23,-1,Sell,Stop,Target,1,714,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-23,-1,Sell,Stop,PSA,1,717.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-26,-1,Sell,Stop,Target,1,807,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-26,-1,Sell,Stop,PSA,1,799.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-27,-1,Sell,Stop,Target,1,858.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-27,-1,Sell,Stop,PSA,1,814.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-28,1,Sell,Stop,Target,1,801,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-28,1,Sell,Stop,PSA,1,778.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-29,1,Sell,Stop,Target,1,808.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-02-29,1,Sell,Stop,PSA,1,774.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-01,1,Sell,Stop,Target,1,786.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-01,1,Sell,Stop,PSA,1,788.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-04,1,Sell,Stop,Target,1,807,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-04,1,Sell,Stop,PSA,1,808,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-05,1,Sell,Stop,Target,1,871.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-05,1,Sell,Stop,PSA,1,839.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-06,1,Sell,Stop,Target,1,903.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-06,1,Sell,Stop,PSA,1,859.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-07,1,Sell,Stop,Target,1,929.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-07,1,Sell,Stop,PSA,1,894.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-08,-1,Sell,Stop,Target,0,960.75,TRUE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-08,-1,Sell,Stop,PSA,1,907.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-11,-1,Buy,Stop,Entry,0,886.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-12,1,Buy,Stop,Entry,0,849,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-13,-1,Buy,Stop,Entry,0,853.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-14,-1,Buy,Stop,Entry,0,880,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-15,1,Buy,Stop,Entry,0,885.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-18,-1,Buy,Stop,Entry,1,874.5,TRUE,1,14.6
NVDA,M1,0.15,0.05,Buy,24-03-18,-1,Sell,Stop,Target,0,906,TRUE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-18,-1,Sell,Stop,PSI,1,870.85,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-19,1,Buy,Stop,Entry,1,860.25,TRUE,1,40.6
NVDA,M1,0.15,0.05,Buy,24-03-19,1,Sell,Stop,Target,1,916,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-19,1,Sell,Stop,PSI,1,850.1,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-20,1,Sell,Stop,Target,1,926.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-20,1,Sell,Stop,PSA,1,866,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-21,-1,Sell,Stop,Target,0,921,TRUE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-21,-1,Sell,Stop,PSA,1,883.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-22,1,Buy,Stop,Entry,1,912,TRUE,1,14.64
NVDA,M1,0.15,0.05,Buy,24-03-22,1,Sell,Stop,Target,1,930.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-22,1,Sell,Stop,PSI,1,908.34,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-25,1,Sell,Stop,Target,0,956.75,TRUE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-25,1,Sell,Stop,PSA,1,938.75,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-26,-1,Buy,Stop,Entry,0,954.5,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-27,-1,Buy,Stop,Entry,0,926.25,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-28,1,Buy,Stop,Entry,1,901.5,TRUE,1,38.28
NVDA,M1,0.15,0.05,Buy,24-03-28,1,Sell,Stop,Target,1,991,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-28,1,Sell,Stop,PSI,1,891.93,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-29,NA,Sell,Stop,Target,1,938,FALSE,1,NA
NVDA,M1,0.15,0.05,Buy,24-03-29,NA,Sell,Stop,PSA,1,901.5,FALSE,1,NA
