symbol,group,dt,pproc,method,etime,mean,sd,zscore
NVDA,actual,h,none,mstl1,5.4107,-0.1186,32.5267,1.0692
NVDA,actual,h,none,mstl2,16.2967,-0.1226,32.529,1.0704
NVDA,actual,h,none,mstl3,13.276,-0.1339,32.5332,1.0707
NVDA,actual,h,none,zlma1,11.1784,-0.7961,26.6078,1.0827
NVDA,actual,h,none,zlma2,21.0638,-0.6688,26.5649,1.0834
NVDA,actual,h,none,zlma3,15.1965,-0.8886,26.5598,1.0791
NVDA,actual,l,none,mstl1,5.3299,-1.8945,31.1193,1.1229
NVDA,actual,l,none,mstl2,16.1379,-1.8996,31.1272,1.1232
NVDA,actual,l,none,mstl3,14.2729,-1.9105,31.1102,1.1232
NVDA,actual,l,none,zlma1,11.2031,-0.0849,23.1131,1.0866
NVDA,actual,l,none,zlma2,20.9693,-0.0651,23.0916,1.088
NVDA,actual,l,none,zlma3,19.7882,-0.1359,23.085,1.0877
NVDA,actual,c,none,mstl1,5.6957,-2.1696,33.09,1.1279
NVDA,actual,c,none,mstl2,16.323,-2.1661,33.0902,1.1282
NVDA,actual,c,none,mstl3,16.5877,-2.2033,33.069,1.1286
NVDA,actual,c,none,zlma1,10.9606,-0.5146,24.8729,1.1315
NVDA,actual,c,none,zlma2,20.6317,-0.5913,24.8672,1.1277
NVDA,actual,c,none,zlma3,21.2447,-0.6681,24.7332,1.1297
NVDA,actual,m,none,mstl1,5.5172,0.1583,29.731,1.0594
NVDA,actual,m,none,mstl2,16.8811,0.1589,29.7576,1.0596
NVDA,actual,m,none,mstl3,12.5531,0.162,29.7329,1.0601
NVDA,actual,m,none,zlma1,11.1597,-0.3006,24.1073,1.0512
NVDA,actual,m,none,zlma2,21.0299,-0.2889,24.082,1.0536
NVDA,actual,m,none,zlma3,16.7141,-0.3942,24.0335,1.0505
