symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
NVDA,NVidia,actual,c,620.46,619.38,625.33,625.33,-5.95,-5.95
NVDA,NVidia,actual,c,615.27,630.27,624.45,624.45,5.82,5.82
NVDA,NVidia,actual,c,619.38,644.13,628.87,628.87,15.26,15.26
NVDA,NVidia,actual,c,630.27,661.6,633.85,633.85,27.75,27.75
NVDA,NVidia,actual,c,644.13,681.82,652.83,652.83,28.99,28.99
NVDA,NVidia,actual,c,661.6,693.32,666.95,666.95,26.37,26.37
NVDA,NVidia,actual,c,681.82,688.07,692.53,692.53,-4.46,-4.46
NVDA,NVidia,actual,c,693.32,682.23,703.55,703.55,-21.32,-21.32
NVDA,NVidia,actual,c,688.07,690.94,706.79,706.79,-15.85,-15.85
NVDA,NVidia,actual,c,682.23,700.99,717.25,717.25,-16.26,-16.26
NVDA,NVidia,actual,c,690.94,698.64,708.6,708.6,-9.96,-9.96
NVDA,NVidia,actual,c,700.99,696.41,703.33,703.33,-6.92,-6.92
NVDA,NVidia,actual,c,698.64,707.48,702.9,702.9,4.58,4.58
NVDA,NVidia,actual,c,696.41,721.33,709.15,709.15,12.18,12.18
NVDA,NVidia,actual,c,707.48,725.4,722.13,722.13,3.27,3.27
NVDA,NVidia,actual,c,721.33,722.48,731.44,731.44,-8.96,-8.96
NVDA,NVidia,actual,c,725.4,719.1,727.25,727.25,-8.15,-8.15
NVDA,NVidia,actual,c,722.48,721.28,735.3,735.3,-14.02,-14.02
NVDA,NVidia,actual,c,719.1,731.56,733.64,733.64,-2.08,-2.08
NVDA,NVidia,actual,c,721.28,739,736.07,736.07,2.93,2.93
NVDA,NVidia,actual,c,731.56,734.11,735.87,735.87,-1.76,-1.76
NVDA,NVidia,actual,c,739,726.58,736.19,736.19,-9.61,-9.61
NVDA,NVidia,actual,c,734.11,726.48,732.76,732.76,-6.28,-6.28
NVDA,NVidia,actual,c,726.58,726.13,732.56,732.56,-6.43,-6.43
NVDA,NVidia,actual,c,726.48,715.7,730.76,730.76,-15.06,-15.06
NVDA,NVidia,actual,c,726.13,694.52,728,728,-33.48,-33.48
NVDA,NVidia,actual,c,715.7,670.27,697.06,697.06,-26.79,-26.79
NVDA,NVidia,actual,c,694.52,674.72,684.39,684.39,-9.67,-9.67
NVDA,NVidia,actual,c,670.27,728.74,685.1,685.1,43.64,43.64
NVDA,NVidia,actual,c,674.72,785.38,695.53,695.53,89.85,89.85
NVDA,NVidia,actual,c,728.74,797.9,734.42,734.42,63.48,63.48
NVDA,NVidia,actual,c,785.38,788.17,747.69,747.69,40.48,40.48
NVDA,NVidia,actual,c,797.9,786.82,797.52,797.52,-10.7,-10.7
NVDA,NVidia,actual,c,788.17,790.92,824.14,824.14,-33.22,-33.22
NVDA,NVidia,actual,c,786.82,791.25,830.77,830.77,-39.52,-39.52
NVDA,NVidia,actual,c,790.92,787.01,822.88,822.88,-35.87,-35.87
NVDA,NVidia,actual,c,791.25,780.34,798.58,798.58,-18.24,-18.24
NVDA,NVidia,actual,c,787.01,776.63,782.86,782.86,-6.23,-6.23
NVDA,NVidia,actual,c,780.34,780.6,779.76,779.76,0.84,0.84
NVDA,NVidia,actual,c,776.63,791.12,773.24,773.24,17.88,17.88
NVDA,NVidia,actual,c,780.6,805.77,789.65,789.65,16.12,16.12
NVDA,NVidia,actual,c,791.12,822.79,805.06,805.06,17.73,17.73
NVDA,NVidia,actual,c,805.77,839.95,815.82,815.82,24.13,24.13
NVDA,NVidia,actual,c,822.79,852.37,829.28,829.28,23.09,23.09
