symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
NVDA,NVidia,actual,h,629.37,623.21,629.88,629.88,-6.67,-6.67
NVDA,NVidia,actual,h,622.69,631.91,630.39,630.39,1.52,1.52
NVDA,NVidia,actual,h,623.21,647.4,629.95,629.95,17.45,17.45
NVDA,NVidia,actual,h,631.91,666,630.76,630.76,35.24,35.24
NVDA,NVidia,actual,h,647.4,683.4,656.12,656.12,27.28,27.28
NVDA,NVidia,actual,h,666,694.97,659.83,659.83,35.14,35.14
NVDA,NVidia,actual,h,683.4,697.98,687.32,687.32,10.66,10.66
NVDA,NVidia,actual,h,694.97,697.54,694.75,694.75,2.79,2.79
NVDA,NVidia,actual,h,697.98,699.16,713.74,713.74,-14.58,-14.58
NVDA,NVidia,actual,h,697.54,702.2,722.63,722.63,-20.43,-20.43
NVDA,NVidia,actual,h,699.16,704.98,722.26,722.26,-17.28,-17.28
NVDA,NVidia,actual,h,702.2,707.94,730.42,730.42,-22.48,-22.48
NVDA,NVidia,actual,h,704.98,712.51,720.94,720.94,-8.43,-8.43
NVDA,NVidia,actual,h,707.94,721.85,727.11,727.11,-5.26,-5.26
NVDA,NVidia,actual,h,712.51,736.67,722.87,722.87,13.8,13.8
NVDA,NVidia,actual,h,721.85,746.11,726.98,726.98,19.13,19.13
NVDA,NVidia,actual,h,736.67,741.49,742.46,742.46,-0.97,-0.97
NVDA,NVidia,actual,h,746.11,734.5,748.33,748.33,-13.83,-13.83
NVDA,NVidia,actual,h,741.49,737.15,750.07,750.07,-12.92,-12.92
NVDA,NVidia,actual,h,734.5,742.36,755.21,755.21,-12.85,-12.85
NVDA,NVidia,actual,h,737.15,741.61,751.51,751.51,-9.9,-9.9
NVDA,NVidia,actual,h,742.36,739.75,755.83,755.83,-16.08,-16.08
NVDA,NVidia,actual,h,741.61,742.3,747.63,747.63,-5.33,-5.33
NVDA,NVidia,actual,h,739.75,744.02,750.36,750.36,-6.34,-6.34
NVDA,NVidia,actual,h,742.3,737.77,744.85,744.85,-7.08,-7.08
NVDA,NVidia,actual,h,744.02,719.56,746.29,746.29,-26.73,-26.73
NVDA,NVidia,actual,h,737.77,693.01,733.57,733.57,-40.56,-40.56
NVDA,NVidia,actual,h,719.56,688.88,732.14,732.14,-43.26,-43.26
NVDA,NVidia,actual,h,693.01,730.69,698,698,32.69,32.69
NVDA,NVidia,actual,h,688.88,785.75,692.53,692.53,93.22,93.22
NVDA,NVidia,actual,h,730.69,816.72,729.32,729.32,87.4,87.4
NVDA,NVidia,actual,h,785.75,823.94,729.05,729.05,94.89,94.89
NVDA,NVidia,actual,h,816.72,817.22,800.6,800.6,16.62,16.62
NVDA,NVidia,actual,h,823.94,806.46,809.88,809.88,-3.42,-3.42
NVDA,NVidia,actual,h,817.22,799.37,841.19,841.19,-41.82,-41.82
NVDA,NVidia,actual,h,806.46,794.8,854.77,854.77,-59.97,-59.97
NVDA,NVidia,actual,h,799.37,790.56,800.75,800.75,-10.19,-10.19
NVDA,NVidia,actual,h,794.8,789.33,804.71,804.71,-15.38,-15.38
NVDA,NVidia,actual,h,790.56,793.54,807.61,807.61,-14.07,-14.07
NVDA,NVidia,actual,h,789.33,799.9,811.29,811.29,-11.39,-11.39
NVDA,NVidia,actual,h,793.54,806.52,792.86,792.86,13.66,13.66
NVDA,NVidia,actual,h,799.9,823,791.75,791.75,31.25,31.25
NVDA,NVidia,actual,h,806.52,854.49,807.91,807.91,46.58,46.58
NVDA,NVidia,actual,h,823,876.95,809.76,809.76,67.19,67.19
NVDA,NVidia,actual,h,854.49,870.5,856.95,856.95,13.55,13.55
NVDA,NVidia,actual,h,876.95,860.97,865.88,865.88,-4.91,-4.91
NVDA,NVidia,actual,h,870.5,875.06,884.41,884.41,-9.35,-9.35
NVDA,NVidia,actual,h,860.97,897.24,893.44,893.44,3.8,3.8
NVDA,NVidia,actual,h,875.06,909.67,906.1,906.1,3.57,3.57
NVDA,NVidia,actual,h,897.24,927.67,916.52,916.52,11.15,11.15
NVDA,NVidia,actual,h,909.67,962.23,931.9,931.9,30.33,30.33
NVDA,NVidia,actual,h,927.67,974,943.46,943.46,30.54,30.54
NVDA,NVidia,actual,h,962.23,931.86,975.02,975.02,-43.16,-43.16
NVDA,NVidia,actual,h,974,887.97,988.15,988.15,-100.18,-100.18
NVDA,NVidia,actual,h,931.86,894.4,945.1,945.1,-50.7,-50.7
NVDA,NVidia,actual,h,887.97,919.6,952,952,-32.4,-32.4
NVDA,NVidia,actual,h,894.4,923.44,924.8,924.8,-1.36,-1.36
NVDA,NVidia,actual,h,919.6,915.04,927.69,927.69,-12.65,-12.65
NVDA,NVidia,actual,h,923.44,910.74,911.63,911.63,-0.89,-0.89
NVDA,NVidia,actual,h,915.04,906.46,910.96,910.96,-4.5,-4.5
NVDA,NVidia,actual,h,910.74,897.31,899.82,899.82,-2.51,-2.51
NVDA,NVidia,actual,h,906.46,895.46,894.92,894.92,0.54,0.54
NVDA,NVidia,actual,h,897.31,910.44,898.03,898.03,12.41,12.41
NVDA,NVidia,actual,h,895.46,924.05,896.02,896.02,28.03,28.03
NVDA,NVidia,actual,h,910.44,918.51,905.55,905.55,12.96,12.96
NVDA,NVidia,actual,h,924.05,905.44,904.51,904.51,0.93,0.93
NVDA,NVidia,actual,h,918.51,900.25,912.54,912.54,-12.29,-12.29
NVDA,NVidia,actual,h,905.44,904.1,913.81,913.81,-9.71,-9.71
NVDA,NVidia,actual,h,900.25,914.24,907.44,907.44,6.8,6.8
NVDA,NVidia,actual,h,904.1,926.48,908.9,908.9,17.58,17.58
NVDA,NVidia,actual,h,914.24,937.35,916.42,916.42,20.93,20.93
NVDA,NVidia,actual,h,926.48,947.78,916.9,916.9,30.88,30.88
NVDA,NVidia,actual,h,937.35,958.81,937.09,937.09,21.72,21.72
NVDA,NVidia,actual,h,947.78,967.66,939.95,939.95,27.71,27.71
NVDA,NVidia,actual,h,958.81,970.56,967.33,967.33,3.23,3.23
NVDA,NVidia,actual,h,967.66,963.75,973.45,973.45,-9.7,-9.7
