symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
NVDA,NVidia,actual,l,615.36,608.83,615.48,615.48,-6.65,-6.65
NVDA,NVidia,actual,l,607,616.5,616.2,616.2,0.3,0.3
NVDA,NVidia,actual,l,608.83,624.33,617.63,617.63,6.7,6.7
NVDA,NVidia,actual,l,616.5,636.9,617.14,617.14,19.76,19.76
NVDA,NVidia,actual,l,624.33,657.26,629.73,629.73,27.53,27.53
NVDA,NVidia,actual,l,636.9,672.05,639.28,639.28,32.77,32.77
NVDA,NVidia,actual,l,657.26,669.78,667.28,667.28,2.5,2.5
NVDA,NVidia,actual,l,672.05,663,679.2,679.2,-16.2,-16.2
NVDA,NVidia,actual,l,669.78,665.99,683.04,683.04,-17.05,-17.05
NVDA,NVidia,actual,l,663,676,691.61,691.61,-15.61,-15.61
NVDA,NVidia,actual,l,665.99,686.73,688.67,688.67,-1.94,-1.94
NVDA,NVidia,actual,l,676,694.55,689.76,689.76,4.79,4.79
NVDA,NVidia,actual,l,686.73,698.08,692.97,692.97,5.11,5.11
NVDA,NVidia,actual,l,694.55,702.12,700.83,700.83,1.29,1.29
NVDA,NVidia,actual,l,698.08,709.95,709.61,709.61,0.34,0.34
NVDA,NVidia,actual,l,702.12,712.5,719.19,719.19,-6.69,-6.69
NVDA,NVidia,actual,l,709.95,703,717.85,717.85,-14.85,-14.85
NVDA,NVidia,actual,l,712.5,696.2,716.64,716.64,-20.44,-20.44
NVDA,NVidia,actual,l,703,705.74,709.76,709.76,-4.02,-4.02
NVDA,NVidia,actual,l,696.2,719.38,711.5,711.5,7.88,7.88
NVDA,NVidia,actual,l,705.74,723.39,714.96,714.96,8.43,8.43
NVDA,NVidia,actual,l,719.38,724,715.56,715.56,8.44,8.44
NVDA,NVidia,actual,l,723.39,728.08,723.13,723.13,4.95,4.95
NVDA,NVidia,actual,l,724,725.01,732.8,732.8,-7.79,-7.79
NVDA,NVidia,actual,l,728.08,704.78,728.6,728.6,-23.82,-23.82
NVDA,NVidia,actual,l,725.01,677.34,720.65,720.65,-43.31,-43.31
NVDA,NVidia,actual,l,704.78,657.87,693.4,693.4,-35.53,-35.53
NVDA,NVidia,actual,l,677.34,662.48,677.8,677.8,-15.32,-15.32
NVDA,NVidia,actual,l,657.87,699.12,663.54,663.54,35.58,35.58
NVDA,NVidia,actual,l,662.48,742.2,658.81,658.81,83.39,83.39
NVDA,NVidia,actual,l,699.12,765.74,700.7,700.7,65.04,65.04
NVDA,NVidia,actual,l,742.2,775.7,721.55,721.55,54.15,54.15
NVDA,NVidia,actual,l,765.74,782.83,770.34,770.34,12.49,12.49
NVDA,NVidia,actual,l,775.7,785.05,799.47,799.47,-14.42,-14.42
NVDA,NVidia,actual,l,782.83,779.33,815.99,815.99,-36.66,-36.66
NVDA,NVidia,actual,l,785.05,771.62,813.7,813.7,-42.08,-42.08
NVDA,NVidia,actual,l,779.33,768.65,795.39,795.39,-26.74,-26.74
NVDA,NVidia,actual,l,771.62,771.25,779.5,779.5,-8.25,-8.25
NVDA,NVidia,actual,l,768.65,777.88,778.16,778.16,-0.28,-0.28
NVDA,NVidia,actual,l,771.25,783.5,775.57,775.57,7.93,7.93
NVDA,NVidia,actual,l,777.88,785.47,778.6,778.6,6.87,6.87
NVDA,NVidia,actual,l,783.5,794.35,789.1,789.1,5.25,5.25
NVDA,NVidia,actual,l,785.47,817.6,795.26,795.26,22.34,22.34
NVDA,NVidia,actual,l,794.35,837.19,807.5,807.5,29.69,29.69
NVDA,NVidia,actual,l,817.6,837.01,830.63,830.63,6.38,6.38
NVDA,NVidia,actual,l,837.19,834.17,837.67,837.67,-3.5,-3.5
NVDA,NVidia,actual,l,837.01,847.61,849.12,849.12,-1.51,-1.51
NVDA,NVidia,actual,l,834.17,870.3,856.29,856.29,14.01,14.01
NVDA,NVidia,actual,l,847.61,889.56,880.84,880.84,8.72,8.72
NVDA,NVidia,actual,l,870.3,896.02,889.86,889.86,6.16,6.16
NVDA,NVidia,actual,l,889.56,884.74,896.54,896.54,-11.8,-11.8
NVDA,NVidia,actual,l,896.02,865.06,902.21,902.21,-37.15,-37.15
NVDA,NVidia,actual,l,884.74,848.58,890.42,890.42,-41.84,-41.84
NVDA,NVidia,actual,l,865.06,841.66,882.11,882.11,-40.45,-40.45
NVDA,NVidia,actual,l,848.58,847.44,858.41,858.41,-10.97,-10.97
NVDA,NVidia,actual,l,841.66,861.5,846.4,846.4,15.1,15.1
NVDA,NVidia,actual,l,847.44,876.93,845.15,845.15,31.78,31.78
NVDA,NVidia,actual,l,861.5,884.35,850.63,850.63,33.72,33.72
NVDA,NVidia,actual,l,876.93,877.6,867.38,867.38,10.22,10.22
NVDA,NVidia,actual,l,884.35,866,876.08,876.08,-10.08,-10.08
NVDA,NVidia,actual,l,877.6,860.42,880.03,880.03,-19.61,-19.61
NVDA,NVidia,actual,l,866,862.57,880.97,880.97,-18.4,-18.4
NVDA,NVidia,actual,l,860.42,869.77,873.08,873.08,-3.31,-3.31
NVDA,NVidia,actual,l,862.57,870.85,870.75,870.75,0.1,0.1
NVDA,NVidia,actual,l,869.77,858.61,860.87,860.87,-2.26,-2.26
NVDA,NVidia,actual,l,870.85,850.1,857.11,857.11,-7.01,-7.01
NVDA,NVidia,actual,l,858.61,861.63,857.06,857.06,4.57,4.57
NVDA,NVidia,actual,l,850.1,882.23,862.63,862.63,19.6,19.6
NVDA,NVidia,actual,l,861.63,897.2,873.8,873.8,23.4,23.4
NVDA,NVidia,actual,l,882.23,904.05,879.03,879.03,25.02,25.02
NVDA,NVidia,actual,l,897.2,904.93,895.92,895.92,9.01,9.01
NVDA,NVidia,actual,l,904.05,908.34,906.45,906.45,1.89,1.89
NVDA,NVidia,actual,l,904.93,920.87,923.58,923.58,-2.71,-2.71
NVDA,NVidia,actual,l,908.34,935.1,931.94,931.94,3.16,3.16
NVDA,NVidia,actual,l,920.87,940.12,941.38,941.38,-1.26,-1.26
NVDA,NVidia,actual,l,935.1,925.02,947.03,947.03,-22.01,-22.01
NVDA,NVidia,actual,l,940.12,908.59,931.05,931.05,-22.46,-22.46
NVDA,NVidia,actual,l,925.02,891.23,919.98,919.98,-28.75,-28.75
NVDA,NVidia,actual,l,908.59,883.33,909.06,909.06,-25.73,-25.73
NVDA,NVidia,actual,l,891.23,891.93,896.62,896.62,-4.69,-4.69
NVDA,NVidia,actual,l,883.33,NA,890.13,890.13,NA,NA
NVDA,NVidia,actual,l,891.93,NA,895.26,895.26,NA,NA
