symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
NVDA,NVidia,actual,m,622.36,616.02,623.24,623.24,-7.22,-7.22
NVDA,NVidia,actual,m,614.85,624.2,625.07,625.07,-0.87,-0.87
NVDA,NVidia,actual,m,616.02,635.86,625.62,625.62,10.24,10.24
NVDA,NVidia,actual,m,624.2,651.45,625.84,625.84,25.61,25.61
NVDA,NVidia,actual,m,635.86,670.33,643.5,643.5,26.83,26.83
NVDA,NVidia,actual,m,651.45,683.51,656.44,656.44,27.07,27.07
NVDA,NVidia,actual,m,670.33,683.88,682.32,682.32,1.56,1.56
NVDA,NVidia,actual,m,683.51,680.27,697.99,697.99,-17.72,-17.72
NVDA,NVidia,actual,m,683.88,682.57,699.94,699.94,-17.37,-17.37
NVDA,NVidia,actual,m,680.27,689.1,706.36,706.36,-17.26,-17.26
NVDA,NVidia,actual,m,682.57,695.85,701.39,701.39,-5.54,-5.54
NVDA,NVidia,actual,m,689.1,701.24,697.36,697.36,3.88,3.88
NVDA,NVidia,actual,m,695.85,705.29,702.85,702.85,2.44,2.44
NVDA,NVidia,actual,m,701.24,711.98,707.35,707.35,4.63,4.63
NVDA,NVidia,actual,m,705.29,723.31,717.21,717.21,6.1,6.1
NVDA,NVidia,actual,m,711.98,729.3,728,728,1.3,1.3
NVDA,NVidia,actual,m,723.31,722.25,731.62,731.62,-9.37,-9.37
NVDA,NVidia,actual,m,729.3,715.35,735.77,735.77,-20.42,-20.42
NVDA,NVidia,actual,m,722.25,721.45,729.8,729.8,-8.35,-8.35
NVDA,NVidia,actual,m,715.35,730.87,731.36,731.36,-0.49,-0.49
NVDA,NVidia,actual,m,721.45,732.5,731.8,731.8,0.7,0.7
NVDA,NVidia,actual,m,730.87,731.88,729.22,729.22,2.66,2.66
NVDA,NVidia,actual,m,732.5,735.19,731.75,731.75,3.44,3.44
NVDA,NVidia,actual,m,731.88,734.52,736.79,736.79,-2.27,-2.27
NVDA,NVidia,actual,m,735.19,721.27,734.88,734.88,-13.61,-13.61
NVDA,NVidia,actual,m,734.52,698.45,730.09,730.09,-31.64,-31.64
NVDA,NVidia,actual,m,721.27,675.44,708.42,708.42,-32.98,-32.98
NVDA,NVidia,actual,m,698.45,675.68,695.15,695.15,-19.47,-19.47
NVDA,NVidia,actual,m,675.44,714.91,681.52,681.52,33.39,33.39
NVDA,NVidia,actual,m,675.68,763.98,677.62,677.62,86.36,86.36
NVDA,NVidia,actual,m,714.91,791.23,721.92,721.92,69.31,69.31
NVDA,NVidia,actual,m,763.98,799.82,737.79,737.79,62.03,62.03
NVDA,NVidia,actual,m,791.23,800.02,792.86,792.86,7.16,7.16
NVDA,NVidia,actual,m,799.82,795.76,821.54,821.54,-25.78,-25.78
NVDA,NVidia,actual,m,800.02,789.35,834.97,834.97,-45.62,-45.62
NVDA,NVidia,actual,m,795.76,783.21,837.83,837.83,-54.62,-54.62
NVDA,NVidia,actual,m,789.35,779.61,807.56,807.56,-27.95,-27.95
NVDA,NVidia,actual,m,783.21,780.29,786.25,786.25,-5.96,-5.96
NVDA,NVidia,actual,m,779.61,785.71,782.78,782.78,2.93,2.93
NVDA,NVidia,actual,m,780.29,791.7,779.9,779.9,11.8,11.8
NVDA,NVidia,actual,m,785.71,796,785.76,785.76,10.24,10.24
NVDA,NVidia,actual,m,791.7,808.67,797.45,797.45,11.22,11.22
NVDA,NVidia,actual,m,796,836.04,808.72,808.72,27.32,27.32
NVDA,NVidia,actual,m,808.67,857.07,821.49,821.49,35.58,35.58
NVDA,NVidia,actual,m,836.04,853.75,847.7,847.7,6.05,6.05
NVDA,NVidia,actual,m,857.07,847.57,858.76,858.76,-11.19,-11.19
NVDA,NVidia,actual,m,853.75,861.34,869.41,869.41,-8.07,-8.07
NVDA,NVidia,actual,m,847.57,883.77,873.08,873.08,10.69,10.69
NVDA,NVidia,actual,m,861.34,899.61,894.95,894.95,4.66,4.66
NVDA,NVidia,actual,m,883.77,911.85,900.49,900.49,11.36,11.36
NVDA,NVidia,actual,m,899.61,923.48,915.26,915.26,8.22,8.22
NVDA,NVidia,actual,m,911.85,919.53,933.2,933.2,-13.67,-13.67
NVDA,NVidia,actual,m,923.48,890.22,930,930,-39.78,-39.78
NVDA,NVidia,actual,m,919.53,864.81,928.21,928.21,-63.4,-63.4
NVDA,NVidia,actual,m,890.22,870.92,900.21,900.21,-29.29,-29.29
NVDA,NVidia,actual,m,864.81,890.55,894.45,894.45,-3.9,-3.9
NVDA,NVidia,actual,m,870.92,900.19,881.46,881.46,18.73,18.73
NVDA,NVidia,actual,m,890.55,899.69,872.5,872.5,27.19,27.19
NVDA,NVidia,actual,m,900.19,894.17,881.17,881.17,13,13
NVDA,NVidia,actual,m,899.69,886.23,887.07,887.07,-0.84,-0.84
NVDA,NVidia,actual,m,894.17,878.86,894.54,894.54,-15.68,-15.68
NVDA,NVidia,actual,m,886.23,879.02,893.56,893.56,-14.54,-14.54
NVDA,NVidia,actual,m,878.86,890.1,887.71,887.71,2.39,2.39
NVDA,NVidia,actual,m,879.02,897.45,892.72,892.72,4.73,4.73
NVDA,NVidia,actual,m,890.1,888.56,884.48,884.48,4.08,4.08
NVDA,NVidia,actual,m,897.45,877.77,878.28,878.28,-0.51,-0.51
NVDA,NVidia,actual,m,888.56,880.94,884.58,884.58,-3.64,-3.64
NVDA,NVidia,actual,m,877.77,893.16,891.95,891.95,1.21,1.21
NVDA,NVidia,actual,m,880.94,905.72,893.71,893.71,12.01,12.01
NVDA,NVidia,actual,m,893.16,915.26,898.72,898.72,16.54,16.54
NVDA,NVidia,actual,m,905.72,921.14,907,907,14.14,14.14
NVDA,NVidia,actual,m,915.26,928.06,914.45,914.45,13.61,13.61
NVDA,NVidia,actual,m,921.14,939.84,934.51,934.51,5.33,5.33
NVDA,NVidia,actual,m,928.06,951.38,942.4,942.4,8.98,8.98
NVDA,NVidia,actual,m,939.84,955.34,957.07,957.07,-1.73,-1.73
NVDA,NVidia,actual,m,951.38,944.39,962.99,962.99,-18.6,-18.6
NVDA,NVidia,actual,m,955.34,929.94,953.31,953.31,-23.37,-23.37
NVDA,NVidia,actual,m,944.39,911.82,944.78,944.78,-32.96,-32.96
NVDA,NVidia,actual,m,929.94,900.73,928.57,928.57,-27.84,-27.84
NVDA,NVidia,actual,m,911.82,902.46,917.2,917.2,-14.74,-14.74
NVDA,NVidia,actual,m,900.73,NA,905.15,905.15,NA,NA
NVDA,NVidia,actual,m,902.46,NA,904.18,904.18,NA,NA
