symbol,tsys,tsrow,bsc,hadj,ladj,win,lose,plmm,pldol,riskmm,pos
NVDA,M1,1,Buy,0.15,0.05,5,0,491.25,24562.5,14.6,1
NVDA,M1,1,Buy,0.15,0.1,5,0,490.5,24525,14.08,0
NVDA,M1,1,Buy,0.1,0.05,5,0,476.5,23825,14.6,1
NVDA,M1,1,Buy,0.1,0.1,5,0,475.75,23787.5,14.08,0
NVDA,M1,1,Buy,0.2,0.1,7,0,460,23000,14.08,0
NVDA,M1,1,Buy,0.2,0.05,7,0,456.5,22825,11,1
NVDA,M1,1,Buy,-0.2,-0.05,4,0,413.25,20662.5,14.6,0
NVDA,M1,1,Buy,-0.1,-0.05,5,0,408.5,20425,14.6,0
NVDA,M1,1,Buy,0.2,0.4,4,0,393.25,19662.5,9,0
NVDA,M1,1,Buy,0.2,0.45,4,0,392,19600,6,0
NVDA,M1,1,Buy,0.2,0.5,4,0,390.75,19537.5,3,0
NVDA,M1,1,Buy,-0.15,-0.05,5,0,389,19450,14.6,0
NVDA,M1,1,Buy,-0.1,0.05,5,0,380.5,19025,14.6,1
NVDA,M1,1,Buy,-0.1,0.1,5,0,378,18900,18,0
NVDA,M1,1,Buy,-0.25,-0.05,3,0,368.25,18412.5,23,0
NVDA,M1,1,Buy,0.25,0.5,3,0,362.5,18125,3,1
NVDA,M1,1,Buy,0.25,0.1,5,0,362.25,18112.5,14.08,1
NVDA,M1,1,Buy,0.25,0.45,3,0,360.5,18025,6,1
NVDA,M1,1,Buy,0,0.1,6,0,360.25,18012.5,12.92,1
NVDA,M1,1,Buy,-0.1,0.4,4,0,359.25,17962.5,23,0
NVDA,M1,1,Buy,0.25,0.4,3,0,358.75,17937.5,9,1
NVDA,M1,1,Buy,0.2,-0.05,5,0,354.25,17712.5,0.8,0
NVDA,M1,1,Buy,-0.1,0.45,4,0,354,17700,33,0
NVDA,M1,1,Buy,-0.3,-0.05,3,0,351.25,17562.5,23,0
NVDA,M1,1,Buy,0.25,0.05,5,0,350.25,17512.5,11,1
NVDA,M1,1,Buy,-0.1,0.5,4,0,348.5,17425,25.64,0
NVDA,M1,1,Buy,-0.15,0.1,5,0,348.25,17412.5,12.92,0
NVDA,M1,1,Buy,0.15,0.4,3,0,347.25,17362.5,23,0
NVDA,M1,1,Buy,-0.2,0,3,0,346.75,17337.5,18.28,1
NVDA,M1,1,Buy,0,-0.05,5,0,346.5,17325,14.6,0
NVDA,M1,1,Buy,0.15,0.45,3,0,345.25,17262.5,33,0
NVDA,M1,1,Buy,-0.35,-0.05,3,0,343.75,17187.5,23,0
NVDA,M1,1,Buy,0.15,0.5,3,0,343.25,17162.5,25.64,0
NVDA,M1,1,Buy,-0.05,-0.05,4,0,343,17150,14.6,0
NVDA,M1,1,Buy,0.3,0.1,5,0,341.75,17087.5,14.08,1
NVDA,M1,1,Buy,0.15,-0.05,4,0,340.5,17025,4.32,0
NVDA,M1,1,Buy,-0.25,-0.15,2,0,340.25,17012.5,20.72,1
NVDA,M1,1,Buy,-0.1,0,4,0,339.5,16975,18.28,1
NVDA,M1,1,Buy,-0.2,-0.1,4,0,339.5,16975,2.6,0
NVDA,M1,1,Buy,-0.05,0.1,5,0,335.5,16775,12.92,1
NVDA,M1,1,Buy,-0.1,-0.1,5,0,335.5,16775,1.48,0
NVDA,M1,1,Buy,-0.25,-0.2,2,0,335.5,16775,3.72,1
NVDA,M1,1,Buy,0.1,0.4,3,0,334.25,16712.5,23,0
NVDA,M1,1,Buy,0.1,0.45,3,0,332.25,16612.5,33,0
NVDA,M1,1,Buy,0.1,-0.05,4,0,331.5,16575,4.32,0
NVDA,M1,1,Buy,0.1,0.5,3,0,330.25,16512.5,25.64,0
NVDA,M1,1,Buy,-0.25,0,3,0,329.5,16475,18.28,1
NVDA,M1,1,Buy,0.3,0.05,5,0,329,16450,11,1
NVDA,M1,1,Buy,-0.15,0.4,4,0,328.5,16425,23,0
NVDA,M1,1,Buy,-0.3,-0.15,2,0,327.25,16362.5,20.72,1
NVDA,M1,1,Buy,-0.4,-0.05,2,0,324.5,16225,23,0
NVDA,M1,1,Buy,-0.35,-0.15,2,0,324,16200,20.72,0
NVDA,M1,1,Buy,-0.15,0.45,4,0,323.5,16175,33,0
NVDA,M1,1,Buy,-0.15,0,4,0,323.25,16162.5,18.28,1
NVDA,M1,1,Buy,-0.3,-0.2,2,0,322.5,16125,3.72,1
NVDA,M1,1,Buy,-0.1,-0.15,3,0,321.75,16087.5,17.48,1
NVDA,M1,1,Buy,0.3,0.5,3,0,319.75,15987.5,3,0
NVDA,M1,1,Buy,-0.35,-0.2,2,0,319.25,15962.5,3.72,0
NVDA,M1,1,Buy,-0.2,0.1,2,0,318.75,15937.5,18,0
NVDA,M1,1,Buy,0.3,0.45,3,0,318.5,15925,6,0
NVDA,M1,1,Buy,-0.15,0.05,4,0,318.5,15925,14.6,1
NVDA,M1,1,Buy,-0.2,0.4,3,0,318.25,15912.5,23,0
NVDA,M1,1,Buy,0.3,0.4,3,0,317.25,15862.5,9,0
NVDA,M1,1,Buy,-0.2,0.05,2,0,316.75,15837.5,14.6,1
NVDA,M1,1,Buy,-0.2,0.45,3,0,316.25,15812.5,33,0
NVDA,M1,1,Buy,-0.15,-0.1,5,0,316,15800,1.48,0
NVDA,M1,1,Buy,-0.2,0.5,3,0,314.25,15712.5,25.64,0
NVDA,M1,1,Buy,-0.1,-0.2,3,0,312.75,15637.5,3.72,1
NVDA,M1,1,Buy,-0.3,0,3,0,312.5,15625,18.28,1
NVDA,M1,1,Buy,-0.45,-0.05,2,0,310.75,15537.5,23,0
NVDA,M1,1,Buy,0.2,0.3,4,0,310.5,15525,2,0
NVDA,M1,1,Buy,0.2,0.2,4,0,310.25,15512.5,19.2,0
NVDA,M1,1,Buy,-0.4,-0.15,2,0,310,15500,20.72,0
NVDA,M1,1,Buy,0,0.05,5,0,308.25,15412.5,14.6,1
NVDA,M1,1,Buy,0.05,0.1,4,0,306.5,15325,12.92,1
NVDA,M1,1,Buy,0.2,0.25,4,0,306,15300,3.2,0
NVDA,M1,1,Buy,-0.25,0.1,2,0,305.75,15287.5,18,0
NVDA,M1,1,Buy,-0.4,-0.2,2,0,305.25,15262.5,3.72,0
NVDA,M1,1,Buy,-0.35,0,3,0,305,15250,18.28,1
NVDA,M1,1,Buy,-0.05,-0.3,4,0,303.75,15187.5,18.76,0
NVDA,M1,1,Buy,-0.25,0.05,2,0,303.75,15187.5,14.6,1
NVDA,M1,1,Buy,0.15,0.2,4,0,301.25,15062.5,19.2,0
