symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
SMCI,M1,-0.15,-0.25,Buy,24-02-05,1,Buy,Stop,Entry,1,655.75,TRUE,1,271.2
SMCI,M1,-0.15,-0.25,Buy,24-02-12,1,Sell,Stop,Target,0,806.5,TRUE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-13,1,Buy,Stop,Entry,1,788.5,TRUE,1,171.96
SMCI,M1,-0.15,-0.25,Buy,24-02-16,-1,Sell,Stop,Target,0,1071.5,TRUE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-21,-1,Buy,Stop,Entry,1,721,TRUE,1,51.68
SMCI,M1,-0.15,-0.25,Buy,24-02-23,-1,Sell,Stop,Target,0,899,TRUE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-11,-1,Buy,Stop,Entry,1,1044.25,TRUE,1,77
SMCI,M1,-0.15,-0.25,Buy,24-03-14,-1,Sell,Stop,Target,0,1163.5,TRUE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-19,1,Buy,Stop,Entry,1,910.75,TRUE,1,191
SMCI,M1,-0.15,-0.25,Buy,24-03-26,-1,Sell,Stop,Target,0,1082.5,TRUE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-27,-1,Buy,Stop,Entry,1,1009,TRUE,1,90.64
