symbol,tsys,hadj,ladj,bsc,date,dir,bors,mls,type,pos,price,filled,quant,riskmm
SMCI,M1,-0.15,-0.25,Buy,24-02-01,1,Buy,Stop,Entry,0,616,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-02,-1,Buy,Stop,Entry,0,631.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-05,1,Buy,Stop,Entry,1,655.75,TRUE,1,271.2
SMCI,M1,-0.15,-0.25,Buy,24-02-05,1,Sell,Stop,Target,1,682.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-05,1,Sell,Stop,PSI,1,587.95,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-06,1,Sell,Stop,Target,1,731.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-06,1,Sell,Stop,PSA,1,682.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-07,1,Sell,Stop,Target,1,762.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-07,1,Sell,Stop,PSA,1,711.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-08,1,Sell,Stop,Target,1,761,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-08,1,Sell,Stop,PSA,1,728.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-09,1,Sell,Stop,Target,1,766.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-09,1,Sell,Stop,PSA,1,746.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-12,1,Sell,Stop,Target,0,806.5,TRUE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-12,1,Sell,Stop,PSA,1,769.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-13,1,Buy,Stop,Entry,1,788.5,TRUE,1,171.96
SMCI,M1,-0.15,-0.25,Buy,24-02-13,1,Sell,Stop,Target,1,846.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-13,1,Sell,Stop,PSI,1,745.51,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-14,1,Sell,Stop,Target,1,863.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-14,1,Sell,Stop,PSA,1,807.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-15,1,Sell,Stop,Target,1,925.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-15,1,Sell,Stop,PSA,1,865.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-16,-1,Sell,Stop,Target,0,1071.5,TRUE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-16,-1,Sell,Stop,PSA,1,908.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-20,-1,Buy,Stop,Entry,0,855,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-21,-1,Buy,Stop,Entry,1,721,TRUE,1,51.68
SMCI,M1,-0.15,-0.25,Buy,24-02-21,-1,Sell,Stop,Target,1,904.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-21,-1,Sell,Stop,PSI,1,708.08,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-22,1,Sell,Stop,Target,1,800.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-22,1,Sell,Stop,PSA,1,721,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-23,-1,Sell,Stop,Target,0,899,TRUE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-23,-1,Sell,Stop,PSA,1,809.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-26,-1,Buy,Stop,Entry,0,889,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-27,-1,Buy,Stop,Entry,0,862.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-28,-1,Buy,Stop,Entry,0,830.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-02-29,1,Buy,Stop,Entry,0,830,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-01,1,Buy,Stop,Entry,0,855.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-04,1,Buy,Stop,Entry,0,930,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-05,1,Buy,Stop,Entry,0,967.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-06,-1,Buy,Stop,Entry,0,1037.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-07,1,Buy,Stop,Entry,0,1054.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-08,-1,Buy,Stop,Entry,0,1042.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-11,-1,Buy,Stop,Entry,1,1044.25,TRUE,1,77
SMCI,M1,-0.15,-0.25,Buy,24-03-11,-1,Sell,Stop,Target,1,1155.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-11,-1,Sell,Stop,PSI,1,1025,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-12,1,Sell,Stop,Target,1,1162.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-12,1,Sell,Stop,PSA,1,1044.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-13,1,Sell,Stop,Target,1,1120,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-13,1,Sell,Stop,PSA,1,1044.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-14,-1,Sell,Stop,Target,0,1163.5,TRUE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-14,-1,Sell,Stop,PSA,1,1069.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-15,-1,Buy,Stop,Entry,0,1070,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-18,-1,Buy,Stop,Entry,0,1001.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-19,1,Buy,Stop,Entry,1,910.75,TRUE,1,191
SMCI,M1,-0.15,-0.25,Buy,24-03-19,1,Sell,Stop,Target,1,1037.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-19,1,Sell,Stop,PSI,1,863,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-20,-1,Sell,Stop,Target,1,945.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-20,-1,Sell,Stop,PSA,1,910.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-21,1,Sell,Stop,Target,1,874.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-21,1,Sell,Stop,PSA,1,910.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-22,1,Sell,Stop,Target,1,909.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-22,1,Sell,Stop,PSA,1,910.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-25,1,Sell,Stop,Target,1,1019.25,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-25,1,Sell,Stop,PSA,1,936.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-26,-1,Sell,Stop,Target,0,1082.5,TRUE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-26,-1,Sell,Stop,PSA,1,968.5,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-27,-1,Buy,Stop,Entry,1,1009,TRUE,1,90.64
SMCI,M1,-0.15,-0.25,Buy,24-03-27,-1,Sell,Stop,Target,1,1061.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-27,-1,Sell,Stop,PSI,1,986.34,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-28,1,Sell,Stop,Target,1,1044.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-28,1,Sell,Stop,PSA,1,1009,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-29,NA,Sell,Stop,Target,1,1043.75,FALSE,1,NA
SMCI,M1,-0.15,-0.25,Buy,24-03-29,NA,Sell,Stop,PSA,1,1009,FALSE,1,NA
