symbol,group,dt,pproc,method,etime,mean,sd,zscore
SMCI,actual,h,none,mstl1,5.6498,-5.2454,102.9459,1.1267
SMCI,actual,h,none,mstl2,14.4271,-5.2624,102.9839,1.1264
SMCI,actual,h,none,mstl3,17.7377,-5.2435,102.8786,1.1263
SMCI,actual,h,none,zlma1,11.4204,-1.6066,78.5427,1.078
SMCI,actual,h,none,zlma2,19.6901,-1.4756,78.6689,1.0734
SMCI,actual,h,none,zlma3,20.6046,-2.0529,78.331,1.0787
SMCI,actual,l,none,mstl1,5.3513,-1.0947,73.591,1.1093
SMCI,actual,l,none,mstl2,14.5448,-1.1325,73.5973,1.1101
SMCI,actual,l,none,mstl3,16.5067,-1.1043,73.6768,1.1105
SMCI,actual,l,none,zlma1,10.153,0.0708,54.9414,1.0737
SMCI,actual,l,none,zlma2,19.6546,0.3606,54.5048,1.0766
SMCI,actual,l,none,zlma3,21.1234,-0.0607,54.2088,1.0665
SMCI,actual,c,none,mstl1,5.636,-1.2669,85.7549,1.1664
SMCI,actual,c,none,mstl2,14.072,-1.283,85.7612,1.1668
SMCI,actual,c,none,mstl3,18.1769,-1.2726,85.7707,1.1671
SMCI,actual,c,none,zlma1,10.7204,-0.6669,62.9828,1.1218
SMCI,actual,c,none,zlma2,19.567899999999998,-1.2101,62.011,1.1312
SMCI,actual,c,none,zlma3,23.4426,-1.3501,62.3461,1.1236
SMCI,actual,m,none,mstl1,5.5577,-5.4015,86.4067,1.0803
SMCI,actual,m,none,mstl2,14.530100000000001,-5.4159,86.3564,1.0814
SMCI,actual,m,none,mstl3,16.324,-5.4244,86.3905,1.0809
SMCI,actual,m,none,zlma1,10.3835,-0.2003,64.5199,1.0733
SMCI,actual,m,none,zlma2,19.8964,-0.4726,63.8117,1.0756
SMCI,actual,m,none,zlma3,22.8648,-0.4398,64.1057,1.0745
