symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
SMCI,Sup Mic Comp,actual,c,516.34,560.43,542.27,542.27,18.16,18.16
SMCI,Sup Mic Comp,actual,c,529.61,583.5,560.8,560.8,22.7,22.7
SMCI,Sup Mic Comp,actual,c,560.43,578.69,577.72,577.72,0.97,0.97
SMCI,Sup Mic Comp,actual,c,583.5,579.63,583.99,583.99,-4.36,-4.36
SMCI,Sup Mic Comp,actual,c,578.69,617.93,606.15,606.15,11.78,11.78
SMCI,Sup Mic Comp,actual,c,579.63,663.35,628.76,628.76,34.59,34.59
SMCI,Sup Mic Comp,actual,c,617.93,681.29,665.02,665.02,16.27,16.27
SMCI,Sup Mic Comp,actual,c,663.35,681.59,685.56,685.56,-3.97,-3.97
SMCI,Sup Mic Comp,actual,c,681.29,681.52,698.25,698.25,-16.73,-16.73
SMCI,Sup Mic Comp,actual,c,681.59,683.6,721.68,721.68,-38.08,-38.08
SMCI,Sup Mic Comp,actual,c,681.52,687.73,719.28,719.28,-31.55,-31.55
SMCI,Sup Mic Comp,actual,c,683.6,698,719.31,719.31,-21.31,-21.31
SMCI,Sup Mic Comp,actual,c,687.73,717.41,715.1,715.1,2.31,2.31
SMCI,Sup Mic Comp,actual,c,698,740.29,720.86,720.86,19.43,19.43
SMCI,Sup Mic Comp,actual,c,717.41,759.79,735.67,735.67,24.12,24.12
SMCI,Sup Mic Comp,actual,c,740.29,773.01,749.06,749.06,23.95,23.95
SMCI,Sup Mic Comp,actual,c,759.79,780.35,781.91,781.91,-1.56,-1.56
SMCI,Sup Mic Comp,actual,c,773.01,791.49,809.59,809.59,-18.1,-18.1
SMCI,Sup Mic Comp,actual,c,780.35,819.34,813.83,813.83,5.51,5.51
SMCI,Sup Mic Comp,actual,c,791.49,880.55,827.93,827.93,52.62,52.62
SMCI,Sup Mic Comp,actual,c,819.34,971.54,894.64,894.64,76.9,76.9
SMCI,Sup Mic Comp,actual,c,880.55,1004,951.71,951.71,52.29,52.29
SMCI,Sup Mic Comp,actual,c,971.54,911.93,974.97,974.97,-63.04,-63.04
SMCI,Sup Mic Comp,actual,c,1004,803.32,973.31,973.31,-169.99,-169.99
SMCI,Sup Mic Comp,actual,c,911.93,785.31,927.09,927.09,-141.78,-141.78
SMCI,Sup Mic Comp,actual,c,803.32,787.57,922.79,922.79,-135.22,-135.22
SMCI,Sup Mic Comp,actual,c,785.31,737.91,799.08,799.08,-61.17,-61.17
SMCI,Sup Mic Comp,actual,c,787.57,734.17,702.39,702.39,31.78,31.78
SMCI,Sup Mic Comp,actual,c,737.91,860.4,706.35,706.35,154.05,154.05
SMCI,Sup Mic Comp,actual,c,734.17,975.52,738.35,738.35,237.17,237.17
SMCI,Sup Mic Comp,actual,c,860.4,941.81,853.68,853.68,88.13,88.13
SMCI,Sup Mic Comp,actual,c,975.52,860.01,870.73,870.73,-10.72,-10.72
SMCI,Sup Mic Comp,actual,c,941.81,850.83,917.58,917.58,-66.75,-66.75
SMCI,Sup Mic Comp,actual,c,860.01,876.34,966.21,966.21,-89.87,-89.87
SMCI,Sup Mic Comp,actual,c,850.83,875.19,937.09,937.09,-61.9,-61.9
