symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
SMCI,Sup Mic Comp,actual,h,551.71,564.23,569.17,569.17,-4.94,-4.94
SMCI,Sup Mic Comp,actual,h,546,587.61,590.76,590.76,-3.15,-3.15
SMCI,Sup Mic Comp,actual,h,564.23,595.54,597.54,597.54,-2,-2
SMCI,Sup Mic Comp,actual,h,587.61,606,599.15,599.15,6.85,6.85
SMCI,Sup Mic Comp,actual,h,595.54,637.24,615.3,615.3,21.94,21.94
SMCI,Sup Mic Comp,actual,h,606,670,634.49,634.49,35.51,35.51
SMCI,Sup Mic Comp,actual,h,637.24,683.21,671.72,671.72,11.49,11.49
SMCI,Sup Mic Comp,actual,h,670,686,692.15,692.15,-6.15,-6.15
SMCI,Sup Mic Comp,actual,h,683.21,691.64,707.66,707.66,-16.02,-16.02
SMCI,Sup Mic Comp,actual,h,686,699.77,728.2,728.2,-28.43,-28.43
SMCI,Sup Mic Comp,actual,h,691.64,707.39,725.32,725.32,-17.93,-17.93
SMCI,Sup Mic Comp,actual,h,699.77,714.49,726.3,726.3,-11.81,-11.81
SMCI,Sup Mic Comp,actual,h,707.39,723.69,727.98,727.98,-4.29,-4.29
SMCI,Sup Mic Comp,actual,h,714.49,745.17,733.14,733.14,12.03,12.03
SMCI,Sup Mic Comp,actual,h,723.69,783.09,754.43,754.43,28.66,28.66
SMCI,Sup Mic Comp,actual,h,745.17,810,780,780,30,30
SMCI,Sup Mic Comp,actual,h,783.09,804.36,804.65,804.65,-0.29,-0.29
SMCI,Sup Mic Comp,actual,h,810,800,827.03,827.03,-27.03,-27.03
SMCI,Sup Mic Comp,actual,h,804.36,832.12,831.66,831.66,0.46,0.46
SMCI,Sup Mic Comp,actual,h,800,886.03,846.62,846.62,39.41,39.41
SMCI,Sup Mic Comp,actual,h,832.12,941.55,895.03,895.03,46.52,46.52
SMCI,Sup Mic Comp,actual,h,886.03,1006.35,920.22,920.22,86.13,86.13
SMCI,Sup Mic Comp,actual,h,941.55,1076.99,1010.16,1010.16,66.83,66.83
SMCI,Sup Mic Comp,actual,h,1006.35,1077.87,1091.74,1091.74,-13.87,-13.87
SMCI,Sup Mic Comp,actual,h,1076.99,953.62,1079.34,1079.34,-125.72,-125.72
