symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
SMCI,Sup Mic Comp,actual,l,502.22,516.69,515.14,515.14,1.55,1.55
SMCI,Sup Mic Comp,actual,l,503.33,536,530.11,530.11,5.89,5.89
SMCI,Sup Mic Comp,actual,l,516.69,552.37,542.01,542.01,10.36,10.36
SMCI,Sup Mic Comp,actual,l,536,565,550.46,550.46,14.54,14.54
SMCI,Sup Mic Comp,actual,l,552.37,575.61,570.13,570.13,5.48,5.48
SMCI,Sup Mic Comp,actual,l,565,587.95,583.07,583.07,4.88,4.88
SMCI,Sup Mic Comp,actual,l,575.61,605.14,603.39,603.39,1.75,1.75
SMCI,Sup Mic Comp,actual,l,587.95,625.81,619.24,619.24,6.57,6.57
SMCI,Sup Mic Comp,actual,l,605.14,646.5,638.55,638.55,7.95,7.95
SMCI,Sup Mic Comp,actual,l,625.81,660,657.06,657.06,2.94,2.94
SMCI,Sup Mic Comp,actual,l,646.5,662.32,668.5,668.5,-6.18,-6.18
SMCI,Sup Mic Comp,actual,l,660,666.05,680.62,680.62,-14.57,-14.57
SMCI,Sup Mic Comp,actual,l,662.32,683.47,691.88,691.88,-8.41,-8.41
SMCI,Sup Mic Comp,actual,l,666.05,708.9,704.23,704.23,4.67,4.67
SMCI,Sup Mic Comp,actual,l,683.47,732.43,720.29,720.29,12.14,12.14
SMCI,Sup Mic Comp,actual,l,708.9,745.07,734.62,734.62,10.45,10.45
SMCI,Sup Mic Comp,actual,l,732.43,743.44,748.83,748.83,-5.39,-5.39
SMCI,Sup Mic Comp,actual,l,745.07,745.51,760.19,760.19,-14.68,-14.68
SMCI,Sup Mic Comp,actual,l,743.44,770.46,773.32,773.32,-2.86,-2.86
SMCI,Sup Mic Comp,actual,l,745.51,820.88,785.21,785.21,35.67,35.67
SMCI,Sup Mic Comp,actual,l,770.46,885.96,832.47,832.47,53.49,53.49
SMCI,Sup Mic Comp,actual,l,820.88,917.71,862.61,862.61,55.1,55.1
SMCI,Sup Mic Comp,actual,l,885.96,877.49,898.82,898.82,-21.33,-21.33
SMCI,Sup Mic Comp,actual,l,917.71,801.15,920.39,920.39,-119.24,-119.24
SMCI,Sup Mic Comp,actual,l,877.49,734.98,872.8,872.8,-137.82,-137.82
SMCI,Sup Mic Comp,actual,l,801.15,692.5,848.8,848.8,-156.3,-156.3
SMCI,Sup Mic Comp,actual,l,734.98,680.07,743.62,743.62,-63.55,-63.55
SMCI,Sup Mic Comp,actual,l,692.5,708.08,670.04,670.04,38.04,38.04
SMCI,Sup Mic Comp,actual,l,680.07,775.8,658.16,658.16,117.64,117.64
SMCI,Sup Mic Comp,actual,l,708.08,834,662.9,662.9,171.1,171.1
