symbol,desc,group,dt,price,target,predict1,predict2,error1,error2
SMCI,Sup Mic Comp,actual,m,526.96,540.46,542.62,542.62,-2.16,-2.16
SMCI,Sup Mic Comp,actual,m,524.66,561.8,560.45,560.45,1.35,1.35
SMCI,Sup Mic Comp,actual,m,540.46,573.96,569.96,569.96,4,4
SMCI,Sup Mic Comp,actual,m,561.8,585.5,574.55,574.55,10.95,10.95
SMCI,Sup Mic Comp,actual,m,573.96,606.42,591.57,591.57,14.85,14.85
SMCI,Sup Mic Comp,actual,m,585.5,628.98,606.62,606.62,22.36,22.36
SMCI,Sup Mic Comp,actual,m,606.42,644.18,637.98,637.98,6.2,6.2
SMCI,Sup Mic Comp,actual,m,628.98,655.9,656.94,656.94,-1.04,-1.04
SMCI,Sup Mic Comp,actual,m,644.18,669.07,673.66,673.66,-4.59,-4.59
SMCI,Sup Mic Comp,actual,m,655.9,679.89,693.97,693.97,-14.08,-14.08
SMCI,Sup Mic Comp,actual,m,669.07,684.85,697.68,697.68,-12.83,-12.83
SMCI,Sup Mic Comp,actual,m,679.89,690.27,703.1,703.1,-12.83,-12.83
SMCI,Sup Mic Comp,actual,m,684.85,703.58,710.04,710.04,-6.46,-6.46
SMCI,Sup Mic Comp,actual,m,690.27,727.04,718.64,718.64,8.4,8.4
SMCI,Sup Mic Comp,actual,m,703.58,757.76,736.7,736.7,21.06,21.06
SMCI,Sup Mic Comp,actual,m,727.04,777.54,756.47,756.47,21.07,21.07
SMCI,Sup Mic Comp,actual,m,757.76,773.9,777.57,777.57,-3.67,-3.67
SMCI,Sup Mic Comp,actual,m,777.54,772.76,797.02,797.02,-24.26,-24.26
SMCI,Sup Mic Comp,actual,m,773.9,801.29,802.2,802.2,-0.91,-0.91
SMCI,Sup Mic Comp,actual,m,772.76,853.46,814.68,814.68,38.78,38.78
SMCI,Sup Mic Comp,actual,m,801.29,913.76,862.57,862.57,51.19,51.19
SMCI,Sup Mic Comp,actual,m,853.46,962.03,892.66,892.66,69.37,69.37
SMCI,Sup Mic Comp,actual,m,913.76,977.24,953.34,953.34,23.9,23.9
SMCI,Sup Mic Comp,actual,m,962.03,939.51,999.85,999.85,-60.34,-60.34
SMCI,Sup Mic Comp,actual,m,977.24,844.3,979.13,979.13,-134.83,-134.83
SMCI,Sup Mic Comp,actual,m,939.51,747.25,952.26,952.26,-205.01,-205.01
SMCI,Sup Mic Comp,actual,m,844.3,707.8,844,844,-136.2,-136.2
SMCI,Sup Mic Comp,actual,m,747.25,740.29,773.68,773.68,-33.39,-33.39
SMCI,Sup Mic Comp,actual,m,707.8,833.47,723.42,723.42,110.05,110.05
SMCI,Sup Mic Comp,actual,m,740.29,918.77,701.29,701.29,217.48,217.48
SMCI,Sup Mic Comp,actual,m,833.47,935.22,787.78,787.78,147.44,147.44
SMCI,Sup Mic Comp,actual,m,918.77,909.51,827.32,827.32,82.19,82.19
SMCI,Sup Mic Comp,actual,m,935.22,882.36,913.29,913.29,-30.93,-30.93
SMCI,Sup Mic Comp,actual,m,909.51,862.99,943.74,943.74,-80.75,-80.75
SMCI,Sup Mic Comp,actual,m,882.36,851.33,936.71,936.71,-85.38,-85.38
SMCI,Sup Mic Comp,actual,m,862.99,841.5,895.39,895.39,-53.89,-53.89
SMCI,Sup Mic Comp,actual,m,851.33,830.09,850.22,850.22,-20.13,-20.13
SMCI,Sup Mic Comp,actual,m,841.5,829.25,818.75,818.75,10.5,10.5
SMCI,Sup Mic Comp,actual,m,830.09,847.68,816.04,816.04,31.64,31.64
SMCI,Sup Mic Comp,actual,m,829.25,864.76,821.88,821.88,42.88,42.88
SMCI,Sup Mic Comp,actual,m,847.68,867.64,837.97,837.97,29.67,29.67
SMCI,Sup Mic Comp,actual,m,864.76,904,847.17,847.17,56.83,56.83
SMCI,Sup Mic Comp,actual,m,867.64,1006.55,913.62,913.62,92.93,92.93
SMCI,Sup Mic Comp,actual,m,904,1087.67,978.65,978.65,109.02,109.02
SMCI,Sup Mic Comp,actual,m,1006.55,1069.89,1042.87,1042.87,27.02,27.02
SMCI,Sup Mic Comp,actual,m,1087.67,1036.8,1053.43,1053.43,-16.63,-16.63
SMCI,Sup Mic Comp,actual,m,1069.89,1076.08,1111.72,1111.72,-35.64,-35.64
SMCI,Sup Mic Comp,actual,m,1036.8,1130.75,1150.62,1150.62,-19.87,-19.87
SMCI,Sup Mic Comp,actual,m,1076.08,1134.21,1168.08,1168.08,-33.87,-33.87
SMCI,Sup Mic Comp,actual,m,1130.75,1126.18,1160.47,1160.47,-34.29,-34.29
SMCI,Sup Mic Comp,actual,m,1134.21,1150.4,1156.95,1156.95,-6.55,-6.55
SMCI,Sup Mic Comp,actual,m,1126.18,1160.5,1193.01,1193.01,-32.51,-32.51
SMCI,Sup Mic Comp,actual,m,1150.4,1113.21,1173.47,1173.47,-60.26,-60.26
SMCI,Sup Mic Comp,actual,m,1160.5,1068,1157.26,1157.26,-89.26,-89.26
SMCI,Sup Mic Comp,actual,m,1113.21,1085.74,1123.26,1123.26,-37.52,-37.52
SMCI,Sup Mic Comp,actual,m,1068,1130.16,1138.67,1138.67,-8.51,-8.51
SMCI,Sup Mic Comp,actual,m,1085.74,1153.61,1113.86,1113.86,39.75,39.75
SMCI,Sup Mic Comp,actual,m,1130.16,1160.17,1113.23,1113.23,46.94,46.94
SMCI,Sup Mic Comp,actual,m,1153.61,1162.15,1132.82,1132.82,29.33,29.33
SMCI,Sup Mic Comp,actual,m,1160.17,1153.09,1162.83,1162.83,-9.74,-9.74
SMCI,Sup Mic Comp,actual,m,1162.15,1127.3,1170.27,1170.27,-42.97,-42.97
SMCI,Sup Mic Comp,actual,m,1153.09,1100.93,1168.1,1168.1,-67.17,-67.17
SMCI,Sup Mic Comp,actual,m,1127.3,1085.22,1131.54,1131.54,-46.32,-46.32
SMCI,Sup Mic Comp,actual,m,1100.93,1049.93,1114.78,1114.78,-64.85,-64.85
SMCI,Sup Mic Comp,actual,m,1085.22,971.41,1042.36,1042.36,-70.95,-70.95
SMCI,Sup Mic Comp,actual,m,1049.93,894,993.54,993.54,-99.54,-99.54
SMCI,Sup Mic Comp,actual,m,971.41,865.57,908.47,908.47,-42.9,-42.9
SMCI,Sup Mic Comp,actual,m,894,880.25,875.56,875.56,4.69,4.69
SMCI,Sup Mic Comp,actual,m,865.57,917.29,838.74,838.74,78.55,78.55
SMCI,Sup Mic Comp,actual,m,880.25,950.3,827.33,827.33,122.97,122.97
SMCI,Sup Mic Comp,actual,m,917.29,960.63,859.34,859.34,101.29,101.29
SMCI,Sup Mic Comp,actual,m,950.3,966.33,880.97,880.97,85.36,85.36
SMCI,Sup Mic Comp,actual,m,960.63,988.03,956.11,956.11,31.92,31.92
SMCI,Sup Mic Comp,actual,m,966.33,1019.87,995.98,995.98,23.89,23.89
SMCI,Sup Mic Comp,actual,m,988.03,1049.38,1036.41,1036.41,12.97,12.97
SMCI,Sup Mic Comp,actual,m,1019.87,1064.11,1055.88,1055.88,8.23,8.23
SMCI,Sup Mic Comp,actual,m,1049.38,1056.83,1068.96,1068.96,-12.13,-12.13
SMCI,Sup Mic Comp,actual,m,1064.11,1017.08,1067.54,1067.54,-50.46,-50.46
SMCI,Sup Mic Comp,actual,m,1056.83,998.33,1047.76,1047.76,-49.43,-49.43
SMCI,Sup Mic Comp,actual,m,1017.08,1015.01,1013,1013,2.01,2.01
SMCI,Sup Mic Comp,actual,m,998.33,NA,1042.11,1042.11,NA,NA
SMCI,Sup Mic Comp,actual,m,1015.01,NA,1051.06,1051.06,NA,NA
