symbol,tsys,tsrow,bsc,hadj,ladj,win,lose,plmm,pldol,riskmm,pos
SMCI,M1,1,Buy,-0.15,-0.25,5,0,902.75,45137.5,51.68,1
SMCI,M1,1,Buy,-0.2,-0.25,4,0,862,43100,51.68,1
SMCI,M1,1,Buy,-0.3,-0.25,5,0,850,42500,51.68,0
SMCI,M1,1,Buy,-0.25,-0.25,4,0,839,41950,51.68,1
SMCI,M1,1,Buy,-0.15,-0.1,4,0,830.75,41537.5,38.6,0
SMCI,M1,1,Buy,-0.15,-0.15,4,0,825.75,41287.5,13.6,0
SMCI,M1,1,Buy,-0.15,-0.05,4,0,804,40200,45,0
SMCI,M1,1,Buy,-0.25,-0.1,4,0,802.25,40112.5,1.8,0
SMCI,M1,1,Buy,-0.4,-0.25,5,0,787.75,39387.5,51.68,0
SMCI,M1,1,Buy,-0.15,-0.45,4,0,781.75,39087.5,10.92,0
SMCI,M1,1,Buy,-0.15,-0.5,4,0,778.75,38937.5,22,0
SMCI,M1,1,Buy,-0.2,-0.15,3,0,764,38200,13.6,0
SMCI,M1,1,Buy,-0.2,-0.1,3,0,763.25,38162.5,38.6,0
SMCI,M1,1,Buy,-0.45,-0.25,5,0,759.5,37975,51.68,0
SMCI,M1,1,Buy,-0.25,-0.05,4,0,757.75,37887.5,45,0
SMCI,M1,1,Buy,-0.3,-0.1,4,0,755.25,37762.5,1.8,0
SMCI,M1,1,Buy,-0.15,-0.2,4,0,750,37500,10.68,1
SMCI,M1,1,Buy,-0.25,-0.15,3,0,731.5,36575,13.6,0
SMCI,M1,1,Buy,-0.2,-0.05,3,0,730.75,36537.5,45,0
SMCI,M1,1,Buy,-0.5,-0.25,4,0,724.75,36237.5,51.68,1
SMCI,M1,1,Buy,-0.2,-0.2,3,0,710.75,35537.5,10.68,1
SMCI,M1,1,Buy,-0.3,-0.05,4,0,710.75,35537.5,45,0
SMCI,M1,1,Buy,-0.3,-0.2,4,0,704.5,35225,10.68,0
SMCI,M1,1,Buy,-0.3,-0.15,3,0,698,34900,13.6,0
SMCI,M1,1,Buy,-0.25,-0.2,3,0,695.25,34762.5,10.68,1
SMCI,M1,1,Buy,-0.1,-0.1,5,0,694,34700,38.6,0
SMCI,M1,1,Buy,-0.2,-0.45,5,0,685,34250,10.92,0
SMCI,M1,1,Buy,-0.2,-0.5,5,0,684.25,34212.5,22,0
SMCI,M1,1,Buy,-0.05,-0.1,5,0,680.75,34037.5,13.72,0
SMCI,M1,1,Buy,-0.1,-0.05,5,0,680,34000,23.76,0
